Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	DPQS_2105_REF	DPQS_2105_NEW	
1000	256	IDENT_____	PLATEAU	 0.0004132	 0.0004109	 0.0004111	
1000	256	IDENT_____	SHUFFLE	 0.0039396	 0.0038756	 0.0039060	
1000	256	REVERSE___	SPIRAL	 0.0132871	 0.0067975	 0.0068221	
1000	256	REVERSE___	STAGGER	 0.0141705	 0.0128133	 0.0128871	
1000	256	REVERSE___	SAWTOTH	 0.0064950	 0.0062842	 0.0062740	
1000	256	REVERSE___	_RANDOM	 0.0161541	 0.0164237	 0.0167267	
1000	256	REVERSE___	PLATEAU	 0.0008168	 0.0007434	 0.0007441	
1000	256	REVERSE___	SHUFFLE	 0.0049023	 0.0048464	 0.0048478	
1000	256	DITHER____	SPIRAL	 0.0104366	 0.0106707	 0.0112058	
1000	256	DITHER____	STAGGER	 0.0169046	 0.0148138	 0.0147801	
1000	256	DITHER____	SAWTOTH	 0.0166258	 0.0152581	 0.0146551	
1000	256	DITHER____	_RANDOM	 0.0151667	 0.0157370	 0.0158502	
1000	256	DITHER____	PLATEAU	 0.0057576	 0.0058318	 0.0062436	
1000	256	DITHER____	SHUFFLE	 0.0048549	 0.0044343	 0.0043668	
1000	256	REVERSE_BA	SPIRAL	 0.0068953	 0.0068127	 0.0068101	
1000	256	REVERSE_BA	STAGGER	 0.0160665	 0.0140863	 0.0144367	
1000	256	REVERSE_BA	SAWTOTH	 0.0067796	 0.0066994	 0.0067198	
1000	256	REVERSE_BA	_RANDOM	 0.0143619	 0.0144613	 0.0140342	
1000	256	REVERSE_BA	PLATEAU	 0.0004132	 0.0004112	 0.0004111	
1000	256	REVERSE_BA	SHUFFLE	 0.0059255	 0.0059714	 0.0060998	
1000	256	REVERSE_FR	SPIRAL	 0.0092568	 0.0066138	 0.0066106	
1000	256	REVERSE_FR	STAGGER	 0.0169092	 0.0146076	 0.0143516	
1000	256	REVERSE_FR	SAWTOTH	 0.0073648	 0.0068200	 0.0068111	
1000	256	REVERSE_FR	_RANDOM	 0.0143958	 0.0148626	 0.0162684	
1000	256	REVERSE_FR	PLATEAU	 0.0010534	 0.0010661	 0.0010657	
1000	256	REVERSE_FR	SHUFFLE	 0.0044954	! 0.0079358	! 0.0121918	
10000	1	IDENT_____	SPIRAL	 0.2411467	 0.0875779	 0.0876638	
10000	1	IDENT_____	STAGGER	 0.0489921	 0.0478613	 0.0479951	
10000	1	IDENT_____	SAWTOTH	 0.0100607	 0.0101162	 0.0738269	
10000	1	IDENT_____	_RANDOM	 0.0589484	 0.0466861	 0.0614540	
10000	1	IDENT_____	PLATEAU	 0.0044762	 0.0044513	 0.0044660	
10000	1	IDENT_____	SHUFFLE	 0.2963304	 0.1264226	 0.1260235	
10000	1	REVERSE___	SPIRAL	 0.3083845	 0.0876854	 0.0876717	
10000	1	REVERSE___	STAGGER	 0.0552611	 0.0544588	 0.0544649	
10000	1	REVERSE___	SAWTOTH	 0.0250139	 0.0159475	 0.0738102	
10000	1	REVERSE___	_RANDOM	 0.0531164	 0.0492958	 0.0568635	
10000	1	REVERSE___	PLATEAU	 0.0049947	 0.0043279	 0.0043351	
10000	1	REVERSE___	SHUFFLE	 0.3109968	 0.1286789	 0.1285457	
10000	1	DITHER____	SPIRAL	 0.2282004	 0.0915607	 0.0918007	
10000	1	DITHER____	STAGGER	 0.3760345	 0.1260462	 0.1350765	
10000	1	DITHER____	SAWTOTH	 0.0350911	 0.0335502	 0.0669026	
10000	1	DITHER____	_RANDOM	 0.0800121	 0.0773463	 0.0722131	
10000	1	DITHER____	PLATEAU	 0.0290400	 0.0278469	 0.0656828	
10000	1	DITHER____	SHUFFLE	 0.3234853	 0.1010629	 0.1001238	
10000	1	REVERSE_BA	SPIRAL	 0.2714729	 0.0878857	 0.0878276	
10000	1	REVERSE_BA	STAGGER	 0.0590591	 0.0585903	 0.0586348	
