Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	NEW_DPQS_REF	RADIX	
1000	256	IDENT_____	PLATEAU	 0.0004126	 0.0004106	 0.0004146	
1000	256	IDENT_____	SHUFFLE	 0.0038937	 0.0037880	 0.0037425	
1000	256	REVERSE___	SPIRAL	 0.0133424	 0.0067775	 0.0074914	
1000	256	REVERSE___	STAGGER	 0.0141564	 0.0127355	 0.0158263	
1000	256	REVERSE___	SAWTOTH	 0.0064570	 0.0062370	 0.0058021	
1000	256	REVERSE___	_RANDOM	 0.0161967	 0.0186731	 0.0137353	
1000	256	REVERSE___	PLATEAU	 0.0008177	 0.0007382	 0.0012284	
1000	256	REVERSE___	SHUFFLE	 0.0048364	 0.0048052	 0.0045086	
1000	256	DITHER____	SPIRAL	 0.0106490	 0.0106710	 0.0179026	
1000	256	DITHER____	STAGGER	 0.0170194	 0.0150867	 0.0161006	
1000	256	DITHER____	SAWTOTH	 0.0165198	 0.0160710	 0.0138168	
1000	256	DITHER____	_RANDOM	 0.0140482	 0.0200206	 0.0138767	
1000	256	DITHER____	PLATEAU	 0.0056691	 0.0059953	 0.0141074	
1000	256	DITHER____	SHUFFLE	 0.0048635	 0.0044257	 0.0184523	
1000	256	REVERSE_BA	SPIRAL	 0.0068805	 0.0067598	 0.0070900	
1000	256	REVERSE_BA	STAGGER	 0.0161312	 0.0142932	 0.0157009	
1000	256	REVERSE_BA	SAWTOTH	 0.0067545	 0.0066789	 0.0073216	
1000	256	REVERSE_BA	_RANDOM	 0.0144222	 0.0166489	 0.0136846	
1000	256	REVERSE_BA	PLATEAU	 0.0004130	 0.0004097	 0.0004141	
1000	256	REVERSE_BA	SHUFFLE	 0.0059249	 0.0059763	 0.0053761	
1000	256	REVERSE_FR	SPIRAL	 0.0092530	 0.0065620	 0.0074776	
1000	256	REVERSE_FR	STAGGER	 0.0167307	 0.0146311	 0.0156815	
1000	256	REVERSE_FR	SAWTOTH	 0.0073326	 0.0068081	 0.0064952	
1000	256	REVERSE_FR	_RANDOM	 0.0144996	 0.0142225	 0.0137240	
1000	256	REVERSE_FR	PLATEAU	 0.0010509	 0.0010638	 0.0029652	
1000	256	REVERSE_FR	SHUFFLE	 0.0043648	! 0.0056829	 0.0040111	
10000	1	IDENT_____	SPIRAL	 0.2482805	 0.1277608	 0.1699116	
10000	1	IDENT_____	STAGGER	 0.0395007	 0.0385002	 0.0282881	
10000	1	IDENT_____	SAWTOTH	 0.0043233	 0.0043959	 0.0041565	
10000	1	IDENT_____	_RANDOM	 0.0043028	 0.0043967	 0.0041810	
10000	1	IDENT_____	PLATEAU	 0.0044420	 0.0044627	 0.0041494	
10000	1	IDENT_____	SHUFFLE	 0.0044349	 0.0044530	 0.0041465	
10000	1	REVERSE___	SPIRAL	 0.3071711	 0.1370850	 0.1714154	
10000	1	REVERSE___	STAGGER	 0.0463115	 0.0458671	 0.0319349	
