Test[SHUFFLE | DITHER____] stats        : [1000000: µ=500003.66733099846 σ=288675.5687758742 (57.73469029073607 %) rms=788679.2361068727 min=2.0 max=1000583.0 sum=5.000036673309985E11]
Test[SHUFFLE | DITHER____] statsDelta   : [999999: µ=1.0005820005819386 σ=848.3445558761186 (84785.11060390067 %) rms=849.3451378767006 min=-2295.0 max=2292.0 sum=1000580.999999938]
Test[SHUFFLE | DITHER____] statsAbsDelta: [999999: µ=556.6288076288055 σ=640.1980532081217 (115.01346039478527 %) rms=1196.8268608369272 min=0.0 max=2295.0 sum=5.566282509999979E8]
Test[SPIRAL | IDENT_____] stats        : [1000000: µ=833333.4999922395 σ=552770.6727620459 (66.33246746556974 %) rms=1386104.1727542854 min=1.0 max=1999998.0 sum=8.333334999922395E11]
Test[SPIRAL | IDENT_____] statsDelta   : [999999: µ=-1.0 σ=942809.2772841053 (-9.428092772841053E7 %) rms=942808.2772841053 min=-1999997.0 max=1999995.0 sum=-999999.0]
Test[SPIRAL | IDENT_____] statsAbsDelta: [999999: µ=666667.0000009924 σ=666666.3333325522 (99.99989999978396 %) rms=1333333.3333335447 min=1.0 max=1999997.0 sum=6.666663333339924E11]
Test[SPIRAL | REVERSE___] stats        : [1000000: µ=833333.4999999886 σ=552770.6727628385 (66.33246746504804 %) rms=1386104.172762827 min=1.0 max=1999998.0 sum=8.333334999999886E11]
Test[SPIRAL | REVERSE___] statsDelta   : [999999: µ=1.0000000000009726 σ=942809.2772840614 (9.428092772831446E7 %) rms=942810.2772840614 min=-1999995.0 max=1999997.0 sum=999999.0000009725]
Test[SPIRAL | REVERSE___] statsAbsDelta: [999999: µ=666667.0000000204 σ=666666.3333325819 (99.99989999993423 %) rms=1333333.3333326024 min=1.0 max=1999997.0 sum=6.666663333330204E11]
Test[SPIRAL | REVERSE_FR] stats        : [1000000: µ=833333.4999946794 σ=552770.6727624759 (66.33246746542713 %) rms=1386104.1727571553 min=1.0 max=1999998.0 sum=8.333334999946793E11]
Test[SPIRAL | REVERSE_FR] statsDelta   : [999999: µ=-0.5000005000007683 σ=942808.8795370405 (-1.88561587345531E8 %) rms=942808.3795365405 min=-1999997.0 max=1999995.0 sum=-500000.00000026834]
Test[SPIRAL | REVERSE_FR] statsAbsDelta: [999999: µ=666666.5000004979 σ=666666.2708333597 (99.99996562492066 %) rms=1333332.7708338576 min=1.0 max=1999997.0 sum=6.666658333339979E11]
Test[SPIRAL | REVERSE_BA] stats        : [1000000: µ=833333.4999980668 σ=552770.6727624374 (66.33246746515287 %) rms=1386104.1727605043 min=1.0 max=1999998.0 sum=8.333334999980668E11]
