Test[STAGGER | REVERSE_BA] statsDelta   : [999999: µ=0.29366429366434216 σ=21681.130318642037 (7382964.421075834 %) rms=21681.423982935703 min=-1967295.0 max=1967295.0 sum=293664.0000000485]
Test[STAGGER | REVERSE_BA] statsAbsDelta: [999999: µ=467.0535950535908 σ=21676.099111741183 (4641.030353112691 %) rms=22143.152706794775 min=1.0 max=1967295.0 sum=4.6705312799999577E8]
Test[STAGGER | SORT______] stats        : [1000000: µ=-1711.0004799999583 σ=575267.4922170104 (-33621.70256182654 %) rms=573556.4917370104 min=-973372.0 max=999999.0 sum=-1.7110004799999583E9]
Test[STAGGER | SORT______] statsDelta   : [999999: µ=1.9733729733729422 σ=196.85207688892214 (9975.411619854976 %) rms=198.82544986229507 min=0.0 max=27657.0 sum=1973370.9999999688]
Test[STAGGER | SORT______] statsAbsDelta: [999999: µ=1.9733729733729422 σ=196.85207688892214 (9975.411619854976 %) rms=198.82544986229507 min=0.0 max=27657.0 sum=1973370.9999999688]
Test[STAGGER | DITHER____] stats        : [1000000: µ=-1709.0004799993355 σ=575267.4922219049 (-33661.04918953145 %) rms=573558.4917419056 min=-973372.0 max=1000002.0 sum=-1.7090004799993355E9]
Test[STAGGER | DITHER____] statsDelta   : [999999: µ=-0.37996537996537555 σ=21670.66299027456 (-5703325.653576466 %) rms=21670.283024894594 min=-1967299.0 max=1000002.0 sum=-379964.9999999956]
Test[STAGGER | DITHER____] statsAbsDelta: [999999: µ=467.5793845793975 σ=21665.61801293174 (4633.56998350572 %) rms=22133.197397511136 min=2.0 max=1967299.0 sum=4.6757891700001293E8]
Test[SAWTOTH | IDENT_____] stats        : [1000000: µ=499999.5 σ=288675.27893234405 (57.735113521582335 %) rms=788674.778932344 min=0.0 max=999999.0 sum=4.999995E11]
Test[SAWTOTH | IDENT_____] statsDelta   : [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[SAWTOTH | IDENT_____] statsAbsDelta: [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[SAWTOTH | REVERSE___] stats        : [1000000: µ=499999.5 σ=288675.27893234405 (57.735113521582335 %) rms=788674.778932344 min=0.0 max=999999.0 sum=4.999995E11]
Test[SAWTOTH | REVERSE___] statsDelta   : [999999: µ=-1.0 σ=0.0 (-0.0 %) rms=-1.0 min=-1.0 max=-1.0 sum=-999999.0]
Test[SAWTOTH | REVERSE___] statsAbsDelta: [999999: µ=1.0 σ=0.0 (0.0 %) rms=1.0 min=1.0 max=1.0 sum=999999.0]
Test[SAWTOTH | REVERSE_FR] stats        : [1000000: µ=499999.5 σ=288675.27893234405 (57.735113521582335 %) rms=788674.778932344 min=0.0 max=999999.0 sum=4.999995E11]
