Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	DPQ_11	DPQS_2105_REF	DPQS_2105_NEW	
1000	256	IDENT_____	_RANDOM	 0.0151303	 0.0159475	 0.0183759	 0.0165154	
1000	256	IDENT_____	PLATEAU	 0.0004130	 0.0003646	 0.0004114	 0.0004112	
1000	256	IDENT_____	SHUFFLE	 0.0039166	 0.0036514	 0.0038100	 0.0038626	
1000	256	REVERSE___	SPIRAL	 0.0131811	 0.0080730	 0.0068104	 0.0067925	
1000	256	REVERSE___	STAGGER	 0.0142227	 0.0137152	 0.0128731	 0.0145180	
1000	256	REVERSE___	SAWTOTH	 0.0064944	 0.0056473	 0.0062393	 0.0062437	
1000	256	REVERSE___	_RANDOM	 0.0163529	 0.0188170	 0.0185469	 0.0141294	
1000	256	REVERSE___	PLATEAU	 0.0008183	 0.0011376	 0.0007422	 0.0007400	
1000	256	REVERSE___	SHUFFLE	 0.0048889	 0.0046804	 0.0048245	 0.0048477	
1000	256	DITHER____	SPIRAL	 0.0105336	 0.0097984	 0.0106722	 0.0103455	
1000	256	DITHER____	STAGGER	 0.0169089	 0.0179644	 0.0148256	 0.0168994	
1000	256	DITHER____	SAWTOTH	 0.0166245	 0.0142750	 0.0158118	 0.0183936	
1000	256	DITHER____	_RANDOM	 0.0143212	 0.0187280	 0.0198669	 0.0163334	
1000	256	DITHER____	PLATEAU	 0.0056544	 0.0046433	 0.0060109	 0.0063572	
1000	256	DITHER____	SHUFFLE	 0.0048658	 0.0059243	 0.0043610	 0.0049000	
1000	256	REVERSE_BA	SPIRAL	 0.0068708	 0.0080483	 0.0068249	 0.0068162	
1000	256	REVERSE_BA	STAGGER	 0.0161404	 0.0160529	 0.0143263	 0.0171120	
1000	256	REVERSE_BA	SAWTOTH	 0.0067837	 0.0079199	 0.0067243	 0.0066876	
1000	256	REVERSE_BA	_RANDOM	 0.0144846	 0.0155940	 0.0165343	 0.0145017	
1000	256	REVERSE_BA	PLATEAU	 0.0004114	 0.0003630	 0.0004106	 0.0004105	
1000	256	REVERSE_BA	SHUFFLE	 0.0058153	 0.0058053	 0.0060735	 0.0064079	
1000	256	REVERSE_FR	SPIRAL	 0.0092643	 0.0075395	 0.0066098	 0.0066092	
1000	256	REVERSE_FR	STAGGER	 0.0167562	 0.0181167	 0.0146924	 0.0174485	
1000	256	REVERSE_FR	SAWTOTH	 0.0073562	 0.0085889	 0.0068562	 0.0068467	
1000	256	REVERSE_FR	_RANDOM	 0.0147039	 0.0182785	 0.0143353	 0.0168527	
1000	256	REVERSE_FR	PLATEAU	 0.0010578	 0.0028549	 0.0010644	 0.0010660	
1000	256	REVERSE_FR	SHUFFLE	 0.0043749	 0.0047484	! 0.0117604	! 0.0108767	
10000	1	IDENT_____	SPIRAL	 0.2413041	 0.2741444	 0.0875630	 0.0880204	
10000	1	IDENT_____	STAGGER	 0.0489343	 0.0384767	 0.0480998	 0.0480857	
10000	1	IDENT_____	SAWTOTH	 0.0101135	 0.0123330	 0.0100219	 0.0095402	
10000	1	IDENT_____	_RANDOM	 0.0551614	 0.0456020	 0.0466828	 0.0449119	
10000	1	IDENT_____	PLATEAU	 0.0044569	 0.0044364	 0.0044528	 0.0044383	
10000	1	IDENT_____	SHUFFLE	 0.2962003	 0.3366594	 0.1264308	 0.1288412	
10000	1	REVERSE___	SPIRAL	 0.3077352	 0.2980137	 0.0874988	 0.0868525	
10000	1	REVERSE___	STAGGER	 0.0551795	 0.0516143	 0.0543162	 0.0543233	
10000	1	REVERSE___	SAWTOTH	 0.0250789	 0.0176527	 0.0159515	 0.0170065	
10000	1	REVERSE___	_RANDOM	 0.0530819	 0.0491123	 0.0483588	 0.0469984	
10000	1	REVERSE___	PLATEAU	 0.0050371	 0.0127277	 0.0043274	 0.0043197	
10000	1	REVERSE___	SHUFFLE	 0.3111995	 0.3686371	 0.1269410	 0.1280759	
10000	1	DITHER____	SPIRAL	 0.2259447	 0.2870288	 0.0915006	 0.0939498	
10000	1	DITHER____	STAGGER	 0.3773398	 0.3734436	 0.1250240	 0.1336401	
10000	1	DITHER____	SAWTOTH	 0.0351230	 0.0296648	 0.0329017	 0.0302069	
10000	1	DITHER____	_RANDOM	 0.0797536	 0.0794641	 0.0771114	 0.0744459	
10000	1	DITHER____	PLATEAU	 0.0289465	 0.0358612	 0.0279768	 0.0247901	
10000	1	DITHER____	SHUFFLE	 0.3228682	 0.3616406	 0.0979537	 0.0984428	
10000	1	REVERSE_BA	SPIRAL	 0.2711973	 0.2839550	 0.0874736	 0.0881547	
10000	1	REVERSE_BA	STAGGER	 0.0588801	 0.0470406	 0.0585498	 0.0586557	
10000	1	REVERSE_BA	SAWTOTH	 0.0140264	 0.0123447	 0.0109914	 0.0117613	
10000	1	REVERSE_BA	_RANDOM	 0.0558454	 0.0455045	 0.0500640	 0.0482355	
10000	1	REVERSE_BA	PLATEAU	 0.0044525	 0.0044528	 0.0044375	 0.0044459	
10000	1	REVERSE_BA	SHUFFLE	 0.3145308	 0.3368069	 0.1239792	 0.1229245	
10000	1	REVERSE_FR	SPIRAL	 0.2616333	 0.2975360	 0.0875103	 0.0880576	
10000	1	REVERSE_FR	STAGGER	 0.0605292	 0.0588987	 0.0582103	 0.0582613	
10000	1	REVERSE_FR	SAWTOTH	 0.0251134	 0.0187838	 0.0159424	 0.0169792	
10000	1	REVERSE_FR	_RANDOM	 0.0507091	 0.0468274	 0.0448478	 0.0441440	
10000	1	REVERSE_FR	PLATEAU	 0.0045382	 0.0300950	 0.0045202	 0.0045218	
10000	1	REVERSE_FR	SHUFFLE	 0.3251242	 0.3688080	 0.1262371	 0.1242787	
10000	16	IDENT_____	SPIRAL	 0.2469559	 0.2731171	 0.0814295	 0.0830085	
10000	16	IDENT_____	STAGGER	 0.0884061	 0.1017794	 0.0871895	 0.0872084	
10000	16	IDENT_____	SAWTOTH	 0.0734355	 0.0933212	 0.0757734	 0.0727049	
10000	16	IDENT_____	_RANDOM	 0.1827081	 0.1952417	! 0.1224556	! 0.1094805	
10000	16	IDENT_____	PLATEAU	 0.0044397	 0.0044532	 0.0044315	 0.0044456	
10000	16	IDENT_____	SHUFFLE	 0.1629427	 0.2583597	 0.1363670	 0.1360208	
10000	16	REVERSE___	SPIRAL	 0.2863042	 0.2521489	 0.0811946	 0.0829307	
10000	16	REVERSE___	STAGGER	 0.0940390	 0.1125213	 0.0907058	 0.0814477	
10000	16	REVERSE___	SAWTOTH	 0.0558128	 0.1111211	 0.0590558	 0.0580731	
10000	16	REVERSE___	_RANDOM	 0.1892727	 0.1975396	! 0.1096866	 0.0708894	
10000	16	REVERSE___	PLATEAU	 0.0044645	 0.0130747	 0.0043410	 0.0043520	
10000	16	REVERSE___	SHUFFLE	 0.1840467	 0.2355943	 0.1355421	 0.1351735	
10000	16	DITHER____	SPIRAL	 0.2198657	 0.3002792	 0.0897398	 0.0928127	
10000	16	DITHER____	STAGGER	 0.0887209	 0.1019050	 0.0875256	 0.0874355	
10000	16	DITHER____	SAWTOTH	 0.1110663	 0.1592146	 0.1138934	 0.1080821	
10000	16	DITHER____	_RANDOM	 0.2043908	 0.2177084	! 0.1304738	! 0.1144253	
10000	16	DITHER____	PLATEAU	 0.0267038	 0.0382113	 0.0280054	 0.0281447	
