Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_11_12	DPQ_21_04_24	RADIX	
1000	16	REVERSE___	SPIRAL	 0.0000722	 0.0133869	 0.0147223	 0.0136286	 0.0198319	
1000	16	REVERSE___	STAGGER	 0.0000724	 0.0214458	 0.0168382	 0.0158140	 0.0187566	
1000	16	REVERSE___	SAWTOTH	 0.0000722	 0.0293035	 0.0089370	 0.0098343	 0.0153754	
1000	16	REVERSE___	_RANDOM	 0.0000725	 0.0087617	! 0.0106426	! 0.0090994	 0.0152110	
1000	16	REVERSE___	PLATEAU	 0.0000722	 0.0012959	 0.0004908	 0.0004915	 0.0006794	
1000	16	REVERSE___	SHUFFLE	 0.0000722	 0.0184160	! 0.0125406	! 0.0127269	 0.0212863	
1000	16	SORT______	SPIRAL	 0.0000722	 0.0005988	 0.0005004	 0.0005001	 0.0008738	
1000	16	SORT______	STAGGER	 0.0000723	 0.0005987	 0.0005008	 0.0005007	 0.0008734	
1000	16	SORT______	SAWTOTH	 0.0000722	 0.0004142	 0.0004932	 0.0004931	 0.0007843	
1000	16	SORT______	_RANDOM	 0.0000723	 0.0004153	 0.0004856	 0.0004919	 0.0007865	
1000	16	SORT______	PLATEAU	 0.0000723	 0.0005984	 0.0005006	 0.0005007	 0.0008741	
1000	16	SORT______	SHUFFLE	 0.0000722	 0.0005988	 0.0005003	 0.0005022	 0.0008703	
1000	16	DITHER____	SPIRAL	 0.0000723	 0.0153107	 0.0128462	 0.0147439	 0.0199747	
1000	16	DITHER____	STAGGER	 0.0000723	 0.0211890	 0.0152168	 0.0186309	 0.0175052	
1000	16	DITHER____	SAWTOTH	 0.0000722	 0.0087884	 0.0086346	 0.0069051	 0.0151081	
1000	16	DITHER____	_RANDOM	 0.0000722	 0.0090102	 0.0094386	! 0.0105598	 0.0151612	
1000	16	DITHER____	PLATEAU	 0.0000724	 0.0046857	 0.0038417	 0.0040172	 0.0151978	
1000	16	DITHER____	SHUFFLE	 0.0000722	 0.0133499	 0.0103642	 0.0096940	 0.0202974	
1000	16	REVERSE___	SPIRAL	 0.0000723	 0.0134078	 0.0147316	 0.0136037	 0.0197440	
1000	16	REVERSE___	STAGGER	 0.0000722	 0.0213530	 0.0169006	 0.0157807	 0.0187049	
1000	16	REVERSE___	SAWTOTH	 0.0000724	 0.0291426	 0.0089304	 0.0098819	 0.0154083	
1000	16	REVERSE___	_RANDOM	 0.0000722	 0.0087992	! 0.0102622	! 0.0102090	 0.0151513	
1000	16	REVERSE___	PLATEAU	 0.0000723	 0.0013140	 0.0004778	 0.0004793	 0.0006787	
1000	16	REVERSE___	SHUFFLE	 0.0000723	 0.0184415	! 0.0124907	! 0.0127411	 0.0212769	
1000	16	REVERSE_FR	SPIRAL	 0.0000722	 0.0147281	 0.0155684	 0.0134362	 0.0201171	
1000	16	REVERSE_FR	STAGGER	 0.0000722	 0.0206500	 0.0166749	 0.0185981	 0.0182560	
1000	16	REVERSE_FR	SAWTOTH	 0.0000723	 0.0256711	 0.0085026	 0.0077355	 0.0153433	
1000	16	REVERSE_FR	_RANDOM	 0.0000720	 0.0075758	 0.0083770	 0.0079744	 0.0152194	
