Parsing sort-50000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_04_05	DPQ_19_05_01	
50000	1	IDENT_____	SPIRAL	 0.0096985	 1.4960441	 0.9739245	 0.9598863	
50000	1	IDENT_____	STAGGER	 0.0095298	 0.1707668	 0.1248187	 0.1248857	
50000	1	IDENT_____	SAWTOTH	 0.0087113	 0.0180768	 0.0124844	 0.0123509	
50000	1	IDENT_____	_RANDOM	 0.0089518	 0.0177490	 0.0121859	 0.0122688	
50000	1	IDENT_____	PLATEAU	 0.0093745	 0.0357566	 0.0327913	 0.0329638	
50000	1	IDENT_____	SHUFFLE	 0.0093190	 0.0360638	 0.0329575	 0.0329790	
50000	1	REVERSE___	SPIRAL	 0.0093906	 1.5392739	 1.6886871	 1.6944451	
50000	1	REVERSE___	STAGGER	 0.0095188	 0.2025433	 0.1557093	 0.1557071	
50000	1	REVERSE___	SAWTOTH	 0.0091095	 0.0177793	 0.0122043	 0.0121467	
50000	1	REVERSE___	_RANDOM	 0.0090382	 0.0177551	 0.0122255	 0.0122281	
50000	1	REVERSE___	PLATEAU	 0.0096605	 0.0547969	 0.0157117	 0.0157108	
50000	1	REVERSE___	SHUFFLE	 0.0097269	 0.0595966	 0.0690574	 0.0691912	
50000	1	REVERSE_FR	SPIRAL	 0.0098291	 1.5340531	 1.0459816	 1.0335840	
50000	1	REVERSE_FR	STAGGER	 0.0096458	 0.1673905	 0.1307866	 0.1307380	
50000	1	REVERSE_FR	SAWTOTH	 0.0089894	 0.0178179	 0.0123732	 0.0122671	
50000	1	REVERSE_FR	_RANDOM	 0.0087769	 0.0180514	 0.0125928	 0.0123928	
50000	1	REVERSE_FR	PLATEAU	 0.0096597	 0.1337447	 0.0156154	 0.0155805	
50000	1	REVERSE_FR	SHUFFLE	 0.0096977	 0.0452892	 0.0469058	 0.0470074	
50000	1	REVERSE_BA	SPIRAL	 0.0097488	 1.6087524	 1.2291605	 1.1929562	
50000	1	REVERSE_BA	STAGGER	 0.0097647	 0.1691803	 0.1377441	 0.1378874	
50000	1	REVERSE_BA	SAWTOTH	 0.0088075	 0.0179434	 0.0125000	 0.0124544	
50000	1	REVERSE_BA	_RANDOM	 0.0090302	 0.0176453	 0.0122749	 0.0122806	
50000	1	REVERSE_BA	PLATEAU	 0.0097310	 0.0357156	 0.0325264	 0.0324771	
50000	1	REVERSE_BA	SHUFFLE	 0.0097462	 0.1719130	 0.1331357	 0.1329333	
50000	1	SORT______	SPIRAL	 0.0097288	 0.0357577	 0.0324553	 0.0326005	
50000	1	SORT______	STAGGER	 0.0097093	 0.0358701	 0.0325324	 0.0327366	
