Parsing sort-5000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_04_05	DPQ_19_05_01	
5000	1	IDENT_____	SPIRAL	 0.0006042	 0.1389243	 0.1093606	 0.1093750	
5000	1	IDENT_____	STAGGER	 0.0006029	 0.0142366	 0.0128010	 0.0127727	
5000	1	IDENT_____	SAWTOTH	 0.0006204	 0.0024146	 0.0011390	 0.0011382	
5000	1	IDENT_____	_RANDOM	 0.0005916	 0.0024456	 0.0011680	 0.0011677	
5000	1	IDENT_____	PLATEAU	 0.0006161	 0.0037023	 0.0034841	 0.0034694	
5000	1	IDENT_____	SHUFFLE	 0.0006024	 0.0037242	 0.0035204	 0.0035037	
5000	1	REVERSE___	SPIRAL	 0.0006013	 0.1288354	 0.1270365	 0.1264087	
5000	1	REVERSE___	STAGGER	 0.0005899	 0.0174718	 0.0159842	 0.0159549	
5000	1	REVERSE___	SAWTOTH	 0.0005878	 0.0024402	 0.0011678	 0.0011702	
5000	1	REVERSE___	_RANDOM	 0.0005970	 0.0024453	 0.0011608	 0.0011631	
5000	1	REVERSE___	PLATEAU	 0.0006092	 0.0056106	 0.0017997	 0.0015306	
5000	1	REVERSE___	SHUFFLE	 0.0006113	 0.0060517	 0.0065616	 0.0065641	
5000	1	REVERSE_FR	SPIRAL	 0.0005926	 0.1379712	 0.1064987	 0.1061418	
5000	1	REVERSE_FR	STAGGER	 0.0005884	 0.0155909	 0.0138631	 0.0138031	
5000	1	REVERSE_FR	SAWTOTH	 0.0005999	 0.0024299	 0.0011553	 0.0011560	
5000	1	REVERSE_FR	_RANDOM	 0.0006081	 0.0024211	 0.0011507	 0.0011540	
5000	1	REVERSE_FR	PLATEAU	 0.0005827	 0.0143452	 0.0018542	 0.0015866	
5000	1	REVERSE_FR	SHUFFLE	 0.0005785	 0.0050186	 0.0052960	 0.0052967	
5000	1	REVERSE_BA	SPIRAL	 0.0005963	 0.1395951	 0.1354006	 0.1349711	
5000	1	REVERSE_BA	STAGGER	 0.0005971	 0.0151178	 0.0138718	 0.0139002	
5000	1	REVERSE_BA	SAWTOTH	 0.0005915	 0.0024322	 0.0011664	 0.0011681	
5000	1	REVERSE_BA	_RANDOM	 0.0006031	 0.0024363	 0.0011552	 0.0011569	
5000	1	REVERSE_BA	PLATEAU	 0.0006005	 0.0037197	 0.0034909	 0.0034864	
5000	1	REVERSE_BA	SHUFFLE	 0.0006023	 0.0154361	 0.0134332	 0.0134708	
5000	1	SORT______	SPIRAL	 0.0005929	 0.0037159	 0.0035089	 0.0034992	
5000	1	SORT______	STAGGER	 0.0005853	 0.0037304	 0.0035412	 0.0035376	
5000	1	SORT______	SAWTOTH	 0.0006046	 0.0024207	 0.0011535	 0.0011565	
5000	1	SORT______	_RANDOM	 0.0006047	 0.0024171	 0.0011501	 0.0011514	
5000	1	SORT______	PLATEAU	 0.0005971	 0.0037106	 0.0035063	 0.0034981	
5000	1	SORT______	SHUFFLE	 0.0006043	 0.0037099	 0.0034946	 0.0034904	
5000	1	DITHER____	SPIRAL	 0.0005874	 0.1471985	 0.1053482	 0.1051314	
5000	1	DITHER____	STAGGER	 0.0006095	 0.1398868	 0.1552501	 0.1550682	
5000	1	DITHER____	SAWTOTH	 0.0006001	 0.0144506	 0.0137111	 0.0135914	
5000	1	DITHER____	_RANDOM	 0.0005872	 0.0144718	 0.0137272	 0.0135927	
