Parsing sort-500.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_04_05	DPQ_19_05_01	
500	4	REVERSE_BA	SAWTOTH	 0.0000365	 0.0018583	 0.0020682	 0.0020681	
500	4	REVERSE_BA	_RANDOM	 0.0000366	 0.0018666	 0.0017868	 0.0017943	
500	4	REVERSE_BA	PLATEAU	 0.0000416	 0.0001958	 0.0002029	 0.0002071	
500	4	REVERSE_BA	SHUFFLE	 0.0000414	 0.0057596	 0.0063245	 0.0063493	
500	4	SORT______	SPIRAL	 0.0000359	 0.0002051	 0.0002083	 0.0002080	
500	4	SORT______	STAGGER	 0.0000357	 0.0002028	 0.0002135	 0.0002139	
500	4	SORT______	SAWTOTH	 0.0000358	 0.0002005	 0.0001940	 0.0001933	
500	4	SORT______	_RANDOM	 0.0000359	 0.0002053	 0.0001942	 0.0001943	
500	4	SORT______	PLATEAU	 0.0000356	 0.0002010	 0.0002130	 0.0002129	
500	4	SORT______	SHUFFLE	 0.0000357	 0.0002015	 0.0002129	 0.0002085	
500	4	DITHER____	SPIRAL	 0.0000417	 0.0066850	 0.0058709	 0.0058731	
500	4	DITHER____	STAGGER	 0.0000366	 0.0036264	 0.0064803	 0.0064633	
500	4	DITHER____	SAWTOTH	 0.0000366	 0.0026928	 0.0018578	 0.0018409	
500	4	DITHER____	_RANDOM	 0.0000366	 0.0025930	 0.0018866	 0.0021507	
500	4	DITHER____	PLATEAU	 0.0000415	 0.0024765	 0.0017965	 0.0017953	
500	4	DITHER____	SHUFFLE	 0.0000415	 0.0057093	 0.0043789	 0.0042461	
500	16	IDENT_____	SPIRAL	 0.0000483	 0.0076950	 0.0048933	 0.0049227	
500	16	IDENT_____	STAGGER	 0.0000366	 0.0075157	 0.0065510	 0.0065681	
500	16	IDENT_____	SAWTOTH	 0.0000366	 0.0066183	 0.0038692	 0.0038294	
500	16	IDENT_____	_RANDOM	 0.0000366	 0.0036115	 0.0037119	 0.0036040	
500	16	IDENT_____	PLATEAU	 0.0000366	 0.0002010	 0.0002080	 0.0002087	
500	16	IDENT_____	SHUFFLE	 0.0000414	 0.0068420	 0.0032121	 0.0032179	
500	16	REVERSE___	SPIRAL	 0.0000412	 0.0082047	 0.0079725	 0.0080026	
500	16	REVERSE___	STAGGER	 0.0000364	 0.0075151	 0.0061528	 0.0061662	
500	16	REVERSE___	SAWTOTH	 0.0000366	 0.0075664	 0.0042797	 0.0043281	
500	16	REVERSE___	_RANDOM	 0.0000366	 0.0034849	! 0.0057094	! 0.0060550	
500	16	REVERSE___	PLATEAU	 0.0000366	 0.0004643	 0.0001505	 0.0001526	
500	16	REVERSE___	SHUFFLE	 0.0000366	 0.0064631	 0.0044951	 0.0044987	
500	16	REVERSE_FR	SPIRAL	 0.0000412	 0.0084107	 0.0051529	 0.0051482	
500	16	REVERSE_FR	STAGGER	 0.0000366	 0.0070427	 0.0071931	 0.0071889	
500	16	REVERSE_FR	SAWTOTH	 0.0000365	 0.0086926	 0.0041400	 0.0041378	
500	16	REVERSE_FR	_RANDOM	 0.0000366	 0.0032314	 0.0034803	 0.0034854	
500	16	REVERSE_FR	PLATEAU	 0.0000417	 0.0014525	 0.0001945	 0.0001949	
500	16	REVERSE_FR	SHUFFLE	 0.0000414	 0.0070459	 0.0034698	 0.0034267	
500	16	REVERSE_BA	SPIRAL	 0.0000484	 0.0086252	 0.0056188	 0.0056288	
500	16	REVERSE_BA	STAGGER	 0.0000366	 0.0073185	 0.0063069	 0.0063232	
500	16	REVERSE_BA	SAWTOTH	 0.0000365	 0.0094656	 0.0047198	 0.0047158	
500	16	REVERSE_BA	_RANDOM	 0.0000364	 0.0032700	 0.0042492	 0.0042638	
500	16	REVERSE_BA	PLATEAU	 0.0000365	 0.0002011	 0.0002091	 0.0002083	
500	16	REVERSE_BA	SHUFFLE	 0.0000415	 0.0072018	 0.0048454	 0.0048316	
500	16	SORT______	SPIRAL	 0.0000404	 0.0002017	 0.0002033	 0.0002035	
500	16	SORT______	STAGGER	 0.0000357	 0.0002016	 0.0002084	 0.0002084	
500	16	SORT______	SAWTOTH	 0.0000356	 0.0002048	 0.0002165	 0.0002181	
