Parsing sort-0.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_05_01	DPQ_19_08_09	
50	4	REVERSE___	SPIRAL	 0.0000158	 0.0002414	 0.0003228	 0.0003195	
50	4	REVERSE___	STAGGER	 0.0000158	 0.0002944	 0.0003158	 0.0002969	
50	4	REVERSE___	SAWTOTH	 0.0000159	 0.0002827	 0.0002238	 0.0002036	
50	4	REVERSE___	_RANDOM	 0.0000159	 0.0002215	 0.0001945	 0.0001928	
50	4	REVERSE___	PLATEAU	 0.0000158	 0.0000483	 0.0000332	 0.0000350	
50	4	REVERSE___	SHUFFLE	 0.0000159	 0.0002880	 0.0003232	 0.0003293	
50	4	REVERSE_FR	SPIRAL	 0.0000159	 0.0003667	 0.0002774	 0.0002736	
50	4	REVERSE_FR	STAGGER	 0.0000159	 0.0002840	 0.0002962	 0.0002973	
50	4	REVERSE_FR	SAWTOTH	 0.0000158	 0.0002689	 0.0002112	 0.0001968	
50	4	REVERSE_FR	_RANDOM	 0.0000159	 0.0002158	 0.0002007	 0.0002020	
50	4	REVERSE_FR	PLATEAU	 0.0000158	 0.0000508	 0.0001487	 0.0000410	
50	4	REVERSE_FR	SHUFFLE	 0.0000159	 0.0002645	 0.0002985	 0.0003438	
50	4	REVERSE_BA	SPIRAL	 0.0000159	 0.0003370	 0.0004302	 0.0004183	
50	4	REVERSE_BA	STAGGER	 0.0000159	 0.0002718	 0.0002799	 0.0002995	
50	4	REVERSE_BA	SAWTOTH	 0.0000158	 0.0001609	 0.0001987	 0.0001988	
50	4	REVERSE_BA	_RANDOM	 0.0000158	 0.0002109	 0.0001949	 0.0001996	
50	4	REVERSE_BA	PLATEAU	 0.0000159	 0.0000430	 0.0000269	 0.0000289	
50	4	REVERSE_BA	SHUFFLE	 0.0000158	 0.0003113	 0.0003164	 0.0003232	
50	7	IDENT_____	SPIRAL	 0.0000159	 0.0003338	 0.0002825	 0.0002786	
50	7	IDENT_____	STAGGER	 0.0000158	 0.0005385	 0.0003455	 0.0003452	
50	7	IDENT_____	SAWTOTH	 0.0000159	 0.0002981	 0.0003059	 0.0003335	
50	7	IDENT_____	_RANDOM	 0.0000159	 0.0002871	 0.0002487	 0.0002626	
50	7	IDENT_____	PLATEAU	 0.0000159	 0.0000440	 0.0000270	 0.0000289	
50	7	IDENT_____	SHUFFLE	 0.0000159	 0.0002083	 0.0001996	 0.0002075	
50	7	REVERSE___	SPIRAL	 0.0000159	 0.0002736	 0.0003053	 0.0003032	
50	7	REVERSE___	STAGGER	 0.0000159	 0.0003152	 0.0003492	 0.0003502	
50	7	REVERSE___	SAWTOTH	 0.0000158	 0.0003439	 0.0002931	 0.0002883	
50	7	REVERSE___	_RANDOM	 0.0000159	! 0.0003093	 0.0002398	 0.0002690	
