Parsing sort-0.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_05_01	DPQ_19_08_09	
150	1	IDENT_____	STAGGER	 0.0000213	 0.0009393	 0.0016077	 0.0016402	
150	1	IDENT_____	SAWTOTH	 0.0000213	 0.0000721	 0.0000419	 0.0000438	
150	1	IDENT_____	_RANDOM	 0.0000213	 0.0000720	 0.0000420	 0.0000438	
150	1	IDENT_____	PLATEAU	 0.0000213	 0.0000801	 0.0000639	 0.0000667	
150	1	IDENT_____	SHUFFLE	 0.0000213	 0.0002687	 0.0000651	 0.0000667	
150	1	REVERSE___	SPIRAL	 0.0000213	 0.0009125	 0.0015371	 0.0015515	
150	1	REVERSE___	STAGGER	 0.0000213	 0.0015984	 0.0004769	 0.0004723	
150	1	REVERSE___	SAWTOTH	 0.0000213	 0.0000720	 0.0000419	 0.0000439	
150	1	REVERSE___	_RANDOM	 0.0000213	 0.0000720	 0.0000419	 0.0000438	
150	1	REVERSE___	PLATEAU	 0.0000213	 0.0000803	 0.0000473	 0.0000484	
150	1	REVERSE___	SHUFFLE	 0.0000213	 0.0008577	 0.0001411	 0.0001469	
150	1	SORT______	SPIRAL	 0.0000213	 0.0002688	 0.0000643	 0.0000687	
150	1	SORT______	STAGGER	 0.0000213	 0.0002832	 0.0000521	 0.0000531	
150	1	SORT______	SAWTOTH	 0.0000213	 0.0000720	 0.0000420	 0.0000434	
150	1	SORT______	_RANDOM	 0.0000213	 0.0000720	 0.0000420	 0.0000438	
150	1	SORT______	PLATEAU	 0.0000213	 0.0000801	 0.0000638	 0.0000667	
150	1	SORT______	SHUFFLE	 0.0000213	 0.0002688	 0.0000645	 0.0000666	
150	1	DITHER____	SPIRAL	 0.0000213	 0.0011640	 0.0013117	 0.0011931	
150	1	DITHER____	STAGGER	 0.0000213	 0.0009646	 0.0016044	 0.0015898	
150	1	DITHER____	SAWTOTH	 0.0000213	 0.0003609	 0.0007432	 0.0007682	
150	1	DITHER____	_RANDOM	 0.0000213	 0.0003585	 0.0007409	 0.0007636	
150	1	DITHER____	PLATEAU	 0.0000213	 0.0004197	 0.0007572	 0.0007988	
150	1	DITHER____	SHUFFLE	 0.0000213	 0.0005024	 0.0003971	 0.0003895	
150	1	REVERSE___	SPIRAL	 0.0000213	 0.0009147	 0.0015391	 0.0015445	
150	1	REVERSE___	STAGGER	 0.0000213	 0.0015991	 0.0004776	 0.0004737	
150	1	REVERSE___	SAWTOTH	 0.0000213	 0.0000721	 0.0000421	 0.0000438	
150	1	REVERSE___	_RANDOM	 0.0000213	 0.0000720	 0.0000419	 0.0000439	
150	1	REVERSE___	PLATEAU	 0.0000212	 0.0000803	 0.0000473	 0.0000484	
150	1	REVERSE___	SHUFFLE	 0.0000213	 0.0008565	 0.0001410	 0.0001469	
150	1	REVERSE_FR	SPIRAL	 0.0000213	 0.0010398	 0.0013133	 0.0010052	
150	1	REVERSE_FR	STAGGER	 0.0000213	 0.0015543	 0.0016358	 0.0018991	
150	1	REVERSE_FR	SAWTOTH	 0.0000213	 0.0000721	 0.0000422	 0.0000439	
150	1	REVERSE_FR	_RANDOM	 0.0000213	 0.0000721	 0.0000420	 0.0000438	
150	1	REVERSE_FR	PLATEAU	 0.0000213	 0.0000822	 0.0000557	 0.0000563	
150	1	REVERSE_FR	SHUFFLE	 0.0000213	 0.0009163	 0.0001166	 0.0001158	
150	1	REVERSE_BA	SPIRAL	 0.0000213	 0.0013964	 0.0012034	 0.0012510	
150	1	REVERSE_BA	STAGGER	 0.0000213	 0.0010492	 0.0004090	 0.0004164	
150	1	REVERSE_BA	SAWTOTH	 0.0000213	 0.0000722	 0.0000419	 0.0000439	
150	1	REVERSE_BA	_RANDOM	 0.0000213	 0.0000720	 0.0000419	 0.0000440	
150	1	REVERSE_BA	PLATEAU	 0.0000213	 0.0000800	 0.0000637	 0.0000667	
150	1	REVERSE_BA	SHUFFLE	 0.0000213	 0.0005091	 0.0003820	 0.0003972	
150	4	IDENT_____	SPIRAL	 0.0000213	 0.0010138	 0.0012985	 0.0012630	
150	4	IDENT_____	STAGGER	 0.0000213	 0.0011573	 0.0014235	 0.0014464	
150	4	IDENT_____	SAWTOTH	 0.0000213	 0.0003766	 0.0005832	 0.0005247	
150	4	IDENT_____	_RANDOM	 0.0000213	 0.0003554	 0.0005744	 0.0004748	
150	4	IDENT_____	PLATEAU	 0.0000213	 0.0000803	 0.0000639	 0.0000666	
150	4	IDENT_____	SHUFFLE	 0.0000213	 0.0009760	 0.0010467	 0.0010202	
150	4	REVERSE___	SPIRAL	 0.0000213	 0.0008704	 0.0015372	 0.0014309	
150	4	REVERSE___	STAGGER	 0.0000213	 0.0012772	 0.0016414	 0.0012111	
150	4	REVERSE___	SAWTOTH	 0.0000213	 0.0003543	 0.0005044	 0.0004529	
150	4	REVERSE___	_RANDOM	 0.0000213	 0.0004131	 0.0005414	 0.0005090	
150	4	REVERSE___	PLATEAU	 0.0000213	 0.0000904	 0.0000533	 0.0000554	
150	4	REVERSE___	SHUFFLE	 0.0000213	 0.0009928	 0.0011367	 0.0012602	
150	4	SORT______	SPIRAL	 0.0000213	 0.0002687	 0.0000639	 0.0000687	
150	4	SORT______	STAGGER	 0.0000213	 0.0003455	 0.0000662	 0.0000685	
150	4	SORT______	SAWTOTH	 0.0000213	 0.0003155	 0.0000607	 0.0000660	
150	4	SORT______	_RANDOM	 0.0000213	 0.0003090	 0.0000614	 0.0000654	
150	4	SORT______	PLATEAU	 0.0000213	 0.0000799	 0.0000639	 0.0000667	
150	4	SORT______	SHUFFLE	 0.0000213	 0.0002687	 0.0000662	 0.0000667	
150	4	DITHER____	SPIRAL	 0.0000213	 0.0010699	 0.0012284	 0.0012303	
150	4	DITHER____	STAGGER	 0.0000213	 0.0011574	 0.0014216	 0.0014469	
