Parsing sort-500.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_19_01	DPQ_19_01_05	
500	1	IDENT_____	STAGGER	 0.0000357	 0.0013626	 0.0083776	 0.0087166	! 0.0101083	 0.0078874	
500	1	IDENT_____	SAWTOTH	 0.0000354	 0.0001998	 0.0001941	 0.0002441	 0.0001901	 0.0002107	
500	1	IDENT_____	_RANDOM	 0.0000354	 0.0001997	 0.0002469	 0.0002384	 0.0001872	 0.0001942	
500	1	IDENT_____	PLATEAU	 0.0000354	 0.0002038	 0.0003595	 0.0004040	 0.0003986	 0.0004023	
500	1	IDENT_____	SHUFFLE	 0.0000355	 0.0002026	 0.0009403	 0.0010757	 0.0008355	 0.0010113	
500	1	REVERSE___	STAGGER	 0.0000358	 0.0018432	 0.0064036	 0.0089808	 0.0060669	! 0.0096798	
500	1	REVERSE___	SAWTOTH	 0.0000417	 0.0001930	 0.0001843	 0.0002318	 0.0001844	 0.0002103	
500	1	REVERSE___	_RANDOM	 0.0000391	 0.0001960	 0.0001866	 0.0002444	 0.0001839	 0.0001896	
500	1	REVERSE___	PLATEAU	 0.0000391	 0.0004979	 0.0003955	 0.0003921	 0.0003870	 0.0003930	
500	1	REVERSE___	SHUFFLE	 0.0000358	 0.0004339	 0.0022818	 0.0022636	 0.0019192	 0.0032479	
500	1	REVERSE_FR	STAGGER	 0.0000358	 0.0016369	 0.0078479	 0.0082082	 0.0075262	 0.0081009	
500	1	REVERSE_FR	SAWTOTH	 0.0000357	 0.0001993	 0.0001956	 0.0002381	 0.0001914	 0.0002024	
500	1	REVERSE_FR	_RANDOM	 0.0000358	 0.0001987	 0.0001962	 0.0002376	 0.0001870	 0.0001926	
500	1	REVERSE_FR	PLATEAU	 0.0000406	 0.0011646	 0.0004001	 0.0003965	 0.0004011	 0.0004342	
500	1	REVERSE_FR	SHUFFLE	 0.0000358	 0.0003305	 0.0035737	 0.0032429	 0.0036179	 0.0031289	
500	1	REVERSE_BA	STAGGER	 0.0000357	 0.0015620	 0.0074038	 0.0065264	! 0.0083782	 0.0064377	
500	1	REVERSE_BA	SAWTOTH	 0.0000411	 0.0001941	 0.0001917	 0.0002377	 0.0001867	 0.0001917	
500	1	REVERSE_BA	_RANDOM	 0.0000386	 0.0002009	 0.0001900	 0.0002349	 0.0001841	 0.0001900	
500	1	REVERSE_BA	PLATEAU	 0.0000358	 0.0002020	 0.0003571	 0.0004038	 0.0003984	 0.0004047	
