Parsing sort-100,500,5000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_02_10	DPQ_19_04_05	
100	4	REVERSE_BA	SAWTOTH	 0.0000166	 0.0003053	 0.0004634	 0.0004550	
100	4	REVERSE_BA	_RANDOM	 0.0000166	 0.0003728	 0.0003714	 0.0002746	
100	4	REVERSE_BA	PLATEAU	 0.0000166	 0.0000618	 0.0000459	 0.0000457	
100	4	REVERSE_BA	SHUFFLE	 0.0000166	 0.0007255	 0.0007569	 0.0007638	
100	4	SORT______	SPIRAL	 0.0000159	 0.0001214	 0.0000464	 0.0000453	
100	4	SORT______	STAGGER	 0.0000159	 0.0001234	 0.0000493	 0.0000486	
100	4	SORT______	SAWTOTH	 0.0000159	 0.0002180	 0.0000460	 0.0000457	
100	4	SORT______	_RANDOM	 0.0000159	 0.0002005	 0.0000453	 0.0000447	
100	4	SORT______	PLATEAU	 0.0000159	 0.0000645	 0.0000454	 0.0000460	
100	4	SORT______	SHUFFLE	 0.0000159	 0.0001213	 0.0000454	 0.0000454	
100	4	DITHER____	SPIRAL	 0.0000166	 0.0010453	 0.0006745	 0.0006651	
100	4	DITHER____	STAGGER	 0.0000166	 0.0007263	 0.0007807	 0.0007925	
100	4	DITHER____	SAWTOTH	 0.0000166	 0.0004922	 0.0010666	 0.0010570	
100	4	DITHER____	_RANDOM	 0.0000166	 0.0004692	 0.0005700	 0.0004883	
100	4	DITHER____	PLATEAU	 0.0000166	 0.0002882	 0.0005119	 0.0004864	
100	4	DITHER____	SHUFFLE	 0.0000166	 0.0006892	 0.0006831	 0.0006893	
100	16	IDENT_____	SPIRAL	 0.0000166	 0.0014186	 0.0005782	 0.0005721	
100	16	IDENT_____	STAGGER	 0.0000166	 0.0008497	 0.0008421	 0.0008187	
100	16	IDENT_____	SAWTOTH	 0.0000166	 0.0007779	 0.0008452	 0.0008374	
100	16	IDENT_____	_RANDOM	 0.0000166	 0.0007341	 0.0008175	 0.0007170	
100	16	IDENT_____	PLATEAU	 0.0000166	 0.0000761	 0.0000456	 0.0000456	
100	16	IDENT_____	SHUFFLE	 0.0000166	! 0.0004552	 0.0003178	 0.0003971	
100	16	REVERSE___	SPIRAL	 0.0000166	 0.0005573	 0.0007580	 0.0007545	
100	16	REVERSE___	STAGGER	 0.0000166	 0.0008954	 0.0008292	 0.0008438	
100	16	REVERSE___	SAWTOTH	 0.0000166	 0.0006527	 0.0008486	 0.0007953	
100	16	REVERSE___	_RANDOM	 0.0000166	 0.0007059	 0.0008069	 0.0008236	
100	16	REVERSE___	PLATEAU	 0.0000166	 0.0002113	 0.0000607	 0.0000602	
100	16	REVERSE___	SHUFFLE	 0.0000166	 0.0005626	 0.0007206	 0.0006885	
100	16	REVERSE_FR	SPIRAL	 0.0000166	 0.0006822	 0.0005096	 0.0004964	
100	16	REVERSE_FR	STAGGER	 0.0000166	 0.0006683	 0.0010297	 0.0011013	
100	16	REVERSE_FR	SAWTOTH	 0.0000166	 0.0007230	 0.0008722	 0.0008611	
100	16	REVERSE_FR	_RANDOM	 0.0000166	 0.0007391	 0.0008395	 0.0007410	
100	16	REVERSE_FR	PLATEAU	 0.0000166	 0.0002140	 0.0000694	 0.0000681	
100	16	REVERSE_FR	SHUFFLE	 0.0000166	 0.0004685	 0.0005011	 0.0005627	
100	16	REVERSE_BA	SPIRAL	 0.0000166	 0.0006752	 0.0010894	 0.0009774	
100	16	REVERSE_BA	STAGGER	 0.0000166	 0.0007979	 0.0007637	 0.0007510	
100	16	REVERSE_BA	SAWTOTH	 0.0000166	 0.0006766	 0.0009508	 0.0009041	
100	16	REVERSE_BA	_RANDOM	 0.0000166	 0.0006400	 0.0007882	 0.0008017	
100	16	REVERSE_BA	PLATEAU	 0.0000166	 0.0000760	 0.0000455	 0.0000457	
100	16	REVERSE_BA	SHUFFLE	 0.0000166	! 0.0005162	 0.0004899	 0.0005254	
100	16	SORT______	SPIRAL	 0.0000159	 0.0001186	 0.0000466	 0.0000453	
100	16	SORT______	STAGGER	 0.0000159	 0.0001213	 0.0000454	 0.0000457	
100	16	SORT______	SAWTOTH	 0.0000159	 0.0001197	 0.0000481	 0.0000479	
100	16	SORT______	_RANDOM	 0.0000159	 0.0001222	 0.0000473	 0.0000472	
100	16	SORT______	PLATEAU	 0.0000159	 0.0000787	 0.0000455	 0.0000459	
100	16	SORT______	SHUFFLE	 0.0000159	 0.0001214	 0.0000454	 0.0000454	
100	16	DITHER____	SPIRAL	 0.0000166	 0.0011534	 0.0005937	 0.0005665	
100	16	DITHER____	STAGGER	 0.0000166	 0.0008562	 0.0008484	 0.0008468	
100	16	DITHER____	SAWTOTH	 0.0000166	 0.0007290	 0.0007643	 0.0008129	
100	16	DITHER____	_RANDOM	 0.0000166	 0.0007300	 0.0008833	 0.0007239	
100	16	DITHER____	PLATEAU	 0.0000166	 0.0003466	 0.0005780	 0.0005959	
100	16	DITHER____	SHUFFLE	 0.0000167	 0.0005319	 0.0004757	 0.0004716	
100	64	IDENT_____	SPIRAL	 0.0000166	 0.0010982	 0.0003147	 0.0008629	
100	64	IDENT_____	STAGGER	 0.0000166	 0.0009787	 0.0009410	 0.0009677	
100	64	IDENT_____	SAWTOTH	 0.0000166	 0.0007887	 0.0002182	 0.0009942	
100	64	IDENT_____	_RANDOM	 0.0000166	 0.0007948	 0.0008941	 0.0008769	
100	64	IDENT_____	PLATEAU	 0.0000166	 0.0001182	 0.0000455	 0.0000456	
100	64	IDENT_____	SHUFFLE	 0.0000166	 0.0002713	 0.0002374	 0.0003064	
100	64	REVERSE___	SPIRAL	 0.0000166	 0.0004571	 0.0008200	 0.0006741	
100	64	REVERSE___	STAGGER	 0.0000166	 0.0008860	 0.0008439	 0.0008707	
100	64	REVERSE___	SAWTOTH	 0.0000166	 0.0006471	 0.0003363	 0.0006396	
100	64	REVERSE___	_RANDOM	 0.0000166	 0.0007851	 0.0008954	 0.0008707	
100	64	REVERSE___	PLATEAU	 0.0000166	 0.0003288	 0.0001002	 0.0001001	
100	64	REVERSE___	SHUFFLE	 0.0000166	 0.0004777	! 0.0005267	 0.0007946	
100	64	REVERSE_FR	SPIRAL	 0.0000166	 0.0006360	 0.0006680	 0.0007399	
100	64	REVERSE_FR	STAGGER	 0.0000166	 0.0006866	 0.0009620	 0.0009876	
100	64	REVERSE_FR	SAWTOTH	 0.0000166	 0.0008427	 0.0002662	 0.0010657	
100	64	REVERSE_FR	_RANDOM	 0.0000166	 0.0007811	 0.0008225	 0.0008647	
100	64	REVERSE_FR	PLATEAU	 0.0000166	 0.0004098	 0.0000874	 0.0000854	
100	64	REVERSE_FR	SHUFFLE	 0.0000166	 0.0004745	 0.0003941	 0.0005160	
100	64	REVERSE_BA	SPIRAL	 0.0000166	 0.0007499	 0.0008501	 0.0008666	
100	64	REVERSE_BA	STAGGER	 0.0000166	 0.0009260	 0.0008875	 0.0008662	
100	64	REVERSE_BA	SAWTOTH	 0.0000166	 0.0007720	 0.0007399	 0.0007828	
100	64	REVERSE_BA	_RANDOM	 0.0000166	 0.0007937	 0.0008682	 0.0008398	
100	64	REVERSE_BA	PLATEAU	 0.0000166	 0.0003170	 0.0002366	 0.0004152	
100	64	REVERSE_BA	SHUFFLE	 0.0000166	 0.0003519	 0.0003692	 0.0004458	
100	64	SORT______	SPIRAL	 0.0000159	 0.0001186	 0.0000461	 0.0000454	
100	64	SORT______	STAGGER	 0.0000159	 0.0001261	 0.0000492	 0.0000486	
100	64	SORT______	SAWTOTH	 0.0000159	 0.0001220	 0.0000394	 0.0000391	
100	64	SORT______	_RANDOM	 0.0000159	 0.0001211	 0.0000444	 0.0000444	
100	64	SORT______	PLATEAU	 0.0000159	 0.0001188	 0.0000454	 0.0000463	
100	64	SORT______	SHUFFLE	 0.0000159	 0.0001188	 0.0000453	 0.0000457	
100	64	DITHER____	SPIRAL	 0.0000166	 0.0009912	 0.0009705	 0.0009769	
100	64	DITHER____	STAGGER	 0.0000166	 0.0009769	 0.0009407	 0.0009802	
100	64	DITHER____	SAWTOTH	 0.0000166	 0.0008349	 0.0008700	 0.0008623	
100	64	DITHER____	_RANDOM	 0.0000166	 0.0007760	 0.0008775	 0.0009086	
100	64	DITHER____	PLATEAU	 0.0000166	 0.0006286	 0.0004952	 0.0004701	
100	64	DITHER____	SHUFFLE	 0.0000166	 0.0003636	 0.0003708	 0.0004332	
100	256	IDENT_____	SPIRAL	 0.0000166	 0.0004081	 0.0000994	 0.0000993	
100	256	IDENT_____	STAGGER	 0.0000166	 0.0009123	 0.0008941	 0.0009746	
100	256	IDENT_____	SAWTOTH	 0.0000166	 0.0001190	 0.0000455	 0.0000456	
100	256	IDENT_____	_RANDOM	 0.0000166	 0.0007829	 0.0009050	 0.0008265	
100	256	IDENT_____	PLATEAU	 0.0000166	 0.0001189	 0.0000458	 0.0000456	
100	256	IDENT_____	SHUFFLE	 0.0000166	 0.0002101	! 0.0001469	! 0.0001689	
100	256	REVERSE___	SPIRAL	 0.0000166	 0.0001191	 0.0000456	 0.0000455	
100	256	REVERSE___	STAGGER	 0.0000166	 0.0009413	 0.0007466	 0.0007576	
100	256	REVERSE___	SAWTOTH	 0.0000166	 0.0004137	 0.0000995	 0.0000993	
100	256	REVERSE___	_RANDOM	 0.0000166	 0.0007497	 0.0008516	 0.0008205	
100	256	REVERSE___	PLATEAU	 0.0000166	 0.0004079	 0.0000994	 0.0000992	
100	256	REVERSE___	SHUFFLE	 0.0000166	 0.0004211	! 0.0001931	! 0.0003817	
100	256	REVERSE_FR	SPIRAL	 0.0000166	 0.0006959	 0.0002124	 0.0012216	
100	256	REVERSE_FR	STAGGER	 0.0000166	 0.0008060	 0.0011252	 0.0011962	
100	256	REVERSE_FR	SAWTOTH	 0.0000166	 0.0004049	 0.0000874	 0.0000854	
100	256	REVERSE_FR	_RANDOM	 0.0000166	 0.0007541	 0.0008455	 0.0009066	
100	256	REVERSE_FR	PLATEAU	 0.0000166	 0.0004113	 0.0000868	 0.0000854	
100	256	REVERSE_FR	SHUFFLE	 0.0000166	 0.0004241	! 0.0002709	! 0.0003050	
100	256	REVERSE_BA	SPIRAL	 0.0000166	 0.0007531	 0.0011636	 0.0011984	
100	256	REVERSE_BA	STAGGER	 0.0000166	 0.0008574	 0.0009285	 0.0009375	
100	256	REVERSE_BA	SAWTOTH	 0.0000166	 0.0002173	 0.0002955	 0.0003772	
100	256	REVERSE_BA	_RANDOM	 0.0000166	 0.0008333	 0.0008710	 0.0008863	
100	256	REVERSE_BA	PLATEAU	 0.0000166	 0.0002173	 0.0002962	 0.0003810	
100	256	REVERSE_BA	SHUFFLE	 0.0000166	 0.0002889	! 0.0003768	 0.0004455	
100	256	SORT______	SPIRAL	 0.0000159	 0.0001188	 0.0000459	 0.0000453	
100	256	SORT______	STAGGER	 0.0000159	 0.0001187	 0.0000454	 0.0000453	
100	256	SORT______	SAWTOTH	 0.0000159	 0.0001188	 0.0000453	 0.0000453	
100	256	SORT______	_RANDOM	 0.0000159	 0.0001243	 0.0000390	 0.0000388	
100	256	SORT______	PLATEAU	 0.0000159	 0.0001187	 0.0000455	 0.0000455	
100	256	SORT______	SHUFFLE	 0.0000159	 0.0001186	 0.0000455	 0.0000454	
