Parsing results/sort-10000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_18_11I	RADIX	MARLIN	
10000	1	IDENT_____	STAGGER	 0.0011926	 0.0286654	 0.0247208	 0.0255876	 0.0241934	 0.0271679	 0.0476752	
10000	1	IDENT_____	SAWTOTH	 0.0012061	 0.0049315	 0.0038228	 0.0022639	 0.0029554	 0.0040762	 0.0371729	
10000	1	IDENT_____	_RANDOM	 0.0011925	 0.0043504	 0.0028611	 0.0023232	 0.0022979	 0.0040384	 0.0372512	
10000	1	IDENT_____	PLATEAU	 0.0011988	! 0.0118620	 0.0050240	 0.0069446	 0.0060885	 0.0041188	 0.0401795	
10000	1	IDENT_____	SHUFFLE	 0.0011911	! 0.0109171	 0.0050349	 0.0069805	 0.0050331	! 0.0058854	 0.0326705	
10000	1	REVERSE___	STAGGER	 0.0011940	 0.0354610	 0.0302968	 0.0317573	 0.0302570	 0.0334154	 0.1154124	
10000	1	REVERSE___	SAWTOTH	 0.0011993	 0.0043154	 0.0028554	 0.0024052	 0.0028399	 0.0043642	 0.0376601	
10000	1	REVERSE___	_RANDOM	 0.0012259	 0.0042711	 0.0029649	 0.0022901	 0.0030086	 0.0040463	 0.0372831	
10000	1	REVERSE___	PLATEAU	 0.0012139	 0.0124343	 0.0026701	 0.0031746	 0.0026954	 0.0045743	 0.0446612	
10000	1	REVERSE___	SHUFFLE	 0.0011819	 0.0125120	 0.0114033	 0.0135630	 0.0115725	 0.0104117	 0.0985980	
10000	1	REVERSE_FR	STAGGER	 0.0011946	 0.0334262	! 0.0344472	 0.0272664	 0.0258720	 0.0313256	 0.0818530	
10000	1	REVERSE_FR	SAWTOTH	 0.0011788	 0.0058131	 0.0028719	 0.0023476	 0.0030008	 0.0048748	 0.0372622	
10000	1	REVERSE_FR	_RANDOM	 0.0011849	 0.0044142	 0.0030512	 0.0023439	 0.0029873	 0.0043626	 0.0372889	
10000	1	REVERSE_FR	PLATEAU	 0.0011957	 0.0271758	 0.0027350	 0.0028366	 0.0031228	 0.0028975	 0.0443336	
10000	1	REVERSE_FR	SHUFFLE	 0.0011837	 0.0088916	! 0.0146170	 0.0095781	 0.0122510	 0.0300008	 0.0695947	
10000	1	REVERSE_BA	STAGGER	 0.0012080	 0.0307817	 0.0263990	 0.0277685	 0.0259445	 0.0305252	 0.0827653	
10000	1	REVERSE_BA	SAWTOTH	 0.0012001	 0.0049100	 0.0030199	 0.0023167	 0.0029655	 0.0040572	 0.0373277	
10000	1	REVERSE_BA	_RANDOM	 0.0011803	 0.0056503	 0.0038557	 0.0023584	 0.0030528	 0.0043816	 0.0373315	
10000	1	REVERSE_BA	PLATEAU	 0.0011943	 0.0054245	 0.0058208	 0.0069780	 0.0047256	 0.0041068	 0.0401628	
10000	1	REVERSE_BA	SHUFFLE	 0.0012017	 0.0314511	 0.0265728	 0.0272101	 0.0252050	 0.0309250	 0.0706227	
10000	1	SORT______	STAGGER	 0.0011857	 0.0051827	! 0.0051266	! 0.0045923	! 0.0044657	 0.0069803	 0.0326331	
10000	1	SORT______	SAWTOTH	 0.0012002	! 0.0064900	 0.0038210	 0.0024122	 0.0038477	 0.0040385	 0.0373916	
10000	1	SORT______	_RANDOM	 0.0012061	 0.0049103	 0.0038305	 0.0024061	 0.0038402	 0.0040182	 0.0371975	
10000	1	SORT______	PLATEAU	 0.0011898	 0.0091549	 0.0058224	 0.0069824	 0.0050387	 0.0040603	 0.0401833	
10000	1	SORT______	SHUFFLE	 0.0011933	 0.0054527	 0.0058309	 0.0068696	 0.0058354	 0.0041077	 0.0328443	
10000	1	DITHER____	STAGGER	 0.0011991	 0.3080826	 0.3216704	 0.3545728	 0.3217131	 0.1464206	 0.1129568	
10000	1	DITHER____	SAWTOTH	 0.0011994	 0.0290993	 0.0237047	 0.0288317	 0.0237984	 0.1010368	 0.2172402	
10000	1	DITHER____	_RANDOM	 0.0011968	 0.0290254	 0.0264148	 0.0248549	 0.0241533	 0.1010615	 0.2369631	
10000	1	DITHER____	PLATEAU	 0.0012011	 0.0315940	 0.0253405	 0.0248491	 0.0236527	 0.1010572	 0.2166881	
10000	1	DITHER____	SHUFFLE	 0.0011911	 0.0578784	 0.0513068	 0.0496212	 0.0508150	 0.1333351	 0.1173511	
10000	4	IDENT_____	STAGGER	 0.0012009	 0.0640025	 0.0392289	 0.0414320	 0.0417135	 0.0597277	 0.1055578	
10000	4	IDENT_____	SAWTOTH	 0.0011832	 0.0225617	 0.0200435	! 0.0289377	 0.0206134	 0.1012208	 0.2296439	
10000	4	IDENT_____	_RANDOM	 0.0011855	 0.0887582	 0.0895720	 0.1023635	 0.0871870	 0.1023750	 0.4534270	
10000	4	IDENT_____	PLATEAU	 0.0011985	 0.0074840	 0.0076733	 0.0069382	 0.0050343	 0.0040888	 0.0401946	
10000	4	IDENT_____	SHUFFLE	 0.0012050	 0.3523918	 0.2709251	 0.2534331	 0.2753515	 0.1798059	 0.2671191	
