Parsing results/sort-100000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_18_11I	RADIX	MARLIN	
100000	4	REVERSE___	PLATEAU	 0.0227967	 0.1153995	 0.0325737	 0.0325059	 0.0317358	 0.0405542	 0.4212436	
100000	4	REVERSE___	SHUFFLE	 0.0228389	 3.5089909	 3.1771020	 2.7539194	 2.8918621	 1.7772776	 3.5278794	
100000	4	REVERSE_FR	STAGGER	 0.0228046	 0.6673578	 0.4598017	 0.5016819	 0.4869554	 0.6909333	 1.5378810	
100000	4	REVERSE_FR	SAWTOTH	 0.0227996	 0.2359137	 0.2780108	 0.3219523	 0.2746039	 0.9807166	 2.7263564	
100000	4	REVERSE_FR	_RANDOM	 0.0228107	 0.9770614	 0.9653741	 0.9686317	 0.9648880	 0.9930399	 4.4239388	
100000	4	REVERSE_FR	PLATEAU	 0.0228147	 0.2737762	 0.0326693	 0.0325010	 0.0334022	 0.0280185	 0.4201446	
100000	4	REVERSE_FR	SHUFFLE	 0.0228306	 3.7753099	 2.6437417	 2.2429028	 2.6524448	 1.9680351	 3.5101532	
100000	4	REVERSE_BA	STAGGER	 0.0227938	 0.7148496	 0.4562036	 0.5109711	 0.4805341	 0.7376121	 1.4242089	
100000	4	REVERSE_BA	SAWTOTH	 0.0228200	 0.1975250	 0.2378016	 0.2187136	 0.2370776	 0.9819001	 2.6085978	
100000	4	REVERSE_BA	_RANDOM	 0.0227726	 0.9824245	 0.9613528	 0.9709348	 0.9703362	 0.9940942	 4.3856744	
100000	4	REVERSE_BA	PLATEAU	 0.0228180	 0.0720816	 0.0485722	 0.0508863	 0.0495820	 0.0384229	 0.3861836	
100000	4	REVERSE_BA	SHUFFLE	 0.0228229	 3.7921111	 3.2192518	 2.9444929	 3.2705621	 1.9026466	 3.5858279	
100000	4	SORT______	STAGGER	 0.0227960	 0.0663269	 0.0507481	 0.0595426	 0.0499474	 0.0384584	 0.3304912	
100000	4	SORT______	SAWTOTH	 0.0222764	 0.0594868	 0.0569610	 0.0550632	 0.0572838	 0.0394010	 0.3864148	
100000	4	SORT______	_RANDOM	 0.0222529	 0.0520602	 0.0432748	 0.0588080	 0.0567217	 0.0394341	 0.3865034	
100000	4	SORT______	PLATEAU	 0.0227953	 0.0668365	 0.0494332	 0.0521534	 0.0495481	 0.0384468	 0.3856034	
100000	4	SORT______	SHUFFLE	 0.0228003	 0.0721563	 0.0494276	 0.0659230	 0.0487353	 0.0383752	 0.3290960	
100000	4	DITHER____	STAGGER	 0.0228228	 0.6330222	 0.3879066	 0.4359486	 0.3952138	 0.6655504	 1.0137629	
100000	4	DITHER____	SAWTOTH	 0.0227667	 0.3536186	 0.6644793	 0.6294982	 0.6473221	 0.9792550	 3.2475764	
100000	4	DITHER____	_RANDOM	 0.0227824	 1.3013239	 1.2592447	 1.2418558	 1.2496994	 0.9800056	 5.1211705	
100000	4	DITHER____	PLATEAU	 0.0228263	 0.3379805	 0.2255198	 0.2295523	 0.2252198	 0.9766351	 2.6886427	
100000	4	DITHER____	SHUFFLE	 0.0228495	 3.7594421	 3.1121722	 3.0530937	 3.4278533	 2.4130402	 3.4706590	
100000	16	IDENT_____	STAGGER	 0.0227800	 1.1308245	 0.6279278	 0.6661819	 0.6230893	 1.5846251	 1.4724938	
100000	16	IDENT_____	SAWTOTH	 0.0228321	 1.3658070	 0.7137237	 0.7470677	 0.7100142	 0.9749847	 2.8850194	
100000	16	IDENT_____	_RANDOM	 0.0227932	 1.9335045	 1.7832642	 1.8144411	 1.7767250	 0.9789674	 5.6533960	
100000	16	IDENT_____	PLATEAU	 0.0228317	 0.0662595	 0.0502461	 0.0522376	 0.0494622	 0.0383895	 0.3841082	
100000	16	IDENT_____	SHUFFLE	 0.0227892	 2.7562040	 1.5264359	 1.3226463	 1.5142105	 1.9589977	 2.5732654	
100000	16	REVERSE___	STAGGER	 0.0228200	 1.1914235	 0.6936286	 0.7332937	 0.7079336	 1.6409694	 2.2075964	
100000	16	REVERSE___	SAWTOTH	 0.0228048	 1.4151123	 0.4332686	 0.4150109	 0.4356444	 0.9771333	 3.2166294	
100000	16	REVERSE___	_RANDOM	 0.0227939	 1.8863821	 1.8244162	 1.8259573	 1.8260519	 0.9786541	 5.6453912	
100000	16	REVERSE___	PLATEAU	 0.0228245	 0.1070714	 0.0281012	 0.0316351	 0.0323492	 0.0405462	 0.4192021	
100000	16	REVERSE___	SHUFFLE	 0.0228238	 2.5136513	 1.7893044	 1.5014384	 1.6692728	 1.8832416	 3.0828352	
100000	16	REVERSE_FR	STAGGER	 0.0228106	 1.1480997	 0.6633748	 0.6713550	 0.6734491	 1.6132665	 1.9224507	
100000	16	REVERSE_FR	SAWTOTH	 0.0227916	 1.0112101	 1.1446712	 1.1164896	 1.1341826	 0.9768658	 2.9885406	
100000	16	REVERSE_FR	_RANDOM	 0.0227907	 1.9911782	 1.8502727	 1.8866655	 1.8732886	 0.9791814	 5.6415057	
100000	16	REVERSE_FR	PLATEAU	 0.0228179	 0.2798997	 0.0335474	 0.0325554	 0.0325062	 0.0282063	 0.4212558	
100000	16	REVERSE_FR	SHUFFLE	 0.0228375	 2.5161529	 1.4247017	 1.2116449	 1.2599651	 1.9155422	 2.8441740	
100000	16	REVERSE_BA	STAGGER	 0.0228086	 1.1580053	 0.6678521	 0.6862506	 0.6726702	 1.6233059	 1.8147771	
100000	16	REVERSE_BA	SAWTOTH	 0.0228106	 1.0122212	 0.9668482	 0.9976780	 0.9820745	 0.9751488	 3.0365377	
100000	16	REVERSE_BA	_RANDOM	 0.0228185	 1.9516488	 1.7806525	 1.8360893	 1.8403352	 0.9786964	 5.6436569	
100000	16	REVERSE_BA	PLATEAU	 0.0228206	 0.0721108	 0.0493634	 0.0659496	 0.0502142	 0.0383689	 0.3859848	
100000	16	REVERSE_BA	SHUFFLE	 0.0228501	 2.6901464	 1.8912120	 1.8879458	 1.9056356	 1.9443351	 2.9369023	
100000	16	SORT______	STAGGER	 0.0228174	 0.0532615	 0.0574738	 0.0659654	 0.0470773	 0.0384479	 0.3287945	
100000	16	SORT______	SAWTOTH	 0.0226847	 0.0611945	 0.0477528	 0.0559864	 0.0536040	 0.0385823	 0.3872029	
100000	16	SORT______	_RANDOM	 0.0226796	 0.0613360	 0.0536919	 0.0554552	 0.0536707	 0.0385315	 0.3843553	
100000	16	SORT______	PLATEAU	 0.0228197	 0.0662178	 0.0500903	 0.0659554	 0.0495880	 0.0384861	 0.3845782	
100000	16	SORT______	SHUFFLE	 0.0227957	 0.0720826	 0.0501724	 0.0659530	 0.0494250	 0.0383292	 0.3295007	
100000	16	DITHER____	STAGGER	 0.0227977	 1.1354580	 0.6230261	 0.6442125	 0.6247061	 1.6002190	 1.4655295	
100000	16	DITHER____	SAWTOTH	 0.0227902	 1.6187354	 1.6166619	 1.5602795	 1.6413879	 0.9771154	 3.9971731	
100000	16	DITHER____	_RANDOM	 0.0227738	 2.0519309	 1.9429333	 1.9403927	 1.9754844	 0.9789830	 5.7779735	
100000	16	DITHER____	PLATEAU	 0.0228238	 0.3632234	 0.2253520	 0.2296304	 0.2365576	 0.9785787	 2.8208521	
100000	16	DITHER____	SHUFFLE	 0.0228069	 3.0397307	 1.9644214	 1.8383184	 1.9251508	 2.1107954	 2.6794879	
100000	64	IDENT_____	STAGGER	 0.0227985	 1.6250632	 0.8872923	 0.8693421	 0.8950185	 1.4839385	 1.7316511	
100000	64	IDENT_____	SAWTOTH	 0.0228181	 1.6957595	 1.9459415	 1.6968360	 1.9246531	 0.9764725	 2.9070186	
100000	64	IDENT_____	_RANDOM	 0.0227967	 2.8563252	 3.1201505	 2.7025412	 3.1164691	 0.9794114	 6.4867090	
100000	64	IDENT_____	PLATEAU	 0.0228257	 0.0662211	 0.0494934	 0.0508770	 0.0499675	 0.0384248	 0.3861391	
100000	64	IDENT_____	SHUFFLE	 0.0227701	 2.2530884	 0.9852166	 0.8022819	 0.9848225	 2.0345475	 1.9650786	
100000	64	REVERSE___	STAGGER	 0.0228008	 1.7635786	 0.9233672	 0.9159006	 0.9305047	 1.5033959	 2.5478627	
100000	64	REVERSE___	SAWTOTH	 0.0228111	 1.7104086	 1.8876552	 1.6251224	 1.8765392	 0.9772985	 3.3341482	
