
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =    3000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 9 with reps: 15695

50 4  _RANDOM REVERSE_FR	   0.000014	   0.000217	   0.000329	   0.000192	   0.000279	   0.001666	   0.000469	     65.78 % 
50 4  PLATEAU REVERSE_FR	   0.000014	   0.000071	   0.000139	   0.000144	   0.000117	   0.000118	   0.000210	     50.88 % 
50 4  SHUFFLE REVERSE_FR	   0.000015	   0.000288	   0.000281	   0.000290	   0.000245	   0.000594	   0.000478	    102.61 % ..
50 4  STAGGER REVERSE_BA	   0.000015	   0.000294	   0.000356	   0.000311	   0.000290	   0.000525	   0.000536	     82.47 % 
50 4  SAWTOTH REVERSE_BA	   0.000015	   0.000177	   0.000338	   0.000184	   0.000348	   0.000746	   0.000470	     52.42 % 
50 4  _RANDOM REVERSE_BA	   0.000014	   0.000206	   0.000348	   0.000191	   0.000305	   0.001698	   0.000471	     59.34 % 
50 4  PLATEAU REVERSE_BA	   0.000014	   0.000066	   0.000110	   0.000062	   0.000077	   0.000105	   0.000134	     60.50 % 
50 4  SHUFFLE REVERSE_BA	   0.000014	   0.000309	   0.000316	   0.000326	   0.000256	   0.000603	   0.000517	     97.93 % 
50 4  STAGGER SORT______	   0.000014	   0.000116	   0.000110	   0.000125	   0.000077	   0.000106	   0.000127	    105.84 % .!.
50 4  SAWTOTH SORT______	   0.000014	   0.000161	   0.000110	   0.000114	   0.000076	   0.000108	   0.000127	    146.78 % .!!!.
50 4  _RANDOM SORT______	   0.000014	   0.000154	   0.000110	   0.000106	   0.000077	   0.000107	   0.000127	    140.70 % .!!!.
50 4  PLATEAU SORT______	   0.000014	   0.000066	   0.000110	   0.000062	   0.000076	   0.000105	   0.000134	     60.49 % 
50 4  SHUFFLE SORT______	   0.000014	   0.000113	   0.000110	   0.000108	   0.000076	   0.000105	   0.000127	    102.79 % ..
50 4  STAGGER DITHER____	   0.000014	   0.000297	   0.000338	   0.000301	   0.000268	   0.000482	   0.000488	     87.77 % 
50 4  SAWTOTH DITHER____	   0.000014	   0.000306	   0.000372	   0.000264	   0.000341	   0.001723	   0.000506	     82.26 % 
50 4  _RANDOM DITHER____	   0.000014	   0.000272	   0.000348	   0.000240	   0.000310	   0.001702	   0.000481	     78.35 % 
50 4  PLATEAU DITHER____	   0.000014	   0.000236	   0.000321	   0.000243	   0.000297	   0.000645	   0.000469	     73.61 % 
50 4  SHUFFLE DITHER____	   0.000014	   0.000293	   0.000213	   0.000278	   0.000194	!  0.001064	   0.000363	    138.03 % .!!!.
