
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =    3000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 9 with reps: 15695

100 4  SHUFFLE SORT______	   0.000020	   0.000192	   0.000234	   0.000230	   0.000138	   0.000120	   0.000232	     82.08 % 
100 4  STAGGER DITHER____	   0.000020	   0.000749	   0.000988	   0.000874	   0.000793	   0.000813	   0.000995	     75.79 % 
100 4  SAWTOTH DITHER____	   0.000020	   0.000507	   0.001239	   0.001118	   0.001120	   0.003695	   0.001232	     40.96 % 
100 4  _RANDOM DITHER____	   0.000020	   0.000460	   0.000583	   0.000482	   0.001012	   0.003702	   0.001173	     78.83 % 
100 4  PLATEAU DITHER____	   0.000020	   0.000337	   0.000496	   0.000464	   0.000983	   0.003677	   0.001160	     67.82 % 
100 4  SHUFFLE DITHER____	   0.000020	   0.000778	   0.000685	   0.000631	   0.000632	   0.004023	   0.000900	    113.52 % .!!.
100 16  STAGGER IDENT_____	   0.000020	   0.000910	   0.000839	   0.000800	   0.001083	   0.003979	   0.001196	    108.49 % .!.
100 16  SAWTOTH IDENT_____	   0.000020	   0.000786	   0.000800	   0.000836	   0.000866	   0.000867	   0.001136	     98.17 % 
100 16  _RANDOM IDENT_____	   0.000020	   0.000781	   0.000893	   0.000781	   0.001043	   0.003728	   0.001198	     87.38 % 
100 16  PLATEAU IDENT_____	   0.000020	   0.000128	   0.000129	   0.000110	   0.000138	   0.000120	   0.000254	     99.39 % 
100 16  SHUFFLE IDENT_____	   0.000020	!  0.000456	   0.000361	   0.000408	!  0.000309	   0.000746	   0.000512	    126.51 % .!!!.
100 16  STAGGER REVERSE___	   0.000020	   0.000946	   0.000871	   0.000833	   0.001000	   0.004120	   0.001360	    108.54 % .!.
100 16  SAWTOTH REVERSE___	   0.000020	   0.000657	   0.000767	   0.000663	   0.000791	   0.000959	   0.001474	     85.75 % 
100 16  _RANDOM REVERSE___	   0.000020	   0.000783	   0.000861	   0.000769	   0.001049	   0.003741	   0.001256	     90.99 % 
100 16  PLATEAU REVERSE___	   0.000020	   0.000267	   0.000161	   0.000141	   0.000419	   0.000137	   0.000453	    165.81 % .!!!!.
100 16  SHUFFLE REVERSE___	   0.000020	   0.000615	!  0.000673	   0.000601	   0.001196	   0.000718	   0.001411	     91.36 % 
100 16  STAGGER REVERSE_FR	   0.000020	   0.000707	   0.001147	   0.001024	   0.001132	   0.004057	   0.001318	     61.62 % 
100 16  SAWTOTH REVERSE_FR	   0.000020	   0.000744	   0.000965	   0.000859	   0.000915	   0.000935	   0.001323	     77.06 % 
100 16  _RANDOM REVERSE_FR	   0.000020	   0.000815	   0.000883	   0.000731	   0.001070	   0.003736	   0.001217	     92.26 % 
100 16  PLATEAU REVERSE_FR	   0.000020	   0.000263	   0.000347	   0.000338	   0.000271	   0.000140	   0.000447	     75.69 % 
100 16  SHUFFLE REVERSE_FR	   0.000020	   0.000512	   0.000693	   0.000624	   0.000587	   0.000775	   0.000937	     73.86 % 
100 16  STAGGER REVERSE_BA	   0.000020	   0.000817	   0.000865	   0.000791	   0.001196	   0.004037	   0.001242	     94.47 % 
100 16  SAWTOTH REVERSE_BA	   0.000020	   0.000694	   0.001122	   0.001007	   0.000742	   0.000932	   0.001298	     61.86 % 
100 16  _RANDOM REVERSE_BA	   0.000020	   0.000701	   0.000831	   0.000803	   0.001017	   0.003730	   0.001228	     84.28 % 
100 16  PLATEAU REVERSE_BA	   0.000020	   0.000128	   0.000129	   0.000110	   0.000138	   0.000120	   0.000254	     99.54 % 
100 16  SHUFFLE REVERSE_BA	   0.000020	!  0.000561	   0.000642	   0.000651	   0.000548	   0.000743	   0.000970	     87.40 % 
100 16  STAGGER SORT______	   0.000020	   0.000192	   0.000234	   0.000230	   0.000138	   0.000120	   0.000232	     82.16 % 
100 16  SAWTOTH SORT______	   0.000020	   0.000193	   0.000242	   0.000233	   0.000138	   0.000119	   0.000232	     79.71 % 
100 16  _RANDOM SORT______	   0.000020	   0.000194	   0.000258	   0.000257	   0.000138	   0.000119	   0.000232	     75.17 % 
100 16  PLATEAU SORT______	   0.000020	   0.000128	   0.000129	   0.000110	   0.000138	   0.000120	   0.000254	     99.59 % 
100 16  SHUFFLE SORT______	   0.000020	   0.000192	   0.000234	   0.000230	   0.000138	   0.000120	   0.000232	     82.17 % 
100 16  STAGGER DITHER____	   0.000020	   0.000920	   0.000849	   0.000803	   0.001097	   0.003982	   0.001207	    108.34 % .!.
100 16  SAWTOTH DITHER____	   0.000020	   0.000763	   0.000920	   0.000872	   0.000904	   0.003718	   0.001207	     82.87 % 
100 16  _RANDOM DITHER____	   0.000020	   0.000766	   0.000823	   0.000695	   0.001030	   0.003738	   0.001218	     93.04 % 
100 16  PLATEAU DITHER____	   0.000020	   0.000368	   0.000862	   0.000747	   0.000803	   0.003717	   0.001079	     42.66 % 
100 16  SHUFFLE DITHER____	   0.000020	   0.000537	   0.000509	   0.000514	!  0.000356	   0.004124	   0.000682	    105.58 % .!.
100 64  STAGGER IDENT_____	   0.000020	   0.001060	   0.001214	   0.001095	   0.001261	   0.003835	   0.001344	     87.31 % 
100 64  SAWTOTH IDENT_____	   0.000020	   0.000909	   0.000889	   0.000800	   0.000621	   0.000348	   0.000622	    102.28 % ..
100 64  _RANDOM IDENT_____	   0.000020	   0.000837	   0.000914	   0.000835	   0.001059	   0.003825	   0.001225	     91.61 % 
100 64  PLATEAU IDENT_____	   0.000020	   0.000192	   0.000234	   0.000230	   0.000138	   0.000120	   0.000237	     82.06 % 
100 64  SHUFFLE IDENT_____	   0.000020	   0.000327	   0.000292	   0.000304	   0.000198	!  0.000495	   0.000446	    111.89 % .!!.
100 64  STAGGER REVERSE___	   0.000020	   0.000957	   0.001018	   0.000918	   0.001263	   0.003776	   0.001225	     94.02 % 
100 64  SAWTOTH REVERSE___	   0.000020	   0.000692	   0.000778	   0.000735	   0.000999	   0.000432	   0.001492	     88.92 % 
100 64  _RANDOM REVERSE___	   0.000020	   0.000870	   0.000904	   0.000827	   0.001087	   0.003828	   0.001267	     96.23 % 
100 64  PLATEAU REVERSE___	   0.000020	   0.000394	   0.000458	   0.000446	   0.000991	   0.000181	   0.000908	     85.96 % 
100 64  SHUFFLE REVERSE___	   0.000020	   0.000523	!  0.000607	   0.000584	   0.001239	   0.000535	   0.001421	     86.10 % 
100 64  STAGGER REVERSE_FR	   0.000020	   0.000696	   0.001078	   0.001060	   0.001257	   0.003783	   0.001302	     64.58 % 
100 64  SAWTOTH REVERSE_FR	   0.000020	   0.000925	   0.001321	   0.001190	   0.000993	   0.000553	   0.001123	     70.05 % 
100 64  _RANDOM REVERSE_FR	   0.000020	   0.000821	   0.000898	   0.000820	   0.001091	   0.003830	   0.001266	     91.43 % 
100 64  PLATEAU REVERSE_FR	   0.000020	   0.000475	   0.000718	   0.000644	   0.000512	   0.000391	   0.000727	     66.09 % 
100 64  SHUFFLE REVERSE_FR	   0.000020	   0.000477	   0.000697	   0.000627	   0.000542	   0.000631	   0.000908	     68.45 % 
100 64  STAGGER REVERSE_BA	   0.000020	   0.001014	   0.000937	   0.000860	   0.001279	   0.003832	   0.001263	    108.27 % .!.
100 64  SAWTOTH REVERSE_BA	   0.000020	   0.000826	   0.000763	   0.000692	   0.000558	   0.000605	   0.001036	    108.30 % .!.
100 64  _RANDOM REVERSE_BA	   0.000020	   0.000841	   0.000923	   0.000796	   0.001046	   0.003826	   0.001240	     91.13 % 
100 64  PLATEAU REVERSE_BA	   0.000020	   0.000456	   0.000438	   0.000434	   0.000259	   0.000355	   0.000416	    104.06 % ..
100 64  SHUFFLE REVERSE_BA	   0.000020	   0.000413	   0.000591	   0.000544	   0.000469	   0.000665	   0.000915	     69.97 % 
100 64  STAGGER SORT______	   0.000020	   0.000192	   0.000245	   0.000237	   0.000138	   0.000120	   0.000232	     78.39 % 
100 64  SAWTOTH SORT______	   0.000020	   0.000193	   0.000236	   0.000237	   0.000138	   0.000120	   0.000232	     81.74 % 
100 64  _RANDOM SORT______	   0.000020	   0.000192	   0.000234	   0.000238	   0.000138	   0.000120	   0.000232	     81.83 % 
100 64  PLATEAU SORT______	   0.000020	   0.000192	   0.000234	   0.000230	   0.000138	   0.000120	   0.000237	     82.06 % 
100 64  SHUFFLE SORT______	   0.000020	   0.000192	   0.000234	   0.000230	   0.000138	   0.000120	   0.000232	     82.17 % 
100 64  STAGGER DITHER____	   0.000020	   0.001060	   0.001214	   0.001096	   0.001261	   0.003843	   0.001343	     87.31 % 
100 64  SAWTOTH DITHER____	   0.000020	   0.000953	   0.000830	   0.000764	   0.000653	   0.003860	   0.000807	    114.86 % .!!.
100 64  _RANDOM DITHER____	   0.000020	   0.000811	   0.000965	   0.000855	   0.001059	   0.003828	   0.001230	     84.11 % 
100 64  PLATEAU DITHER____	   0.000020	   0.000700	   0.000587	   0.000506	   0.000350	   0.003878	   0.000837	    119.07 % .!!.
100 64  SHUFFLE DITHER____	   0.000020	   0.000400	   0.000419	   0.000436	   0.000245	   0.003936	   0.000649	     95.40 % 
lreps: 9 with reps: 2897

200 1  STAGGER IDENT_____	!  0.000039	   0.001495	   0.003129	   0.002290	   0.003031	   0.000658	   0.000929	     47.77 % 
200 1  SAWTOTH IDENT_____	!  0.000039	$   0.000184	   0.000175	   0.000174	   0.000169	   0.000149	   0.000631	    105.29 % .!.
200 1  _RANDOM IDENT_____	!  0.000039	$   0.000184	   0.000174	   0.000175	   0.000169	   0.000147	   0.000631	    105.61 % .!.
200 1  PLATEAU IDENT_____	!  0.000039	   0.000182	   0.000189	   0.000186	   0.000178	   0.000154	   0.000610	     96.67 % 
200 1  SHUFFLE IDENT_____	!  0.000039	   0.000554	   0.000481	   0.000407	   0.000439	   0.000155	   0.000555	    115.13 % .!!.
200 1  STAGGER REVERSE___	!  0.000039	   0.001530	   0.002802	   0.002329	   0.002632	   0.000793	   0.002854	     54.61 % 
200 1  SAWTOTH REVERSE___	!  0.000039	$   0.000184	   0.000175	   0.000175	   0.000169	   0.000148	   0.000631	    105.04 % .!.
200 1  _RANDOM REVERSE___	!  0.000039	$   0.000184	   0.000175	   0.000175	   0.000169	   0.000147	   0.000631	    105.26 % .!.
200 1  PLATEAU REVERSE___	!  0.000039	$   0.000186	   0.000176	   0.000177	   0.000172	   0.000145	   0.000651	    105.62 % .!.
200 1  SHUFFLE REVERSE___	!  0.000039	   0.000906	   0.001051	   0.000950	   0.000923	   0.000283	   0.002498	     86.21 % 
200 1  STAGGER REVERSE_FR	!  0.000039	   0.001449	   0.002803	   0.002261	   0.002612	   0.000726	   0.001900	     51.69 % 
200 1  SAWTOTH REVERSE_FR	!  0.000039	$   0.000184	   0.000174	   0.000174	   0.000169	   0.000147	   0.000631	    105.93 % .!.
200 1  _RANDOM REVERSE_FR	!  0.000039	$   0.000185	   0.000175	   0.000174	   0.000170	   0.000149	   0.000630	    105.88 % .!.
200 1  PLATEAU REVERSE_FR	!  0.000039	   0.000179	   0.000191	   0.000191	   0.000189	   0.000147	   0.000642	     93.93 % 
200 1  SHUFFLE REVERSE_FR	!  0.000039	   0.001425	   0.001214	   0.001012	   0.001278	   0.000680	   0.001530	    117.39 % .!!.
200 1  STAGGER REVERSE_BA	!  0.000039	   0.001546	   0.002717	   0.002050	   0.002527	   0.000722	   0.001899	     56.90 % 
200 1  SAWTOTH REVERSE_BA	!  0.000039	$   0.000184	   0.000175	   0.000175	   0.000169	   0.000147	   0.000631	    105.26 % .!.
200 1  _RANDOM REVERSE_BA	!  0.000039	$   0.000184	   0.000173	   0.000175	   0.000169	   0.000149	   0.000631	    106.03 % .!.
200 1  PLATEAU REVERSE_BA	!  0.000039	   0.000181	   0.000189	   0.000185	   0.000178	   0.000154	   0.000610	     95.80 % 
200 1  SHUFFLE REVERSE_BA	!  0.000039	   0.000722	   0.001446	   0.001259	   0.001209	   0.000733	   0.001529	     49.94 % 
200 1  STAGGER SORT______	!  0.000039	   0.000559	   0.000481	   0.000407	   0.000439	   0.000155	   0.000555	    116.24 % .!!.
200 1  SAWTOTH SORT______	!  0.000039	$   0.000184	   0.000175	   0.000175	   0.000169	   0.000147	   0.000631	    105.16 % .!.
200 1  _RANDOM SORT______	!  0.000039	$   0.000184	   0.000175	   0.000175	   0.000169	   0.000147	   0.000632	    105.45 % .!.
200 1  PLATEAU SORT______	!  0.000039	   0.000180	   0.000189	   0.000185	   0.000178	   0.000154	   0.000610	     95.26 % 
200 1  SHUFFLE SORT______	!  0.000039	   0.000553	   0.000482	   0.000407	   0.000439	   0.000155	   0.000555	    114.86 % .!!.
200 1  STAGGER DITHER____	!  0.000039	   0.001561	   0.003386	   0.002523	   0.003245	   0.004976	   0.001648	     46.11 % 
200 1  SAWTOTH DITHER____	!  0.000039	   0.000580	   0.000961	   0.000939	   0.001045	   0.004641	   0.002817	     60.36 % 
200 1  _RANDOM DITHER____	!  0.000039	   0.000580	   0.000965	   0.000939	   0.001046	   0.004646	   0.002820	     60.07 % 
200 1  PLATEAU DITHER____	!  0.000039	   0.000620	   0.000974	   0.000940	   0.001035	   0.004669	   0.002818	     63.67 % 
200 1  SHUFFLE DITHER____	!  0.000039	   0.000873	   0.000579	   0.000502	   0.000537	   0.005233	   0.001600	    150.80 % .!!!.
200 4  STAGGER IDENT_____	!  0.000039	   0.001798	   0.002613	   0.002036	   0.002467	   0.001497	   0.002096	     68.79 % 
200 4  SAWTOTH IDENT_____	!  0.000039	   0.000521	   0.000511	   0.000517	   0.001394	   0.004644	   0.002829	    101.92 % ..
200 4  _RANDOM IDENT_____	!  0.000039	   0.000542	!  0.000745	!  0.000697	   0.000758	   0.004717	   0.002735	     72.70 % 
200 4  PLATEAU IDENT_____	!  0.000039	   0.000185	   0.000193	   0.000191	   0.000188	   0.000155	   0.000610	     95.93 % 
200 4  SHUFFLE IDENT_____	!  0.000039	   0.001452	   0.001523	   0.001363	   0.001613	   0.005513	   0.002245	     95.29 % 
200 4  STAGGER REVERSE___	!  0.000039	   0.002128	   0.003221	   0.002469	   0.002727	   0.001645	   0.003635	     66.06 % 
200 4  SAWTOTH REVERSE___	!  0.000039	   0.000556	   0.001088	   0.001014	   0.001147	   0.004771	   0.002909	     51.11 % 
200 4  _RANDOM REVERSE___	!  0.000039	$   0.000581	   0.000767	!  0.000711	   0.000810	   0.004736	   0.002801	     75.80 % 
200 4  PLATEAU REVERSE___	!  0.000039	$   0.000199	   0.000190	   0.000186	   0.000186	   0.000146	   0.000701	    104.54 % ..
200 4  SHUFFLE REVERSE___	!  0.000039	   0.001477	   0.002014	   0.001911	   0.001900	   0.005967	   0.003477	     73.35 % 
200 4  STAGGER REVERSE_FR	!  0.000039	   0.002089	   0.002317	   0.001897	   0.002223	   0.001560	   0.002819	     90.16 % 
200 4  SAWTOTH REVERSE_FR	!  0.000039	   0.000553	   0.001240	   0.001193	   0.001349	   0.004773	   0.002873	     44.61 % 
200 4  _RANDOM REVERSE_FR	!  0.000039	   0.000566	!  0.000763	!  0.000726	!  0.000749	   0.004700	   0.002814	     74.20 % 
200 4  PLATEAU REVERSE_FR	!  0.000039	   0.000191	   0.000187	   0.000187	   0.000179	   0.000151	   0.000692	    101.96 % ..
200 4  SHUFFLE REVERSE_FR	!  0.000039	   0.001712	   0.001732	   0.001596	   0.001555	   0.005783	   0.002845	     98.86 % 
200 4  STAGGER REVERSE_BA	!  0.000039	   0.001581	   0.002038	   0.001751	   0.001759	   0.001615	   0.002888	     77.57 % 
200 4  SAWTOTH REVERSE_BA	!  0.000039	   0.000559	   0.000527	   0.000500	   0.001552	   0.004649	   0.002887	    106.14 % .!.
200 4  _RANDOM REVERSE_BA	!  0.000039	   0.000557	!  0.000744	!  0.000718	   0.000784	   0.004715	   0.002754	     74.91 % 
200 4  PLATEAU REVERSE_BA	!  0.000039	   0.000186	   0.000193	   0.000191	   0.000187	   0.000155	   0.000610	     96.31 % 
200 4  SHUFFLE REVERSE_BA	!  0.000039	   0.001304	   0.002334	   0.001899	   0.002200	   0.005676	   0.002894	     55.86 % 
200 4  STAGGER SORT______	!  0.000039	   0.000573	   0.000512	   0.000478	   0.000459	$   0.000163	   0.000555	    111.89 % .!!.
200 4  SAWTOTH SORT______	!  0.000039	   0.000597	   0.000455	   0.000402	   0.000453	   0.000151	   0.000614	    131.29 % .!!!.
200 4  _RANDOM SORT______	!  0.000039	   0.000614	   0.000437	   0.000406	   0.000418	   0.000153	   0.000593	    140.45 % .!!!.
200 4  PLATEAU SORT______	!  0.000039	   0.000186	   0.000193	   0.000191	   0.000185	   0.000154	   0.000610	     96.23 % 
200 4  SHUFFLE SORT______	!  0.000039	   0.000555	   0.000482	   0.000407	   0.000439	   0.000155	   0.000555	    115.14 % .!!.
200 4  STAGGER DITHER____	!  0.000039	   0.001799	   0.002613	   0.002033	   0.002466	   0.001494	   0.002106	     68.84 % 
200 4  SAWTOTH DITHER____	!  0.000039	   0.000868	   0.001553	   0.001435	   0.001626	   0.004664	   0.002939	     55.88 % 
200 4  _RANDOM DITHER____	!  0.000039	   0.000807	   0.001127	   0.000993	   0.001118	   0.004689	   0.002801	     71.60 % 
200 4  PLATEAU DITHER____	!  0.000039	   0.000625	   0.001055	   0.001027	   0.001143	   0.004650	   0.002817	     59.29 % 
200 4  SHUFFLE DITHER____	!  0.000039	   0.001494	   0.001581	   0.001424	   0.001622	   0.005412	   0.002301	     94.48 % 
200 16  STAGGER IDENT_____	!  0.000039	   0.002078	   0.002173	   0.001868	   0.002078	   0.005309	   0.002848	     95.65 % 
200 16  SAWTOTH IDENT_____	!  0.000039	   0.001429	   0.001518	   0.001501	   0.001588	   0.002155	   0.002658	     94.14 % 
200 16  _RANDOM IDENT_____	!  0.000039	   0.001364	   0.001999	   0.001671	   0.001932	   0.004711	   0.002942	     68.25 % 
200 16  PLATEAU IDENT_____	!  0.000039	   0.000212	   0.000207	   0.000193	   0.000201	   0.000154	   0.000610	    102.26 % ..
200 16  SHUFFLE IDENT_____	!  0.000039	   0.001257	   0.000932	   0.000851	   0.000902	!  0.003168	   0.001628	    134.92 % .!!!.
200 16  STAGGER REVERSE___	!  0.000039	   0.002096	   0.002216	   0.002103	   0.002039	   0.005527	   0.003306	     94.59 % 
200 16  SAWTOTH REVERSE___	!  0.000039	   0.001190	   0.001647	   0.001429	   0.001524	   0.002314	   0.003485	     72.29 % 
200 16  _RANDOM REVERSE___	!  0.000039	   0.001285	   0.001892	   0.001693	   0.001927	   0.004700	   0.002984	     67.91 % 
200 16  PLATEAU REVERSE___	!  0.000039	   0.000352	   0.000243	   0.000223	   0.000233	$   0.000171	   0.000808	    145.15 % .!!!.
200 16  SHUFFLE REVERSE___	!  0.000039	   0.001326	!  0.001643	!  0.001446	!  0.001420	!  0.003372	   0.003403	     80.74 % 
200 16  STAGGER REVERSE_FR	!  0.000039	   0.002028	   0.002631	   0.002287	   0.002574	   0.005421	   0.003162	     77.08 % 
200 16  SAWTOTH REVERSE_FR	!  0.000039	   0.001391	   0.002382	   0.001848	   0.002419	   0.002232	   0.003019	     58.40 % 
200 16  _RANDOM REVERSE_FR	!  0.000039	   0.001296	   0.001670	   0.001629	   0.001806	   0.004717	   0.003005	     77.63 % 
200 16  PLATEAU REVERSE_FR	!  0.000039	   0.000350	   0.000220	   0.000214	   0.000211	   0.000168	   0.000799	    159.10 % .!!!.
200 16  SHUFFLE REVERSE_FR	!  0.000039	!  0.001419	   0.001624	   0.001377	   0.001293	!  0.003620	   0.002498	     87.41 % 
200 16  STAGGER REVERSE_BA	!  0.000039	   0.001806	   0.002417	   0.002277	   0.002121	   0.005392	   0.002985	     74.72 % 
200 16  SAWTOTH REVERSE_BA	!  0.000039	   0.001293	   0.002030	   0.001814	   0.001979	   0.002191	   0.003111	     63.70 % 
200 16  _RANDOM REVERSE_BA	!  0.000039	   0.001345	   0.001875	   0.001785	   0.001882	   0.004709	   0.002961	     71.76 % 
200 16  PLATEAU REVERSE_BA	!  0.000039	   0.000212	   0.000208	   0.000193	   0.000201	   0.000154	   0.000610	    101.89 % ..
200 16  SHUFFLE REVERSE_BA	!  0.000039	   0.001265	   0.001830	   0.001693	   0.001475	!  0.003754	   0.002565	     69.11 % 
200 16  STAGGER SORT______	!  0.000039	   0.000555	   0.000481	   0.000407	   0.000439	   0.000154	   0.000555	    115.29 % .!!.
200 16  SAWTOTH SORT______	!  0.000039	   0.000730	   0.000568	   0.000572	   0.000497	$   0.000173	   0.000555	    128.44 % .!!!.
200 16  _RANDOM SORT______	!  0.000039	   0.000755	   0.000510	   0.000484	   0.000487	   0.000158	   0.000555	    147.85 % .!!!.
200 16  PLATEAU SORT______	!  0.000039	   0.000212	   0.000207	   0.000193	   0.000202	   0.000154	   0.000611	    102.09 % ..
200 16  SHUFFLE SORT______	!  0.000039	   0.000554	   0.000481	   0.000407	   0.000439	   0.000154	   0.000555	    115.13 % .!!.
200 16  STAGGER DITHER____	!  0.000039	   0.001988	   0.002148	   0.001939	   0.002084	   0.005311	   0.002842	     92.53 % 
200 16  SAWTOTH DITHER____	!  0.000039	   0.001366	   0.002035	   0.001650	   0.001832	   0.004693	   0.002807	     67.12 % 
200 16  _RANDOM DITHER____	!  0.000039	   0.001356	   0.001897	   0.001531	   0.001847	   0.004713	   0.002947	     71.50 % 
200 16  PLATEAU DITHER____	!  0.000039	   0.000754	   0.000743	   0.000672	   0.001081	   0.004694	   0.002693	    101.49 % ..
200 16  SHUFFLE DITHER____	!  0.000039	   0.001351	   0.001013	   0.000932	   0.000996	   0.005686	   0.001770	    133.37 % .!!!.
200 64  STAGGER IDENT_____	!  0.000039	   0.001798	   0.001936	   0.001695	   0.001717	   0.004859	   0.003272	     92.84 % 
200 64  SAWTOTH IDENT_____	!  0.000039	   0.001605	   0.002387	   0.002123	   0.002270	   0.001087	   0.001874	     67.24 % 
200 64  _RANDOM IDENT_____	!  0.000039	   0.001802	   0.002198	   0.002145	   0.002199	   0.004829	   0.003002	     82.00 % 
200 64  PLATEAU IDENT_____	!  0.000039	   0.000374	   0.000304	   0.000301	   0.000257	   0.000154	   0.000596	    123.38 % .!!!.
200 64  SHUFFLE IDENT_____	!  0.000039	   0.000832	   0.000669	   0.000629	   0.000543	!  0.000906	   0.001138	    124.44 % .!!!.
200 64  STAGGER REVERSE___	!  0.000039	   0.001602	   0.002444	   0.002045	   0.002349	   0.004936	   0.002890	     65.56 % 
200 64  SAWTOTH REVERSE___	!  0.000039	   0.001539	   0.002047	   0.001711	   0.001873	   0.001274	   0.003561	     75.18 % 
200 64  _RANDOM REVERSE___	!  0.000039	   0.001784	   0.002375	   0.002120	   0.002237	   0.004815	   0.003044	     75.14 % 
200 64  PLATEAU REVERSE___	!  0.000039	   0.000579	   0.000474	   0.000461	   0.000436	$   0.000230	   0.001236	    122.12 % .!!!.
200 64  SHUFFLE REVERSE___	!  0.000039	   0.001058	   0.001112	   0.001055	   0.000987	   0.000993	   0.003036	     95.17 % 
200 64  STAGGER REVERSE_FR	!  0.000039	   0.001618	   0.002336	   0.002048	   0.002326	   0.004920	   0.003180	     69.26 % 
200 64  SAWTOTH REVERSE_FR	!  0.000039	   0.001755	   0.002397	   0.002027	   0.002382	   0.001561	   0.002798	     73.20 % 
200 64  _RANDOM REVERSE_FR	!  0.000039	   0.001784	   0.002166	   0.001937	   0.001977	   0.004835	   0.003055	     82.39 % 
200 64  PLATEAU REVERSE_FR	!  0.000039	   0.000710	   0.000743	   0.000718	   0.000708	   0.000215	   0.001243	     95.58 % 
200 64  SHUFFLE REVERSE_FR	!  0.000039	   0.001551	   0.001318	   0.001085	   0.001307	   0.001261	   0.002109	    117.66 % .!!.
200 64  STAGGER REVERSE_BA	!  0.000039	   0.001968	   0.002144	   0.001966	   0.002065	   0.004860	   0.003018	     91.79 % 
200 64  SAWTOTH REVERSE_BA	!  0.000039	   0.001617	   0.002001	   0.001669	   0.001725	   0.001566	   0.002593	     80.80 % 
200 64  _RANDOM REVERSE_BA	!  0.000039	   0.001799	   0.002282	   0.002088	   0.002237	   0.004829	   0.003015	     78.85 % 
200 64  PLATEAU REVERSE_BA	!  0.000039	   0.000375	   0.000304	   0.000301	   0.000257	   0.000155	   0.000596	    123.40 % .!!!.
200 64  SHUFFLE REVERSE_BA	!  0.000039	   0.000928	   0.001564	   0.001433	   0.001155	   0.001265	   0.002085	     59.36 % 
200 64  STAGGER SORT______	!  0.000039	   0.000572	   0.000511	   0.000478	   0.000458	$   0.000162	   0.000555	    111.99 % .!!.
200 64  SAWTOTH SORT______	!  0.000039	   0.000571	   0.000485	   0.000415	   0.000444	   0.000164	   0.000555	    117.67 % .!!.
200 64  _RANDOM SORT______	!  0.000039	   0.000566	   0.000495	   0.000439	   0.000448	$   0.000159	   0.000555	    114.35 % .!!.
200 64  PLATEAU SORT______	!  0.000039	   0.000375	   0.000303	   0.000301	   0.000257	   0.000155	   0.000596	    123.81 % .!!!.
200 64  SHUFFLE SORT______	!  0.000039	   0.000555	   0.000481	   0.000407	   0.000439	   0.000154	   0.000555	    115.25 % .!!.
200 64  STAGGER DITHER____	!  0.000039	   0.001810	   0.001943	   0.001694	   0.001712	   0.004862	   0.003272	     93.13 % 
200 64  SAWTOTH DITHER____	!  0.000039	   0.001811	   0.002369	   0.002056	   0.002130	   0.004859	   0.002092	     76.43 % 
200 64  _RANDOM DITHER____	!  0.000044	   0.001818	   0.002338	   0.002102	   0.002320	   0.004830	   0.002988	     77.75 % 
200 64  PLATEAU DITHER____	!  0.000039	   0.000811	   0.001140	   0.001084	   0.001090	   0.004860	   0.002436	     71.15 % 
200 64  SHUFFLE DITHER____	!  0.000039	   0.001013	   0.000766	   0.000709	   0.000655	   0.005674	   0.001694	    132.33 % .!!!.
200 256  STAGGER IDENT_____	!  0.000039	   0.001822	   0.002520	   0.002397	   0.002588	   0.005273	   0.003124	     72.31 % 
200 256  SAWTOTH IDENT_____	!  0.000039	   0.000554	   0.000481	   0.000407	   0.000439	   0.000154	   0.000555	    115.18 % .!!.
200 256  _RANDOM IDENT_____	!  0.000039	   0.001780	   0.002306	   0.002144	   0.002210	   0.005132	   0.003000	     77.19 % 
200 256  PLATEAU IDENT_____	!  0.000039	   0.000555	   0.000482	   0.000407	   0.000439	   0.000155	   0.000555	    115.26 % .!!.
200 256  SHUFFLE IDENT_____	!  0.000039	   0.000625	   0.000544	   0.000474	   0.000509	!  0.000421	!  0.000794	    114.79 % .!!.
200 256  STAGGER REVERSE___	!  0.000039	   0.001730	   0.002191	   0.002090	   0.002190	   0.005372	   0.003049	     78.96 % 
200 256  SAWTOTH REVERSE___	!  0.000039	   0.000908	   0.001053	   0.000950	   0.000921	   0.000283	   0.002498	     86.28 % 
200 256  _RANDOM REVERSE___	!  0.000039	   0.001766	   0.002293	   0.001996	   0.002111	   0.005112	   0.003057	     77.02 % 
200 256  PLATEAU REVERSE___	!  0.000039	   0.000906	   0.001052	   0.000950	   0.000923	   0.000283	   0.002499	     86.18 % 
200 256  SHUFFLE REVERSE___	!  0.000039	   0.000963	   0.001080	   0.001004	   0.000959	!  0.000543	   0.002715	     89.17 % 
200 256  STAGGER REVERSE_FR	!  0.000039	   0.001664	   0.002799	   0.002312	   0.002750	   0.005374	   0.003129	     59.46 % 
