
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =   10000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 90

50000 1024  STAGGER REVERSE_BA	   0.011658	   4.453961	   5.645776	   5.226301	   5.684753	   1.557176	   3.154016	     78.89 % 
50000 1024  SAWTOTH REVERSE_BA	   0.011653	   1.618348	   0.669877	   0.716402	   0.728909	   1.295497	   2.255784	    241.59 % .!!!!!.
50000 1024  _RANDOM REVERSE_BA	   0.011624	   4.827923	   5.468422	   5.128473	   5.413658	   1.451545	   8.833603	     88.29 % 
50000 1024  PLATEAU REVERSE_BA	   0.011647	   0.020613	   0.029373	   0.022906	   0.029370	   0.019196	   0.270544	     70.18 % 
50000 1024  SHUFFLE REVERSE_BA	   0.011641	   1.368402	$!  0.711242	!  0.603284	!  0.746789	   1.738302	   1.721208	    192.40 % .!!!!.
50000 1024  STAGGER SORT______	   0.011684	   0.020573	   0.029352	   0.022749	   0.029351	   0.019163	   0.249496	     70.09 % 
50000 1024  SAWTOTH SORT______	   0.011650	   0.020604	   0.029374	   0.022885	   0.029384	   0.019176	   0.258069	     70.14 % 
50000 1024  _RANDOM SORT______	   0.011673	   0.020575	   0.029375	   0.022815	   0.029354	   0.019145	   0.262259	     70.04 % 
50000 1024  PLATEAU SORT______	   0.011633	   0.020616	   0.029426	   0.022848	   0.029391	   0.019196	   0.270372	     70.06 % 
50000 1024  SHUFFLE SORT______	   0.011662	   0.020589	   0.029358	   0.022799	   0.029352	   0.019176	   0.248033	     70.13 % 
50000 1024  STAGGER DITHER____	   0.011631	   4.423931	   5.386793	   5.188744	   5.523318	   1.561671	   2.831422	     82.13 % 
50000 1024  SAWTOTH DITHER____	   0.011635	   2.804448	   3.743678	   3.389265	   3.779241	   1.243809	   2.395821	     74.91 % 
50000 1024  _RANDOM DITHER____	   0.011663	   4.877505	   5.478501	   5.140309	   5.414314	   1.449969	   8.833273	     89.03 % 
50000 1024  PLATEAU DITHER____	   0.011643	   0.189321	   0.137202	   0.142394	   0.159373	   1.051816	   3.065761	    137.99 % .!!!.
50000 1024  SHUFFLE DITHER____	   0.011645	   1.795224	$   1.036394	   0.628400	   1.096781	   1.827506	   1.556655	    173.22 % .!!!!.
50000 4096  STAGGER IDENT_____	   0.011646	   6.422101	   6.350466	   5.950972	   6.386471	   1.659676	   3.196162	    101.13 % ..
50000 4096  SAWTOTH IDENT_____	   0.011613	   1.043637	   0.382051	   0.413982	   0.416070	   1.071184	   1.412426	    273.17 % .!!!!!.
50000 4096  _RANDOM IDENT_____	   0.011672	   6.376322	   6.794374	   6.357743	   6.774807	   1.399607	   9.532365	     93.85 % 
50000 4096  PLATEAU IDENT_____	   0.011616	   0.020618	   0.029401	   0.022857	   0.029431	   0.019218	   0.269042	     70.13 % 
50000 4096  SHUFFLE IDENT_____	   0.011640	   0.590840	   0.154776	   0.177281	   0.184729	!  0.858461	   0.795020	    381.74 % .!!!!!.
50000 4096  STAGGER REVERSE___	   0.011673	   6.350009	   6.437237	   5.965359	   6.417934	   1.654920	   3.385666	     98.64 % 
50000 4096  SAWTOTH REVERSE___	   0.011667	   1.117801	   0.518334	   0.528807	   0.553219	   1.134872	   2.270822	    215.65 % .!!!!!.
50000 4096  _RANDOM REVERSE___	   0.011663	   6.359157	   6.891153	   6.345332	   6.800439	   1.399281	   9.531421	     92.28 % 
50000 4096  PLATEAU REVERSE___	   0.011652	   0.064800	   0.024861	   0.021881	   0.024957	   0.019381	   0.332149	    260.65 % .!!!!!.
50000 4096  SHUFFLE REVERSE___	   0.011657	   0.597795	   0.320702	   0.296961	   0.304613	!  0.843900	   1.770687	    186.40 % .!!!!.
50000 4096  STAGGER REVERSE_FR	   0.011629	   6.350701	   6.620035	   6.048090	   6.656069	   1.648863	   3.356710	     95.93 % 
50000 4096  SAWTOTH REVERSE_FR	   0.011644	   1.084737	   0.491328	   0.514249	   0.527182	   1.107573	   1.842315	    220.78 % .!!!!!.
50000 4096  _RANDOM REVERSE_FR	   0.011633	   6.365811	   6.875759	   6.343840	   6.805086	   1.399514	   9.534466	     92.58 % 
50000 4096  PLATEAU REVERSE_FR	   0.011641	   0.192429	   0.024845	   0.021651	   0.024747	   0.019240	   0.335641	    774.52 % .!!!!!.
50000 4096  SHUFFLE REVERSE_FR	   0.011636	   0.669967	   0.220518	   0.216501	   0.251379	!  1.001585	   1.360726	    303.81 % .!!!!!.
50000 4096  STAGGER REVERSE_BA	   0.011662	   6.373794	   6.482225	   5.935420	   6.434146	   1.646097	   3.297913	     98.33 % 
50000 4096  SAWTOTH REVERSE_BA	   0.011640	   1.070771	   0.430271	   0.507895	   0.521999	   1.093065	   1.842344	    248.86 % .!!!!!.
50000 4096  _RANDOM REVERSE_BA	   0.011667	   6.373364	   6.807376	   6.257277	   6.709075	   1.398608	   9.526498	     93.62 % 
50000 4096  PLATEAU REVERSE_BA	   0.011666	   0.020577	   0.029355	   0.022798	   0.029347	   0.019151	   0.269142	     70.10 % 
50000 4096  SHUFFLE REVERSE_BA	   0.011638	   0.662553	   0.260486	   0.268474	   0.283683	!  1.082458	   1.360019	    254.35 % .!!!!!.
50000 4096  STAGGER SORT______	   0.011672	   0.020590	   0.029330	   0.022868	   0.029344	   0.019165	   0.247874	     70.20 % 
50000 4096  SAWTOTH SORT______	   0.011660	   0.020597	   0.029385	   0.022877	   0.029368	   0.019161	   0.248110	     70.09 % 
50000 4096  _RANDOM SORT______	   0.011667	   0.020553	   0.029382	   0.022816	   0.029343	   0.019109	   0.248251	     69.95 % 
50000 4096  PLATEAU SORT______	   0.011640	   0.020612	   0.029379	   0.022869	   0.029399	   0.019203	   0.268956	     70.16 % 
50000 4096  SHUFFLE SORT______	   0.011643	   0.020595	   0.029392	   0.022899	   0.029382	   0.019206	   0.248054	     70.07 % 
50000 4096  STAGGER DITHER____	   0.011615	   6.358979	   6.405593	   5.976080	   6.410883	   1.657796	   3.246094	     99.27 % 
50000 4096  SAWTOTH DITHER____	   0.011660	   3.631175	   5.041399	   4.082261	   4.994931	   1.323488	   2.147632	     72.03 % 
50000 4096  _RANDOM DITHER____	   0.011669	   6.367574	   6.792241	   6.294074	   6.766753	   1.399580	   9.534082	     93.75 % 
50000 4096  PLATEAU DITHER____	   0.011638	   0.233054	   0.151158	   0.161948	   0.192510	   1.060679	   3.012167	    154.18 % .!!!.
50000 4096  SHUFFLE DITHER____	   0.011663	   1.230980	$   0.686612	   0.560939	   1.008060	   1.755526	   1.377601	    179.28 % .!!!!.
50000 16384  STAGGER IDENT_____	   0.011653	   6.314998	   6.407938	   5.866645	   6.319952	   1.593469	   3.447345	     98.55 % 
50000 16384  SAWTOTH IDENT_____	   0.011634	   0.351146	   0.193270	   0.207399	   0.210581	   0.356110	   1.023501	    181.69 % .!!!!.
50000 16384  _RANDOM IDENT_____	   0.011671	   6.948352	   6.984595	   6.435756	   6.939571	   1.612915	   9.919015	     99.48 % 
50000 16384  PLATEAU IDENT_____	   0.011651	   0.020585	   0.029379	   0.022876	   0.029367	   0.019186	   0.262844	     70.07 % 
50000 16384  SHUFFLE IDENT_____	   0.011640	!  0.251382	!  0.067102	!  0.069539	!  0.076129	!  0.238929	   0.370641	    374.63 % .!!!!!.
50000 16384  STAGGER REVERSE___	   0.011669	   6.222070	   6.560264	   5.958022	   6.481990	   1.597883	   3.297641	     94.84 % 
50000 16384  SAWTOTH REVERSE___	   0.011650	   0.413812	   0.268758	   0.257985	   0.280479	   0.407451	   1.877865	    153.97 % .!!!.
50000 16384  _RANDOM REVERSE___	   0.011652	   6.979186	   6.974229	   6.430376	   6.942586	   1.612934	   9.915919	    100.07 % ..
50000 16384  PLATEAU REVERSE___	   0.011651	   0.064753	   0.054673	   0.041030	   0.054747	   0.037604	   0.525369	    118.44 % .!!.
50000 16384  SHUFFLE REVERSE___	   0.011652	!  0.276698	   0.210338	   0.184426	   0.205683	!  0.247391	   1.418357	    131.55 % .!!!.
50000 16384  STAGGER REVERSE_FR	   0.011655	   6.324897	   6.546156	   5.977501	   6.520420	   1.586172	   3.434433	     96.62 % 
50000 16384  SAWTOTH REVERSE_FR	   0.011651	   0.576096	   0.254821	   0.255461	   0.269254	   0.565543	   1.452794	    226.08 % .!!!!!.
50000 16384  _RANDOM REVERSE_FR	   0.011638	   6.993042	   7.051806	   6.480907	   7.041434	   1.613387	   9.916670	     99.17 % 
50000 16384  PLATEAU REVERSE_FR	   0.011657	   0.191810	   0.045406	   0.035058	   0.045298	   0.031619	   0.530563	    422.44 % .!!!!!.
50000 16384  SHUFFLE REVERSE_FR	   0.011647	!  0.298728	   0.137399	   0.130197	   0.145672	   0.329080	   0.832277	    217.42 % .!!!!!.
50000 16384  STAGGER REVERSE_BA	   0.011652	   6.217072	   6.483031	   5.932186	   6.413534	   1.588055	   3.449952	     95.90 % 
50000 16384  SAWTOTH REVERSE_BA	   0.011646	   0.580925	   0.272781	   0.278163	   0.291511	   0.580906	   1.448809	    212.96 % .!!!!!.
50000 16384  _RANDOM REVERSE_BA	   0.011631	   7.007188	   7.031562	   6.436551	   7.010475	   1.614082	   9.917708	     99.65 % 
50000 16384  PLATEAU REVERSE_BA	   0.011655	   0.020599	   0.029366	   0.022845	   0.029363	   0.019170	   0.263049	     70.15 % 
50000 16384  SHUFFLE REVERSE_BA	   0.011664	   0.394637	   0.197198	   0.192852	   0.210530	   0.386212	   0.832689	    200.12 % .!!!!!.
50000 16384  STAGGER SORT______	   0.011670	   0.020572	   0.029393	   0.022919	   0.029399	   0.019195	   0.248180	     69.99 % 
50000 16384  SAWTOTH SORT______	   0.011656	   0.020605	   0.029397	   0.022889	   0.029387	   0.019139	   0.248159	     70.09 % 
50000 16384  _RANDOM SORT______	   0.011676	   0.020585	   0.029342	   0.022858	   0.029350	   0.019105	   0.247893	     70.15 % 
50000 16384  PLATEAU SORT______	   0.011661	   0.020569	   0.029351	   0.022827	   0.029367	   0.019160	   0.263419	     70.08 % 
50000 16384  SHUFFLE SORT______	   0.011654	   0.020599	   0.029363	   0.022875	   0.029364	   0.019194	   0.248165	     70.15 % 
50000 16384  STAGGER DITHER____	   0.011633	   6.312709	   6.399102	   5.863488	   6.317559	   1.599728	   3.449693	     98.65 % 
50000 16384  SAWTOTH DITHER____	   0.011642	   3.424613	   4.226945	   3.411505	   4.238956	   1.474284	   1.964682	     81.02 % 
50000 16384  _RANDOM DITHER____	   0.011650	   6.990458	   6.953492	   6.466244	   6.954130	   1.613891	   9.917017	    100.53 % ..
50000 16384  PLATEAU DITHER____	   0.011641	   0.378034	   0.357152	   0.349977	   0.390929	   1.098337	   2.693529	    105.85 % .!.
50000 16384  SHUFFLE DITHER____	   0.011666	   0.824587	   0.577435	   0.458152	   0.652318	   1.453654	   1.318991	    142.80 % .!!!.
50000 65536  STAGGER IDENT_____	   0.011656	   6.207286	   6.249309	   5.784855	   6.224486	   1.799375	   3.461876	     99.33 % 
50000 65536  SAWTOTH IDENT_____	   0.011635	   0.020598	   0.029370	   0.022888	   0.029384	   0.019192	   0.248055	     70.13 % 
50000 65536  _RANDOM IDENT_____	   0.011659	   7.031792	   7.042818	   6.401346	   6.954998	   2.343402	   9.962169	     99.84 % 
50000 65536  PLATEAU IDENT_____	   0.011633	   0.020615	   0.029387	   0.022915	   0.029385	   0.019187	   0.247955	     70.15 % 
50000 65536  SHUFFLE IDENT_____	   0.011652	!  0.140494	!  0.071394	!  0.073612	!  0.080069	!  0.138407	!  0.360824	    196.79 % .!!!!.
50000 65536  STAGGER REVERSE___	   0.011638	   5.986398	   6.218188	   5.667131	   6.145821	   1.554786	   3.413975	     96.27 % 
50000 65536  SAWTOTH REVERSE___	   0.011666	   0.064566	   0.081291	   0.059513	   0.081345	   0.053066	   1.255185	     79.42 % 
50000 65536  _RANDOM REVERSE___	   0.011641	   7.041910	   6.973700	   6.448262	   6.963924	   2.344024	   9.953840	    100.98 % ..
50000 65536  PLATEAU REVERSE___	   0.011652	   0.064508	   0.081306	   0.059531	   0.081392	   0.053089	   1.254136	     79.34 % 
50000 65536  SHUFFLE REVERSE___	   0.011644	!  0.171422	!  0.139806	!  0.116564	!  0.137468	!  0.158041	   1.402865	    122.61 % .!!!.
50000 65536  STAGGER REVERSE_FR	   0.011649	   6.137418	   6.293669	   5.809771	   6.288210	   1.799200	   3.565084	     97.52 % 
50000 65536  SAWTOTH REVERSE_FR	   0.011641	   0.042183	   0.055069	   0.040940	   0.055028	   0.180354	   0.621083	     76.60 % 
50000 65536  _RANDOM REVERSE_FR	   0.011644	   7.036595	   7.057195	   6.408680	   6.966613	   2.341108	   9.958815	     99.71 % 
50000 65536  PLATEAU REVERSE_FR	   0.011651	   0.042160	   0.055106	   0.040903	   0.055032	   0.180346	   0.620809	     76.51 % 
50000 65536  SHUFFLE REVERSE_FR	   0.011639	!  0.165045	!  0.102788	!  0.095576	!  0.109992	!  0.310934	   0.811609	    160.57 % .!!!!.
50000 65536  STAGGER REVERSE_BA	   0.011655	   6.187442	   6.479162	   5.931689	   6.480545	   1.623415	   3.567211	     95.50 % 
50000 65536  SAWTOTH REVERSE_BA	   0.011634	   0.215385	   0.152751	   0.146718	   0.164709	   0.214816	   0.620726	    141.00 % .!!!.
50000 65536  _RANDOM REVERSE_BA	   0.011641	   6.960604	   7.032065	   6.438987	   6.987022	   2.345510	   9.962311	     98.98 % 
50000 65536  PLATEAU REVERSE_BA	   0.011653	   0.215350	   0.152702	   0.148808	   0.164676	   0.213931	   0.620764	    141.03 % .!!!.
50000 65536  SHUFFLE REVERSE_BA	   0.011655	!  0.326593	   0.178398	   0.172119	   0.190664	!  0.335623	   0.811918	    183.07 % .!!!!.
50000 65536  STAGGER SORT______	   0.011678	   0.020571	   0.029324	   0.022768	   0.029330	   0.019152	   0.248078	     70.15 % 
50000 65536  SAWTOTH SORT______	   0.011658	   0.020593	   0.029375	   0.022827	   0.029367	   0.019166	   0.247924	     70.11 % 
50000 65536  _RANDOM SORT______	   0.011651	   0.020562	   0.029392	   0.022858	   0.029408	   0.019133	   0.248076	     69.96 % 
50000 65536  PLATEAU SORT______	   0.011655	   0.020597	   0.029367	   0.022846	   0.029379	   0.019157	   0.248328	     70.14 % 
50000 65536  SHUFFLE SORT______	   0.011654	   0.020604	   0.029360	   0.022797	   0.029366	   0.019164	   0.248183	     70.18 % 
50000 65536  STAGGER DITHER____	   0.011633	   6.115811	   6.314028	   5.770535	   6.243368	   1.797098	   3.597579	     96.86 % 
50000 65536  SAWTOTH DITHER____	   0.011662	   1.045190	   0.639358	   0.587546	   0.731904	   1.222241	   1.866375	    163.47 % .!!!!.
50000 65536  _RANDOM DITHER____	   0.011643	   7.028907	   6.997657	   6.487084	   7.007081	   2.338745	   9.961179	    100.45 % ..
50000 65536  PLATEAU DITHER____	   0.011671	   1.045634	   0.639769	   0.587447	   0.731505	   1.226919	   1.865863	    163.44 % .!!!!.
50000 65536  SHUFFLE DITHER____	   0.011619	   0.786090	   0.592170	   0.453326	   0.657790	   1.488224	   1.302877	    132.75 % .!!!.
lreps: 1 with reps: 90

100000 1  STAGGER IDENT_____	   0.022849	   0.485161	   0.274381	   0.280444	   0.315761	   0.497115	   1.128871	    176.82 % .!!!!.
100000 1  SAWTOTH IDENT_____	   0.020772	   0.050816	   0.034245	   0.034168	   0.034416	   0.050765	   0.625183	    148.39 % .!!!.
100000 1  _RANDOM IDENT_____	   0.020786	   0.051018	   0.034265	   0.034083	   0.034395	   0.050732	   0.625493	    148.89 % .!!!.
100000 1  PLATEAU IDENT_____	   0.022726	   0.043701	   0.062713	   0.048440	   0.062726	   0.041383	   0.635795	     69.68 % 
100000 1  SHUFFLE IDENT_____	   0.022740	   0.043689	   0.062756	   0.048481	   0.062798	   0.041396	   0.584025	     69.62 % 
100000 1  STAGGER REVERSE___	   0.023285	   0.609363	   0.418361	   0.390402	   0.498718	   0.593034	   3.005533	    145.66 % .!!!.
100000 1  SAWTOTH REVERSE___	   0.021752	   0.050980	   0.034942	   0.034810	   0.035130	   0.051530	   0.626442	    145.90 % .!!!.
100000 1  _RANDOM REVERSE___	   0.021778	   0.051438	   0.034851	   0.034823	   0.035084	   0.051452	   0.626586	    147.60 % .!!!.
100000 1  PLATEAU REVERSE___	   0.023258	   0.147131	   0.034364	   0.034178	   0.034603	   0.029641	   0.633144	    428.16 % .!!!!!.
100000 1  SHUFFLE REVERSE___	   0.023263	   0.142636	   0.180334	   0.132531	   0.180217	   0.117283	   2.668113	     79.10 % 
100000 1  STAGGER REVERSE_FR	   0.023273	   0.546921	   0.356301	   0.345184	   0.378576	   0.544171	   2.061620	    153.50 % .!!!.
100000 1  SAWTOTH REVERSE_FR	   0.021787	   0.051286	   0.034814	   0.034682	   0.035108	   0.051502	   0.626422	    147.31 % .!!!.
100000 1  _RANDOM REVERSE_FR	   0.021769	   0.051241	   0.034797	   0.034794	   0.035194	   0.051485	   0.626346	    147.26 % .!!!.
100000 1  PLATEAU REVERSE_FR	   0.023306	   0.502753	   0.034330	   0.034196	   0.034462	   0.029711	   0.633080	   1464.48 % .!!!!!.
100000 1  SHUFFLE REVERSE_FR	   0.023307	   0.090873	   0.119191	   0.088386	   0.119277	   0.419410	   1.731486	     76.24 % 
100000 1  STAGGER REVERSE_BA	   0.023254	   0.549279	   0.355762	   0.345805	   0.378282	   0.546088	   2.063544	    154.40 % .!!!.
100000 1  SAWTOTH REVERSE_BA	   0.021780	   0.050891	   0.034781	   0.034764	   0.035115	   0.051476	   0.626444	    146.32 % .!!!.
100000 1  _RANDOM REVERSE_BA	   0.021772	   0.050988	   0.034879	   0.034785	   0.035143	   0.051501	   0.625288	    146.18 % .!!!.
100000 1  PLATEAU REVERSE_BA	   0.023263	   0.044449	   0.063677	   0.049386	   0.063650	   0.041919	   0.636466	     69.80 % 
100000 1  SHUFFLE REVERSE_BA	   0.023261	   0.549224	   0.362254	   0.353841	   0.381009	   0.546542	   1.734560	    151.61 % .!!!.
100000 1  STAGGER SORT______	   0.023263	   0.044454	   0.063626	   0.049307	   0.063528	   0.041764	   0.585519	     69.87 % 
100000 1  SAWTOTH SORT______	   0.021855	   0.051221	   0.034777	   0.034656	   0.034996	   0.051465	   0.626260	    147.29 % .!!!.
100000 1  _RANDOM SORT______	   0.021737	   0.051101	   0.034847	   0.034826	   0.035113	   0.051579	   0.626227	    146.65 % .!!!.
100000 1  PLATEAU SORT______	   0.023256	   0.044546	   0.063724	   0.049451	   0.063704	   0.041977	   0.636444	     69.90 % 
100000 1  SHUFFLE SORT______	   0.023260	   0.044513	   0.063655	   0.049455	   0.063692	   0.041927	   0.585724	     69.93 % 
100000 1  STAGGER DITHER____	   0.023270	   5.893230	   9.954112	   7.362822	  10.891131	   3.378808	   2.890567	     59.20 % 
100000 1  SAWTOTH DITHER____	   0.023274	   0.395343	   0.279025	   0.316660	   0.349647	   2.135158	   6.544932	    141.69 % .!!!.
100000 1  _RANDOM DITHER____	   0.023280	   0.395052	   0.278348	   0.316078	   0.349978	   2.142449	   6.563190	    141.93 % .!!!.
100000 1  PLATEAU DITHER____	   0.023261	   0.395693	   0.278396	   0.316531	   0.350056	   2.136411	   6.546753	    142.13 % .!!!.
100000 1  SHUFFLE DITHER____	   0.023269	   1.875635	   1.556700	   1.391064	   1.827066	   2.563268	   2.835783	    120.49 % .!!!.
100000 4  STAGGER IDENT_____	   0.023353	   1.510646	   0.585964	   0.620221	   0.630697	   1.554139	   2.207974	    257.81 % .!!!!!.
100000 4  SAWTOTH IDENT_____	   0.023333	   0.268238	   0.275958	   0.315433	   0.323036	   2.144211	   6.532850	     97.20 % 
100000 4  _RANDOM IDENT_____	   0.023332	   2.027734	   1.977599	   2.078132	   1.991777	   2.152778	   9.611890	    102.54 % ..
100000 4  PLATEAU IDENT_____	   0.023341	   0.044532	   0.063533	   0.049304	   0.063552	   0.041811	   0.633512	     70.09 % 
100000 4  SHUFFLE IDENT_____	   0.023332	   6.674704	   6.105043	   5.305253	   6.077757	   3.914595	   7.124588	    109.33 % .!.
100000 4  STAGGER REVERSE___	   0.023335	   1.673962	   0.725374	   0.716513	   1.034113	   1.682495	   4.098747	    230.77 % .!!!!!.
100000 4  SAWTOTH REVERSE___	   0.023344	   0.324769	   0.353558	   0.411614	   0.508993	   2.140224	   6.614857	     91.86 % 
100000 4  _RANDOM REVERSE___	   0.023350	   2.056081	   1.978893	   2.082167	   1.990911	   2.148598	   9.612882	    103.90 % ..
100000 4  PLATEAU REVERSE___	   0.023338	   0.146986	   0.034299	   0.034194	   0.034468	   0.029595	   0.630691	    428.55 % .!!!!!.
100000 4  SHUFFLE REVERSE___	   0.023342	   5.941529	$   6.673090	   5.754277	   6.795279	   3.583266	   8.034862	     89.04 % 
100000 4  STAGGER REVERSE_FR	   0.023337	   1.581894	   0.993954	   1.024252	   1.058075	   1.602314	   3.150962	    159.15 % .!!!.
100000 4  SAWTOTH REVERSE_FR	   0.023336	   0.326736	   0.354112	   0.399151	   0.390167	   2.140032	   6.581446	     92.27 % 
100000 4  _RANDOM REVERSE_FR	   0.023347	   2.026002	   1.980816	   2.083965	   1.992402	   2.148363	   9.616178	    102.28 % ..
100000 4  PLATEAU REVERSE_FR	   0.023331	   0.503181	   0.034386	   0.034256	   0.034485	   0.029758	   0.631427	   1463.33 % .!!!!!.
100000 4  SHUFFLE REVERSE_FR	   0.023339	   6.534700	$   5.653695	   4.751261	   5.748874	   3.917706	   7.640316	    115.58 % .!!.
100000 4  STAGGER REVERSE_BA	   0.023324	   1.635975	   0.989948	   1.025880	   1.058570	   1.664791	   3.153579	    165.26 % .!!!!.
100000 4  SAWTOTH REVERSE_BA	   0.023352	   0.252159	   0.277624	   0.314871	   0.329738	   2.136270	   6.586691	     90.83 % 
100000 4  _RANDOM REVERSE_BA	   0.023345	   2.056743	   1.990044	   2.084943	   2.001364	   2.143170	   9.611377	    103.35 % ..
100000 4  PLATEAU REVERSE_BA	   0.023352	   0.044486	   0.063546	   0.049304	   0.063521	   0.041731	   0.633493	     70.01 % 
100000 4  SHUFFLE REVERSE_BA	   0.023349	   6.465936	$   7.147507	   6.167586	   7.265618	   3.900179	   7.635027	     90.46 % 
100000 4  STAGGER SORT______	   0.023353	   0.044519	   0.063531	   0.049338	   0.063527	   0.041940	   0.580676	     70.07 % 
100000 4  SAWTOTH SORT______	   0.022867	   0.046404	   0.056122	   0.045867	   0.056132	   0.039518	   0.634878	     82.68 % 
100000 4  _RANDOM SORT______	   0.022883	   0.046370	   0.056091	   0.045832	   0.056138	   0.039299	   0.633083	     82.67 % 
100000 4  PLATEAU SORT______	   0.023336	   0.044509	   0.063569	   0.049384	   0.063557	   0.041861	   0.633845	     70.02 % 
100000 4  SHUFFLE SORT______	   0.023344	   0.044542	   0.063525	   0.049326	   0.063567	   0.041791	   0.580643	     70.12 % 
100000 4  STAGGER DITHER____	   0.023366	   1.510745	   0.584227	   0.618719	   0.630655	   1.554038	   2.206832	    258.59 % .!!!!!.
100000 4  SAWTOTH DITHER____	   0.023337	   0.485130	   1.447680	$   1.388714	   1.552254	   2.143372	   7.284879	     33.51 % 
100000 4  _RANDOM DITHER____	   0.023324	   2.523149	   2.567167	   2.686175	   2.538108	   2.145351	  10.897545	     98.29 % 
100000 4  PLATEAU DITHER____	   0.023354	   0.473569	   0.310536	   0.319188	   0.316786	   2.143925	   6.538922	    152.50 % .!!!.
100000 4  SHUFFLE DITHER____	   0.023359	   7.145237	   7.069378	   6.103637	   7.186181	   4.812425	   7.882656	    101.07 % ..
100000 16  STAGGER IDENT_____	   0.023329	   2.600701	   1.268257	   1.385394	   1.388339	   3.229024	   2.964440	    205.06 % .!!!!!.
100000 16  SAWTOTH IDENT_____	   0.023327	   2.666599	   1.370423	   1.417480	   1.444130	   2.142066	   6.545692	    194.58 % .!!!!.
100000 16  _RANDOM IDENT_____	   0.023331	   3.823055	   3.896424	   3.854203	   3.875727	   2.145226	  12.206082	     98.12 % 
100000 16  PLATEAU IDENT_____	   0.023335	   0.044497	   0.063573	   0.049267	   0.063558	   0.041828	   0.633991	     69.99 % 
100000 16  SHUFFLE IDENT_____	   0.023351	   4.610488	$   3.232270	   2.639245	   3.332973	   3.971977	   5.666393	    142.64 % .!!!.
100000 16  STAGGER REVERSE___	   0.023330	   2.764385	   1.455361	   1.520784	   1.577118	   3.361358	   4.870274	    189.95 % .!!!!.
100000 16  SAWTOTH REVERSE___	   0.023345	   2.632921	   0.595442	   0.625298	$   0.614847	   2.145907	   7.439518	    442.18 % .!!!!!.
100000 16  _RANDOM REVERSE___	   0.023334	   3.520225	   3.970589	   3.879134	   3.975135	   2.140191	  12.199631	     88.66 % 
100000 16  PLATEAU REVERSE___	   0.023330	   0.147040	   0.034377	   0.034226	   0.034515	   0.029664	   0.630572	    427.73 % .!!!!!.
100000 16  SHUFFLE REVERSE___	   0.023358	   4.029611	$   4.233125	   3.372007	   4.231584	   3.715395	   7.010123	     95.19 % 
100000 16  STAGGER REVERSE_FR	   0.023332	   2.631930	   1.378583	   1.461504	   1.495151	   3.292072	   3.915403	    190.92 % .!!!!.
100000 16  SAWTOTH REVERSE_FR	   0.023354	   2.093629	   2.596567	   2.482617	   2.765359	   2.141479	   7.056458	     80.63 % 
100000 16  _RANDOM REVERSE_FR	   0.023332	   3.892874	$   3.908377	   3.810123	   4.015576	   2.137133	  12.201325	     99.60 % 
100000 16  PLATEAU REVERSE_FR	   0.023358	   0.503928	   0.034369	   0.034240	   0.034467	   0.029753	   0.633445	   1466.23 % .!!!!!.
100000 16  SHUFFLE REVERSE_FR	   0.023381	   4.407797	$   3.004829	   2.513818	   3.120090	   3.885675	$   6.477092	    146.69 % .!!!.
100000 16  STAGGER REVERSE_BA	   0.023336	   2.673438	   1.399489	   1.483295	   1.515837	   3.317667	   3.922212	    191.03 % .!!!!.
100000 16  SAWTOTH REVERSE_BA	   0.023347	   2.086345	   2.225242	   2.138532	   2.238707	   2.139243	   7.050027	     93.76 % 
100000 16  _RANDOM REVERSE_BA	   0.023337	   3.803561	   3.882284	   3.887081	   3.924465	   2.139574	  12.208007	     97.97 % 
100000 16  PLATEAU REVERSE_BA	   0.023351	   0.044527	   0.063574	   0.049311	   0.063609	   0.041950	   0.636692	     70.04 % 
100000 16  SHUFFLE REVERSE_BA	   0.023349	   4.263903	   4.144728	   3.483616	   4.205746	   3.897542	$   6.506124	    102.88 % ..
100000 16  STAGGER SORT______	   0.023354	   0.044522	   0.063619	   0.049348	   0.063549	   0.041941	   0.584707	     69.98 % 
100000 16  SAWTOTH SORT______	   0.023239	   0.044937	   0.061372	   0.048562	   0.061352	   0.041321	   0.638433	     73.22 % 
100000 16  _RANDOM SORT______	   0.023210	   0.044988	   0.061419	   0.048643	   0.061413	   0.041200	   0.641422	     73.25 % 
100000 16  PLATEAU SORT______	   0.023344	   0.044516	   0.063709	   0.049339	   0.063636	   0.042191	   0.636479	     69.87 % 
100000 16  SHUFFLE SORT______	   0.023334	   0.044543	   0.063608	   0.049352	   0.063627	   0.041995	   0.584965	     70.03 % 
100000 16  STAGGER DITHER____	   0.023348	   2.601389	   1.266500	   1.386711	   1.390054	   3.231819	   2.974716	    205.40 % .!!!!!.
