
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =   10000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 90

50000 4  STAGGER REVERSE_FR	   0.011638	   0.589616	   0.326996	   0.337192	   0.349236	   0.596902	   1.550952	    180.31 % .!!!!.
50000 4  SAWTOTH REVERSE_FR	   0.011655	   0.138446	   0.105357	   0.111109	   0.112916	   1.056214	   3.066209	    131.41 % .!!!.
50000 4  _RANDOM REVERSE_FR	   0.011663	   1.028682	   0.818135	   1.033505	   0.819850	   1.060176	   4.756612	    125.74 % .!!!.
50000 4  PLATEAU REVERSE_FR	   0.011652	   0.198360	   0.015595	   0.015704	   0.015574	   0.013569	   0.270519	   1271.96 % .!!!!!.
50000 4  SHUFFLE REVERSE_FR	   0.011675	   3.241697	$   2.966936	   2.550055	   3.001470	   1.782320	   3.646465	    109.26 % .!.
50000 4  STAGGER REVERSE_BA	   0.011658	   0.609003	   0.326898	   0.337723	   0.349164	   0.619590	   1.553788	    186.30 % .!!!!.
50000 4  SAWTOTH REVERSE_BA	   0.011642	   0.193347	   0.104465	   0.117602	   0.116122	   1.055911	   3.072710	    185.08 % .!!!!.
50000 4  _RANDOM REVERSE_BA	   0.011653	   1.014233	   0.738018	   1.032681	   0.739945	   1.060515	   4.763397	    137.43 % .!!!.
50000 4  PLATEAU REVERSE_BA	   0.011660	   0.020563	   0.029357	   0.022877	   0.029379	   0.019182	   0.271012	     70.05 % 
50000 4  SHUFFLE REVERSE_BA	   0.011654	   3.080116	$   3.267342	   2.799936	   3.290592	   1.755133	   3.640138	     94.27 % 
50000 4  STAGGER SORT______	   0.011647	   0.020585	   0.029407	   0.022881	   0.029413	   0.019173	   0.248188	     70.00 % 
50000 4  SAWTOTH SORT______	   0.011488	   0.021388	   0.025971	   0.021193	   0.025987	   0.017856	   0.272145	     82.35 % 
50000 4  _RANDOM SORT______	   0.011479	   0.021385	   0.025993	   0.021225	   0.026007	   0.017915	   0.272221	     82.27 % 
50000 4  PLATEAU SORT______	   0.011663	   0.020580	   0.029335	   0.022822	   0.029370	   0.019175	   0.271693	     70.15 % 
50000 4  SHUFFLE SORT______	   0.011664	   0.020577	   0.029353	   0.022853	   0.029385	   0.019183	   0.248014	     70.10 % 
50000 4  STAGGER DITHER____	   0.011659	   0.562648	   0.230519	   0.255252	   0.261161	   0.578560	   1.123543	    244.08 % .!!!!!.
50000 4  SAWTOTH DITHER____	   0.011657	   0.399261	   0.152022	   0.164435	   0.165164	   1.055691	   3.417346	    262.63 % .!!!!!.
50000 4  _RANDOM DITHER____	   0.011649	   1.333192	   1.280256	   1.353304	   1.267215	   1.058215	   5.410861	    104.13 % ..
50000 4  PLATEAU DITHER____	   0.011638	   0.181869	   0.129281	   0.131153	   0.130356	   1.056723	   3.068989	    140.68 % .!!!.
50000 4  SHUFFLE DITHER____	   0.011625	   3.527414	$   3.464808	   3.032022	   3.553684	   2.224373	   3.856193	    101.81 % ..
50000 16  STAGGER IDENT_____	   0.011634	   1.300039	   0.424520	   0.523565	   0.523461	   1.551412	   1.509604	    306.24 % .!!!!!.
50000 16  SAWTOTH IDENT_____	   0.011650	   0.394609	   1.580913	   1.295501	   1.602833	   1.056248	   3.077359	     24.96 % 
50000 16  _RANDOM IDENT_____	   0.011657	   1.904720	   1.898720	   1.967168	   1.898006	   1.057868	   6.065555	    100.32 % ..
50000 16  PLATEAU IDENT_____	   0.011648	   0.020591	   0.029375	   0.022862	   0.029387	   0.019186	   0.271433	     70.10 % 
50000 16  SHUFFLE IDENT_____	   0.011648	   2.276872	$   1.657920	   1.361317	   1.650752	   1.838685	   2.665789	    137.33 % .!!!.
50000 16  STAGGER REVERSE___	   0.011679	   1.381618	   0.549304	   0.571807	   0.594118	   1.607046	   2.366720	    251.52 % .!!!!!.
50000 16  SAWTOTH REVERSE___	   0.011649	   0.506204	   1.434707	   1.255850	   1.485729	   1.057644	   3.480065	     35.28 % 
50000 16  _RANDOM REVERSE___	   0.011658	   1.964613	   1.991127	   1.919813	   1.985633	   1.057639	   6.063869	     98.67 % 
50000 16  PLATEAU REVERSE___	   0.011656	   0.064838	   0.015569	   0.015680	   0.015569	   0.013471	   0.267463	    416.46 % .!!!!!.
50000 16  SHUFFLE REVERSE___	   0.011652	   1.953113	   1.900597	   1.586514	   1.942697	   1.729717	   3.261785	    102.76 % ..
50000 16  STAGGER REVERSE_FR	   0.011670	   1.316101	   0.511905	   0.542221	   0.557213	   1.587782	   1.939165	    257.10 % .!!!!!.
50000 16  SAWTOTH REVERSE_FR	   0.011656	   0.370100	   1.236025	   1.136257	   1.343077	   1.057038	   3.323572	     29.94 % 
50000 16  _RANDOM REVERSE_FR	   0.011645	   1.898757	   1.924905	   1.978994	   1.949592	   1.057367	   6.063255	     98.64 % 
50000 16  PLATEAU REVERSE_FR	   0.011655	   0.192358	   0.015651	   0.015757	   0.015582	   0.013591	   0.271211	   1229.04 % .!!!!!.
50000 16  SHUFFLE REVERSE_FR	   0.011646	   2.190086	$   1.843694	   1.499785	   1.812680	   1.837512	   2.998182	    118.79 % .!!.
50000 16  STAGGER REVERSE_BA	   0.011634	   1.336121	   0.524536	   0.561273	   0.569085	   1.579398	   1.939821	    254.72 % .!!!!!.
50000 16  SAWTOTH REVERSE_BA	   0.011633	   0.287041	   1.182056	   1.132766	   1.221725	   1.058083	   3.315988	     24.28 % 
50000 16  _RANDOM REVERSE_BA	   0.011654	   1.900083	   1.999570	   1.965281	   2.020108	   1.057327	   6.057971	     95.02 % 
