
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_18_11_21	DPQ_11	RADIX	MARLIN	[DPQ_18_11 % DPQ_18_11P]

lreps: 801 with reps: 17

100 4  PLATEAU SORT______	   0.000014	   0.000103	   0.000137	   0.000102	   0.000152	   0.000123	   0.000270	     74.78 % 
100 4  SHUFFLE SORT______	   0.000015	   0.000627	   0.000138	   0.000220	   0.000197	   0.000122	   0.000251	    455.10 % .!!!!!.
100 4  STAGGER DITHER____	   0.000015	   0.000884	   0.000801	   0.000882	   0.000751	   0.000879	   0.000974	    110.31 % .!!.
100 4  SAWTOTH DITHER____	   0.000014	   0.001147	   0.001058	   0.001151	   0.000501	   0.003663	   0.001127	    108.43 % .!.
100 4  _RANDOM DITHER____	   0.000015	   0.000878	   0.001049	   0.000638	   0.000509	   0.003673	   0.001107	     83.69 % 
100 4  PLATEAU DITHER____	   0.000015	   0.000545	   0.000955	   0.000459	   0.000335	   0.003621	   0.001063	     57.02 % 
100 4  SHUFFLE DITHER____	   0.000014	   0.000923	   0.000710	   0.000709	   0.000955	   0.004224	   0.000939	    130.11 % .!!!.
100 16  STAGGER IDENT_____	   0.000015	   0.000830	   0.001082	   0.000804	   0.000886	   0.003932	   0.001111	     76.68 % 
100 16  SAWTOTH IDENT_____	   0.000015	   0.001002	   0.000868	$   0.000853	   0.000772	   0.000978	   0.001052	    115.34 % .!!.
100 16  _RANDOM IDENT_____	   0.000015	   0.001064	   0.001158	   0.001011	   0.000832	   0.003687	   0.001163	     91.86 % 
100 16  PLATEAU IDENT_____	   0.000015	   0.000226	   0.000137	   0.000123	   0.000172	   0.000123	   0.000269	    164.63 % .!!!!.
100 16  SHUFFLE IDENT_____	   0.000015	!  0.000784	!  0.000412	   0.000454	!  0.000669	   0.001149	   0.000769	    190.37 % .!!!!.
100 16  STAGGER REVERSE___	   0.000014	   0.000882	   0.001197	   0.000839	   0.000919	   0.004054	   0.001230	     73.66 % 
100 16  SAWTOTH REVERSE___	   0.000014	   0.000985	   0.001021	   0.000790	   0.000636	   0.001049	   0.001302	     96.48 % 
100 16  _RANDOM REVERSE___	   0.000015	   0.000992	   0.001142	   0.000947	   0.000999	   0.003697	   0.001171	     86.91 % 
100 16  PLATEAU REVERSE___	   0.000015	   0.000235	   0.000550	   0.000179	   0.000298	   0.000138	   0.000401	     42.68 % 
100 16  SHUFFLE REVERSE___	   0.000015	   0.000921	   0.001657	!  0.000796	   0.000825	   0.001112	   0.001319	     55.56 % 
100 16  STAGGER REVERSE_FR	   0.000014	   0.001049	   0.001187	   0.001054	   0.000707	   0.003998	   0.001197	     88.40 % 
100 16  SAWTOTH REVERSE_FR	   0.000015	   0.000859	   0.000980	   0.000878	   0.000730	   0.001021	   0.001177	     87.71 % 
100 16  _RANDOM REVERSE_FR	   0.000014	   0.001049	   0.001156	   0.000985	   0.001014	   0.003692	   0.001160	     90.79 % 
100 16  PLATEAU REVERSE_FR	   0.000014	   0.000421	   0.000325	   0.000360	   0.000300	   0.000142	   0.000399	    129.26 % .!!!.
100 16  SHUFFLE REVERSE_FR	   0.000014	   0.000677	   0.000764	   0.000720	   0.000624	   0.001196	   0.001077	     88.65 % 
100 16  STAGGER REVERSE_BA	   0.000015	   0.000861	   0.001161	   0.000812	   0.000789	   0.003978	   0.001146	     74.21 % 
100 16  SAWTOTH REVERSE_BA	   0.000015	   0.001012	   0.000918	   0.001039	   0.000672	   0.001026	   0.001172	    110.15 % .!!.
100 16  _RANDOM REVERSE_BA	   0.000015	   0.001039	   0.001168	   0.001067	   0.000787	   0.003689	   0.001143	     88.95 % 
100 16  PLATEAU REVERSE_BA	   0.000015	   0.000226	   0.000138	   0.000124	   0.000172	   0.000122	   0.000269	    163.10 % .!!!!.
100 16  SHUFFLE REVERSE_BA	   0.000015	   0.001021	   0.000691	   0.000670	!  0.000764	   0.001240	   0.001034	    147.76 % .!!!.
100 16  STAGGER SORT______	   0.000014	   0.000625	   0.000137	   0.000220	   0.000195	   0.000122	   0.000251	    456.67 % .!!!!!.
100 16  SAWTOTH SORT______	   0.000014	   0.000528	   0.000138	   0.000223	   0.000196	   0.000123	   0.000252	    382.32 % .!!!!!.
100 16  _RANDOM SORT______	   0.000015	   0.000788	   0.000138	   0.000278	   0.000201	   0.000122	   0.000249	    569.66 % .!!!!!.
100 16  PLATEAU SORT______	   0.000015	   0.000226	   0.000138	   0.000124	   0.000172	   0.000122	   0.000270	    163.38 % .!!!!.
100 16  SHUFFLE SORT______	   0.000015	   0.000625	   0.000139	   0.000222	   0.000195	   0.000123	   0.000250	    450.96 % .!!!!!.
100 16  STAGGER DITHER____	   0.000015	   0.000826	   0.001096	   0.000819	   0.000885	   0.003908	   0.001124	     75.38 % 
100 16  SAWTOTH DITHER____	   0.000015	   0.000934	   0.000944	   0.000881	   0.000750	   0.003676	   0.001110	     98.93 % 
100 16  _RANDOM DITHER____	   0.000015	   0.001128	   0.001167	   0.001040	   0.000860	   0.003706	   0.001143	     96.66 % 
100 16  PLATEAU DITHER____	   0.000015	   0.000737	   0.000762	   0.000752	   0.000351	   0.003666	   0.001001	     96.61 % 
100 16  SHUFFLE DITHER____	   0.000015	   0.000922	!  0.000441	   0.000533	!  0.000733	   0.004237	   0.000777	    209.08 % .!!!!!.
100 64  STAGGER IDENT_____	   0.000014	   0.001092	   0.001268	   0.001120	   0.001062	   0.003807	   0.001213	     86.09 % 
100 64  SAWTOTH IDENT_____	   0.000015	   0.001275	   0.000634	   0.000899	   0.000872	   0.000371	   0.000608	    201.13 % .!!!!!.
100 64  _RANDOM IDENT_____	   0.000015	   0.001088	   0.001188	   0.001010	   0.000926	   0.003793	   0.001167	     91.57 % 
100 64  PLATEAU IDENT_____	   0.000015	   0.000625	   0.000140	   0.000223	   0.000196	   0.000122	   0.000255	    446.29 % .!!!!!.
100 64  SHUFFLE IDENT_____	   0.000015	   0.000753	   0.000239	   0.000326	   0.000422	!  0.000699	   0.000693	    315.15 % .!!!!!.
100 64  STAGGER REVERSE___	   0.000015	   0.000924	   0.001217	   0.000933	   0.000956	   0.003751	   0.001124	     75.89 % 
100 64  SAWTOTH REVERSE___	   0.000015	   0.000810	   0.001279	   0.000783	   0.000684	   0.000447	   0.001234	     63.34 % 
100 64  _RANDOM REVERSE___	   0.000015	   0.001048	   0.001186	   0.000980	   0.001061	   0.003795	   0.001181	     88.39 % 
100 64  PLATEAU REVERSE___	   0.000014	   0.000894	   0.001370	   0.000424	   0.000401	   0.000182	   0.000693	     65.27 % 
100 64  SHUFFLE REVERSE___	   0.000015	   0.000895	   0.001696	   0.000575	   0.000570	   0.000659	   0.001269	     52.78 % 
100 64  STAGGER REVERSE_FR	   0.000014	   0.001130	   0.001259	   0.001092	   0.000705	   0.003780	   0.001192	     89.79 % 
100 64  SAWTOTH REVERSE_FR	   0.000015	   0.001153	   0.001123	   0.001300	   0.000879	   0.000588	   0.000956	    102.63 % ..
100 64  _RANDOM REVERSE_FR	   0.000015	   0.001033	   0.001191	   0.001006	   0.000930	   0.003808	   0.001180	     86.66 % 
100 64  PLATEAU REVERSE_FR	   0.000015	   0.000600	   0.000608	   0.000645	   0.000474	   0.000409	   0.000584	     98.72 % 
100 64  SHUFFLE REVERSE_FR	   0.000015	   0.000638	   0.000674	   0.000689	   0.000559	   0.000818	   0.000993	     94.70 % 
100 64  STAGGER REVERSE_BA	   0.000015	   0.000826	   0.001237	   0.000835	   0.001000	   0.003811	   0.001152	     66.79 % 
100 64  SAWTOTH REVERSE_BA	   0.000015	   0.001044	   0.000727	   0.000788	   0.000783	   0.000653	   0.000883	    143.68 % .!!!.
100 64  _RANDOM REVERSE_BA	   0.000015	   0.001040	   0.001201	   0.000999	   0.001006	   0.003806	   0.001161	     86.52 % 
100 64  PLATEAU REVERSE_BA	   0.000015	   0.001024	   0.000317	   0.000426	   0.000441	   0.000378	   0.000361	    323.40 % .!!!!!.
100 64  SHUFFLE REVERSE_BA	   0.000015	   0.000961	   0.000582	   0.000547	   0.000453	   0.000838	   0.000989	    165.10 % .!!!!.
100 64  STAGGER SORT______	   0.000015	   0.000557	   0.000137	   0.000223	   0.000195	   0.000122	   0.000249	    406.44 % .!!!!!.
100 64  SAWTOTH SORT______	   0.000015	   0.000615	   0.000136	   0.000223	   0.000196	   0.000122	   0.000249	    451.22 % .!!!!!.
100 64  _RANDOM SORT______	   0.000015	   0.000620	   0.000136	   0.000223	   0.000199	   0.000123	   0.000250	    454.60 % .!!!!!.
100 64  PLATEAU SORT______	   0.000015	   0.000628	   0.000137	   0.000220	   0.000194	   0.000122	   0.000254	    457.55 % .!!!!!.
100 64  SHUFFLE SORT______	   0.000015	   0.000626	   0.000137	   0.000221	   0.000195	   0.000122	   0.000249	    455.86 % .!!!!!.
100 64  STAGGER DITHER____	   0.000015	   0.001103	   0.001248	   0.001117	   0.001062	   0.003822	   0.001220	     88.36 % 
100 64  SAWTOTH DITHER____	   0.000015	   0.001135	   0.000688	   0.000867	   0.000924	   0.003828	   0.000760	    164.92 % .!!!!.
100 64  _RANDOM DITHER____	   0.000015	   0.001071	   0.001207	   0.001022	   0.000944	   0.003818	   0.001172	     88.77 % 
100 64  PLATEAU DITHER____	   0.000015	   0.000848	   0.000350	   0.000584	   0.000657	   0.003803	   0.000780	    242.50 % .!!!!!.
100 64  SHUFFLE DITHER____	   0.000015	   0.000868	   0.000283	   0.000463	   0.000464	   0.004229	   0.000705	    306.97 % .!!!!!.
lreps: 201 with reps: 12

200 1  STAGGER IDENT_____	   0.000029	   0.002405	   0.002299	$   0.002345	   0.001467	   0.000711	   0.000945	    104.59 % ..
200 1  SAWTOTH IDENT_____	   0.000021	   0.000159	   0.000172	   0.000177	   0.000256	   0.000164	   0.000633	     92.05 % 
200 1  _RANDOM IDENT_____	   0.000021	   0.000159	   0.000173	   0.000176	   0.000255	   0.000164	   0.000635	     92.03 % 
200 1  PLATEAU IDENT_____	   0.000021	   0.000164	   0.000184	   0.000186	   0.000256	   0.000159	   0.000623	     88.95 % 
200 1  SHUFFLE IDENT_____	   0.000021	   0.000722	   0.000412	   0.000445	   0.000565	   0.000161	   0.000570	    175.10 % .!!!!.
200 1  STAGGER REVERSE___	   0.000026	   0.002311	   0.002334	   0.002310	   0.001549	   0.000849	   0.002728	     99.03 % 
200 1  SAWTOTH REVERSE___	   0.000021	   0.000159	   0.000172	   0.000176	   0.000255	   0.000164	   0.000636	     92.67 % 
200 1  _RANDOM REVERSE___	   0.000021	   0.000159	   0.000171	   0.000176	   0.000254	   0.000164	   0.000636	     93.02 % 
200 1  PLATEAU REVERSE___	   0.000021	   0.000155	   0.000173	   0.000178	   0.000254	   0.000152	   0.000656	     90.02 % 
200 1  SHUFFLE REVERSE___	   0.000021	   0.001262	   0.000854	   0.000998	   0.000918	   0.000287	   0.002350	    147.76 % .!!!.
200 1  STAGGER REVERSE_FR	   0.000021	   0.002435	   0.002247	   0.002275	   0.001463	   0.000783	   0.001809	    108.37 % .!.
200 1  SAWTOTH REVERSE_FR	   0.000021	   0.000158	   0.000171	   0.000176	   0.000255	   0.000164	   0.000636	     92.29 % 
200 1  _RANDOM REVERSE_FR	   0.000021	   0.000159	   0.000172	   0.000177	   0.000257	   0.000163	   0.000633	     92.59 % 
200 1  PLATEAU REVERSE_FR	   0.000026	   0.000166	   0.000180	   0.000183	   0.000254	   0.000152	   0.000649	     92.57 % 
200 1  SHUFFLE REVERSE_FR	   0.000021	   0.001094	   0.001104	   0.001022	   0.001394	   0.000720	   0.001435	     99.11 % 
200 1  STAGGER REVERSE_BA	   0.000021	   0.002109	   0.002108	   0.002045	   0.001522	   0.000781	   0.001813	    100.05 % ..
200 1  SAWTOTH REVERSE_BA	   0.000021	   0.000159	   0.000172	   0.000176	   0.000255	   0.000164	   0.000632	     92.17 % 
200 1  _RANDOM REVERSE_BA	   0.000021	   0.000159	   0.000172	   0.000176	   0.000255	   0.000164	   0.000634	     92.31 % 
200 1  PLATEAU REVERSE_BA	   0.000026	   0.000161	   0.000180	   0.000181	   0.000251	   0.000153	   0.000614	     89.42 % 
200 1  SHUFFLE REVERSE_BA	   0.000021	   0.001388	   0.001091	   0.001273	   0.000721	   0.000803	   0.001433	    127.23 % .!!!.
200 1  STAGGER SORT______	   0.000021	   0.000721	   0.000414	   0.000439	   0.000566	   0.000160	   0.000574	    174.34 % .!!!!.
200 1  SAWTOTH SORT______	   0.000026	   0.000154	   0.000165	   0.000172	   0.000250	   0.000159	   0.000628	     93.14 % 
200 1  _RANDOM SORT______	   0.000021	   0.000159	   0.000172	   0.000176	   0.000254	   0.000164	   0.000636	     92.44 % 
200 1  PLATEAU SORT______	   0.000021	   0.000166	   0.000185	   0.000186	   0.000259	   0.000161	   0.000626	     89.33 % 
200 1  SHUFFLE SORT______	   0.000021	   0.000720	   0.000414	   0.000445	   0.000565	   0.000159	   0.000575	    173.70 % .!!!!.
200 1  STAGGER DITHER____	   0.000021	   0.002640	   0.002566	$   0.002552	   0.001545	   0.005013	   0.001718	    102.89 % ..
200 1  SAWTOTH DITHER____	   0.000021	   0.000945	   0.000964	   0.000908	   0.000610	   0.004676	   0.002825	     98.08 % 
200 1  _RANDOM DITHER____	   0.000026	   0.000938	   0.000962	   0.000906	   0.000601	   0.004644	   0.002807	     97.56 % 
200 1  PLATEAU DITHER____	   0.000021	   0.000946	   0.000973	   0.000917	   0.000627	   0.004685	   0.002811	     97.29 % 
200 1  SHUFFLE DITHER____	   0.000021	   0.000812	   0.000520	   0.000540	   0.000859	   0.005403	   0.001677	    156.21 % .!!!.
200 4  STAGGER IDENT_____	   0.000021	   0.002046	   0.002021	   0.001962	   0.001764	   0.001641	   0.002132	    101.22 % ..
200 4  SAWTOTH IDENT_____	   0.000021	   0.000533	   0.001222	   0.000494	   0.000596	   0.004685	   0.002860	     43.59 % 
200 4  _RANDOM IDENT_____	   0.000026	!  0.000960	!  0.001023	!  0.000932	   0.000652	$   0.004857	   0.002805	     93.79 % 
200 4  PLATEAU IDENT_____	   0.000021	   0.000185	   0.000188	   0.000193	   0.000266	   0.000160	   0.000619	     98.37 % 
200 4  SHUFFLE IDENT_____	   0.000021	   0.001664	   0.001671	   0.001676	   0.001504	   0.006044	   0.002393	     99.57 % 
200 4  STAGGER REVERSE___	   0.000021	   0.002076	   0.002052	   0.002449	   0.002067	   0.001785	   0.003504	    101.15 % ..
200 4  SAWTOTH REVERSE___	   0.000021	   0.001189	   0.001091	   0.001079	   0.000608	   0.004816	   0.002916	    108.94 % .!.
200 4  _RANDOM REVERSE___	   0.000026	!  0.001102	   0.001119	   0.001145	   0.000717	   0.004749	   0.002890	     98.51 % 
200 4  PLATEAU REVERSE___	   0.000028	   0.000171	   0.000184	   0.000189	   0.000261	   0.000148	   0.000692	     93.27 % 
200 4  SHUFFLE REVERSE___	   0.000021	   0.002138	   0.001932	   0.002185	   0.001667	   0.007181	   0.003482	    110.68 % .!!.
200 4  STAGGER REVERSE_FR	   0.000021	   0.001815	   0.001823	   0.001926	   0.002019	   0.001715	   0.002840	     99.55 % 
200 4  SAWTOTH REVERSE_FR	   0.000021	   0.001348	   0.001252	   0.001218	   0.000614	   0.004763	   0.002867	    107.65 % .!.
200 4  _RANDOM REVERSE_FR	   0.000021	   0.000775	!  0.000891	!  0.000859	   0.000680	   0.004747	   0.002837	     86.92 % 
200 4  PLATEAU REVERSE_FR	   0.000021	   0.000181	   0.000191	   0.000189	   0.000277	   0.000160	   0.000700	     94.56 % 
200 4  SHUFFLE REVERSE_FR	   0.000021	   0.001765	   0.001801	   0.002065	   0.002169	   0.006472	   0.002941	     98.02 % 
200 4  STAGGER REVERSE_BA	   0.000021	   0.002060	   0.001716	   0.001843	   0.001578	   0.001759	   0.002850	    120.00 % .!!!.
200 4  SAWTOTH REVERSE_BA	   0.000021	   0.000537	   0.001260	   0.000493	   0.000621	$   0.004702	   0.002846	     42.58 % 
200 4  _RANDOM REVERSE_BA	   0.000021	!  0.001068	!  0.001027	!  0.001008	   0.000674	   0.004742	   0.002831	    104.03 % ..
200 4  PLATEAU REVERSE_BA	   0.000026	   0.000183	   0.000183	   0.000189	   0.000262	   0.000155	   0.000615	    100.16 % ..
200 4  SHUFFLE REVERSE_BA	   0.000021	   0.002166	   0.002161	   0.002148	   0.001384	   0.006511	   0.002945	    100.21 % ..
200 4  STAGGER SORT______	   0.000021	   0.000823	   0.000416	   0.000471	   0.000592	   0.000160	   0.000571	    197.75 % .!!!!.
200 4  SAWTOTH SORT______	   0.000021	   0.000611	   0.000455	   0.000459	   0.000698	   0.000160	   0.000626	    134.49 % .!!!.
200 4  _RANDOM SORT______	   0.000021	   0.000627	   0.000459	   0.000464	   0.000688	   0.000162	   0.000607	    136.76 % .!!!.
200 4  PLATEAU SORT______	   0.000021	   0.000186	   0.000189	   0.000193	   0.000265	   0.000159	   0.000622	     98.48 % 
200 4  SHUFFLE SORT______	   0.000021	   0.000726	   0.000409	   0.000445	   0.000566	   0.000159	   0.000572	    177.37 % .!!!!.
200 4  STAGGER DITHER____	   0.000021	   0.002035	   0.002030	   0.001987	   0.001764	   0.001668	   0.002156	    100.27 % ..
200 4  SAWTOTH DITHER____	   0.000021	   0.001768	   0.001561	   0.001545	   0.000875	   0.004697	   0.002935	    113.27 % .!!.
200 4  _RANDOM DITHER____	   0.000021	   0.001661	   0.001402	   0.001366	   0.000903	   0.004719	   0.002871	    118.47 % .!!.
200 4  PLATEAU DITHER____	   0.000026	   0.001036	   0.001052	   0.001007	   0.000624	   0.004657	   0.002791	     98.51 % 
200 4  SHUFFLE DITHER____	   0.000021	   0.001714	   0.001701	   0.001742	   0.001596	   0.006069	   0.002460	    100.79 % ..
200 16  STAGGER IDENT_____	   0.000021	   0.002291	$   0.002333	   0.002173	   0.002041	   0.005285	   0.002844	     98.22 % 
200 16  SAWTOTH IDENT_____	   0.000021	   0.001551	   0.001690	   0.001475	   0.001411	   0.002415	   0.002678	     91.78 % 
200 16  _RANDOM IDENT_____	   0.000021	$   0.002114	   0.002257	   0.002081	   0.001573	   0.004719	   0.003021	     93.64 % 
200 16  PLATEAU IDENT_____	   0.000021	   0.000304	   0.000209	   0.000206	   0.000284	   0.000159	   0.000621	    145.59 % .!!!.
200 16  SHUFFLE IDENT_____	   0.000021	   0.001161	   0.001016	   0.000994	   0.001467	!  0.004428	   0.002011	    114.32 % .!!.
200 16  STAGGER REVERSE___	   0.000021	   0.002301	   0.001979	   0.002189	   0.002070	   0.005471	   0.003268	    116.25 % .!!.
200 16  SAWTOTH REVERSE___	   0.000021	   0.001804	   0.001576	   0.001657	   0.001203	   0.002554	   0.003407	    114.48 % .!!.
200 16  _RANDOM REVERSE___	   0.000021	   0.002089	   0.002005	   0.001980	   0.001432	   0.004767	   0.003065	    104.20 % ..
200 16  PLATEAU REVERSE___	   0.000021	   0.000308	   0.000244	   0.000262	   0.000410	   0.000169	   0.000794	    126.66 % .!!!.
200 16  SHUFFLE REVERSE___	   0.000021	   0.001785	!  0.001717	!  0.001909	   0.001533	!  0.005004	   0.003466	    103.95 % ..
200 16  STAGGER REVERSE_FR	   0.000021	   0.002215	   0.002195	   0.002292	   0.002007	   0.005449	   0.003139	    100.91 % ..
200 16  SAWTOTH REVERSE_FR	   0.000021	   0.001866	   0.001813	   0.001881	   0.001361	   0.002493	   0.002973	    102.90 % ..
200 16  _RANDOM REVERSE_FR	   0.000021	   0.001999	   0.001874	   0.001983	   0.001482	   0.004733	   0.003056	    106.65 % .!.
200 16  PLATEAU REVERSE_FR	   0.000027	   0.000319	   0.000226	   0.000221	   0.000422	   0.000169	   0.000786	    141.05 % .!!!.
200 16  SHUFFLE REVERSE_FR	   0.000021	   0.001258	   0.001302	!  0.001866	!  0.002033	!  0.006080	   0.002750	     96.59 % 
200 16  STAGGER REVERSE_BA	   0.000021	   0.002020	   0.001912	   0.002292	   0.001779	   0.005375	   0.002978	    105.67 % .!.
200 16  SAWTOTH REVERSE_BA	   0.000021	   0.001927	   0.001819	   0.001816	   0.001277	   0.002445	   0.003086	    105.95 % .!.
200 16  _RANDOM REVERSE_BA	   0.000021	   0.001996	   0.002151	   0.002046	   0.001660	   0.004752	   0.003018	     92.78 % 
200 16  PLATEAU REVERSE_BA	   0.000021	   0.000303	   0.000211	   0.000206	   0.000287	   0.000159	   0.000620	    143.52 % .!!!.
200 16  SHUFFLE REVERSE_BA	   0.000021	   0.001927	   0.001778	   0.001714	   0.001479	!  0.006140	   0.002736	    108.43 % .!.
200 16  STAGGER SORT______	   0.000021	   0.000724	   0.000417	   0.000447	   0.000562	   0.000160	   0.000570	    173.60 % .!!!!.
200 16  SAWTOTH SORT______	   0.000021	   0.000939	   0.000504	   0.000570	   0.000733	   0.000160	   0.000575	    186.32 % .!!!!.
200 16  _RANDOM SORT______	   0.000021	   0.001043	   0.000521	   0.000594	   0.000777	   0.000162	   0.000574	    200.25 % .!!!!!.
200 16  PLATEAU SORT______	   0.000021	   0.000302	   0.000208	   0.000205	   0.000283	   0.000159	   0.000623	    144.70 % .!!!.
200 16  SHUFFLE SORT______	   0.000027	   0.000713	   0.000405	   0.000439	   0.000556	   0.000153	   0.000569	    176.27 % .!!!!.
200 16  STAGGER DITHER____	   0.000021	   0.002269	   0.001969	   0.002110	   0.001959	   0.005297	   0.002839	    115.28 % .!!.
200 16  SAWTOTH DITHER____	   0.000021	   0.002188	   0.001763	   0.001889	   0.001351	   0.004712	   0.002814	    124.13 % .!!!.
200 16  _RANDOM DITHER____	   0.000021	   0.002006	   0.002133	   0.001950	   0.001520	   0.004728	   0.003017	     94.05 % 
200 16  PLATEAU DITHER____	   0.000021	   0.001053	   0.000990	   0.000722	   0.000753	   0.004720	   0.002737	    106.34 % .!.
200 16  SHUFFLE DITHER____	   0.000021	   0.001248	   0.001087	   0.001082	   0.001573	   0.006051	   0.002051	    114.77 % .!!.
200 64  STAGGER IDENT_____	   0.000021	   0.001878	   0.001594	   0.001768	   0.001771	   0.004932	   0.003208	    117.79 % .!!.
200 64  SAWTOTH IDENT_____	   0.000021	   0.002368	   0.002096	   0.002196	   0.001603	   0.001179	   0.001895	    113.01 % .!!.
200 64  _RANDOM IDENT_____	   0.000021	   0.002313	   0.002507	   0.002298	   0.001980	   0.004850	   0.003041	     92.29 % 
200 64  PLATEAU IDENT_____	   0.000021	   0.001059	   0.000257	   0.000306	   0.000419	   0.000159	   0.000611	    411.24 % .!!!!!.
200 64  SHUFFLE IDENT_____	   0.000021	   0.001016	   0.000641	   0.000726	   0.000970	!  0.001526	!  0.001608	    158.38 % .!!!.
200 64  STAGGER REVERSE___	   0.000021	   0.002122	   0.002004	   0.002068	   0.001611	   0.005004	   0.002913	    105.88 % .!.
200 64  SAWTOTH REVERSE___	   0.000021	   0.002052	   0.001661	   0.001842	   0.001545	   0.001362	   0.003485	    123.57 % .!!!.
200 64  _RANDOM REVERSE___	   0.000021	   0.002304	   0.002217	   0.002417	   0.001952	   0.004868	   0.003105	    103.92 % ..
200 64  PLATEAU REVERSE___	   0.000021	   0.001105	   0.000462	   0.000542	   0.000605	   0.000231	   0.001184	    239.17 % .!!!!!.
200 64  SHUFFLE REVERSE___	   0.000021	   0.001354	   0.000957	   0.001101	   0.001120	!  0.001515	   0.003290	    141.47 % .!!!.
200 64  STAGGER REVERSE_FR	   0.000021	   0.002127	   0.002063	   0.002022	   0.001640	   0.005002	   0.003130	    103.09 % ..
200 64  SAWTOTH REVERSE_FR	   0.000021	   0.002058	   0.002059	   0.002033	   0.001724	   0.001652	   0.002791	     99.97 % 
200 64  _RANDOM REVERSE_FR	   0.000021	   0.002234	   0.002160	   0.002251	   0.001828	   0.004846	   0.003087	    103.46 % ..
200 64  PLATEAU REVERSE_FR	   0.000021	   0.000976	   0.000806	   0.000737	   0.000747	   0.000218	   0.001179	    121.08 % .!!!.
200 64  SHUFFLE REVERSE_FR	   0.000021	   0.001188	   0.001192	   0.001172	   0.001687	!  0.001877	   0.002540	     99.63 % 
200 64  STAGGER REVERSE_BA	   0.000021	   0.002144	   0.001933	   0.002018	   0.001933	   0.004924	   0.002997	    110.88 % .!!.
200 64  SAWTOTH REVERSE_BA	   0.000021	   0.001897	   0.001560	   0.001772	   0.001602	   0.001689	   0.002618	    121.61 % .!!!.
200 64  _RANDOM REVERSE_BA	   0.000021	   0.002293	   0.002307	   0.002206	   0.002017	   0.004855	   0.003043	     99.37 % 
200 64  PLATEAU REVERSE_BA	   0.000021	   0.001059	   0.000262	   0.000308	   0.000416	   0.000161	   0.000607	    403.88 % .!!!!!.
200 64  SHUFFLE REVERSE_BA	   0.000021	   0.001476	   0.001122	   0.001510	   0.001058	   0.001851	   0.002541	    131.56 % .!!!.
200 64  STAGGER SORT______	   0.000021	   0.000821	   0.000411	   0.000472	   0.000594	   0.000160	   0.000575	    199.99 % .!!!!.
200 64  SAWTOTH SORT______	   0.000021	   0.000708	   0.000416	   0.000443	   0.000575	   0.000160	   0.000574	    170.25 % .!!!!.
200 64  _RANDOM SORT______	   0.000026	   0.000831	   0.000408	   0.000468	   0.000582	   0.000156	   0.000570	    203.72 % .!!!!!.
200 64  PLATEAU SORT______	   0.000021	   0.001055	   0.000260	   0.000304	   0.000422	   0.000160	   0.000612	    405.52 % .!!!!!.
200 64  SHUFFLE SORT______	   0.000021	   0.000719	   0.000413	   0.000439	   0.000566	   0.000159	   0.000572	    173.99 % .!!!!.
200 64  STAGGER DITHER____	   0.000021	   0.001927	   0.001585	   0.001758	   0.001789	   0.004919	   0.003221	    121.58 % .!!!.
200 64  SAWTOTH DITHER____	   0.000021	   0.002287	   0.002024	   0.002171	   0.001803	   0.004850	   0.002137	    112.99 % .!!.
200 64  _RANDOM DITHER____	   0.000021	   0.002345	   0.002335	   0.002278	   0.002010	   0.004858	   0.003059	    100.43 % ..
200 64  PLATEAU DITHER____	   0.000021	   0.001437	   0.000991	$   0.001096	   0.000814	   0.004826	   0.002488	    145.01 % .!!!.
200 64  SHUFFLE DITHER____	   0.000021	   0.001062	   0.000729	   0.000804	   0.001113	   0.006022	   0.001866	    145.68 % .!!!.
200 256  STAGGER IDENT_____	   0.000021	   0.002531	   0.002490	   0.002404	   0.001810	   0.005216	   0.003048	    101.65 % ..
200 256  SAWTOTH IDENT_____	   0.000021	   0.000721	   0.000412	   0.000446	   0.000562	   0.000161	   0.000573	    175.01 % .!!!!.
200 256  _RANDOM IDENT_____	   0.000021	   0.002407	   0.002468	   0.002378	   0.002012	   0.005205	   0.003076	     97.51 % 
200 256  PLATEAU IDENT_____	   0.000021	   0.000721	   0.000413	   0.000440	   0.000564	   0.000161	   0.000572	    174.77 % .!!!!.
200 256  SHUFFLE IDENT_____	   0.000021	   0.000843	   0.000510	   0.000551	   0.000719	!  0.000779	!  0.001013	    165.42 % .!!!!.
200 256  STAGGER REVERSE___	   0.000021	   0.002330	   0.002038	   0.002151	   0.001753	   0.005349	   0.003005	    114.32 % .!!.
200 256  SAWTOTH REVERSE___	   0.000023	   0.001265	   0.000855	   0.000993	   0.000920	   0.000288	   0.002362	    148.03 % .!!!.
200 256  _RANDOM REVERSE___	   0.000021	   0.002243	   0.002188	   0.002363	   0.002000	   0.005189	   0.003108	    102.50 % ..
200 256  PLATEAU REVERSE___	   0.000021	   0.001264	   0.000857	   0.000999	   0.000921	   0.000287	   0.002343	    147.50 % .!!!.
200 256  SHUFFLE REVERSE___	   0.000021	   0.001306	   0.000902	   0.001045	   0.001015	!  0.000924	   0.002785	    144.77 % .!!!.
