
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2%.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 801 with reps: 17

1000 256  STAGGER REVERSE_BA	   0.000085	   0.014012	   0.013448	   0.017850	   0.017107	    104.19 % ..
1000 256  SAWTOTH REVERSE_BA	   0.000086	   0.009668	   0.013021	   0.013266	   0.009614	     74.26 % 
1000 256  _RANDOM REVERSE_BA	   0.000085	   0.019391	$   0.018535	   0.022008	   0.013941	    104.62 % ..
1000 256  PLATEAU REVERSE_BA	   0.000085	   0.000576	   0.001829	   0.001491	   0.000444	     31.52 % 
1000 256  SHUFFLE REVERSE_BA	   0.000060	   0.008856	   0.006285	   0.006809	   0.008626	    140.92 % .!!!.
1000 256  STAGGER SORT______	   0.000060	   0.000605	   0.003082	   0.003441	   0.000470	     19.64 % 
1000 256  SAWTOTH SORT______	   0.000060	   0.000602	   0.003138	   0.003463	   0.000473	     19.18 % 
1000 256  _RANDOM SORT______	   0.000060	   0.000604	   0.003204	   0.003551	   0.000466	     18.86 % 
1000 256  PLATEAU SORT______	   0.000060	   0.000605	   0.001853	   0.001516	   0.000469	     32.67 % 
1000 256  SHUFFLE SORT______	   0.000060	   0.000605	   0.003105	   0.003445	   0.000470	     19.49 % 
1000 256  STAGGER DITHER____	   0.000060	   0.014713	   0.013129	   0.019446	   0.016990	    112.07 % .!!.
1000 256  SAWTOTH DITHER____	   0.000060	   0.012164	   0.013962	   0.014509	   0.013832	     87.12 % 
1000 256  _RANDOM DITHER____	   0.000060	   0.019739	   0.016950	   0.022422	   0.014006	    116.45 % .!!.
1000 256  PLATEAU DITHER____	   0.000060	   0.005431	   0.004567	   0.004158	   0.013915	    118.93 % .!!.
1000 256  SHUFFLE DITHER____	   0.000060	   0.007308	   0.004888	   0.005166	   0.020246	    149.52 % .!!!.
1000 1024  STAGGER IDENT_____	   0.000060	   0.015092	   0.012665	   0.013517	   0.015334	    119.16 % .!!.
1000 1024  SAWTOTH IDENT_____	   0.000060	   0.000602	   0.003099	   0.003453	   0.000472	     19.43 % 
1000 1024  _RANDOM IDENT_____	   0.000060	   0.020245	$   0.017159	   0.023033	   0.016557	    117.98 % .!!.
1000 1024  PLATEAU IDENT_____	   0.000060	   0.000602	   0.003079	   0.003438	   0.000471	     19.54 % 
1000 1024  SHUFFLE IDENT_____	   0.000060	!  0.004336	   0.003665	   0.003995	!  0.004226	    118.31 % .!!.
1000 1024  STAGGER REVERSE___	   0.000060	   0.015933	   0.012412	   0.013402	   0.015744	    128.36 % .!!!.
1000 1024  SAWTOTH REVERSE___	   0.000060	   0.001296	   0.004960	   0.005466	   0.001125	     26.13 % 
1000 1024  _RANDOM REVERSE___	   0.000060	   0.020399	   0.017777	   0.023726	   0.016553	    114.75 % .!!.
1000 1024  PLATEAU REVERSE___	   0.000060	   0.001295	   0.004946	   0.005482	   0.001125	     26.18 % 
1000 1024  SHUFFLE REVERSE___	   0.000060	!  0.004698	   0.005463	   0.005861	!  0.004333	     86.01 % 
1000 1024  STAGGER REVERSE_FR	   0.000060	   0.015779	   0.011564	   0.012129	   0.015781	    136.45 % .!!!.
1000 1024  SAWTOTH REVERSE_FR	   0.000060	   0.000972	   0.005945	   0.006419	   0.003435	     16.35 % 
1000 1024  _RANDOM REVERSE_FR	   0.000060	   0.020048	   0.017167	   0.022687	   0.016555	    116.78 % .!!.
1000 1024  PLATEAU REVERSE_FR	   0.000060	   0.000972	   0.005949	   0.006425	   0.003419	     16.33 % 
1000 1024  SHUFFLE REVERSE_FR	   0.000060	!  0.004776	   0.006172	   0.006703	!  0.005709	     77.37 % 
1000 1024  STAGGER REVERSE_BA	   0.000060	   0.015737	   0.010241	   0.011698	   0.015439	    153.67 % .!!!.
1000 1024  SAWTOTH REVERSE_BA	   0.000060	   0.004175	   0.005671	   0.006153	   0.003820	     73.63 % 
1000 1024  _RANDOM REVERSE_BA	   0.000060	   0.020684	   0.017010	   0.023632	   0.016537	    121.60 % .!!!.
1000 1024  PLATEAU REVERSE_BA	   0.000060	   0.004137	   0.005680	   0.006110	   0.003849	     72.84 % 
1000 1024  SHUFFLE REVERSE_BA	   0.000060	   0.005956	   0.005983	   0.006519	   0.005820	     99.55 % 
1000 1024  STAGGER SORT______	   0.000060	   0.000604	   0.004170	   0.004246	   0.000465	     14.48 % 
1000 1024  SAWTOTH SORT______	   0.000060	   0.000603	   0.003087	   0.003450	   0.000470	     19.52 % 
1000 1024  _RANDOM SORT______	   0.000060	   0.000601	   0.003164	   0.003446	   0.000468	     19.01 % 
1000 1024  PLATEAU SORT______	   0.000060	   0.000605	   0.003086	   0.003455	   0.000470	     19.60 % 
1000 1024  SHUFFLE SORT______	   0.000060	   0.000600	   0.003085	   0.003426	   0.000470	     19.44 % 
1000 1024  STAGGER DITHER____	   0.000060	   0.015111	   0.012662	   0.013456	   0.015449	    119.35 % .!!.
1000 1024  SAWTOTH DITHER____	   0.000060	   0.007246	   0.005007	   0.005034	   0.016141	    144.72 % .!!!.
1000 1024  _RANDOM DITHER____	   0.000060	   0.020824	   0.018108	   0.024097	   0.016581	    115.00 % .!!.
1000 1024  PLATEAU DITHER____	   0.000060	   0.007260	   0.005038	   0.005068	   0.016144	    144.12 % .!!!.
1000 1024  SHUFFLE DITHER____	   0.000060	   0.006695	   0.004481	   0.004736	   0.019671	    149.41 % .!!!.
lreps: 21 with reps: 8

2000 1  STAGGER IDENT_____	   0.000119	   0.007540	   0.035336	   0.041160	   0.007087	     21.34 % 
2000 1  SAWTOTH IDENT_____	   0.000119	   0.000804	   0.002439	   0.002068	   0.000896	     32.96 % 
2000 1  _RANDOM IDENT_____	   0.000119	   0.000802	   0.002437	   0.002072	   0.000948	     32.92 % 
2000 1  PLATEAU IDENT_____	   0.000119	   0.001209	   0.002459	   0.002076	   0.000889	     49.17 % 
2000 1  SHUFFLE IDENT_____	   0.000119	   0.001202	   0.006905	   0.008586	   0.000893	     17.41 % 
2000 1  STAGGER REVERSE___	   0.000119	   0.009075	   0.029616	   0.034944	   0.008490	     30.64 % 
2000 1  SAWTOTH REVERSE___	   0.000119	   0.000806	   0.002462	   0.002068	   0.000948	     32.76 % 
2000 1  _RANDOM REVERSE___	   0.000119	   0.000804	   0.002452	   0.002068	   0.000922	     32.80 % 
2000 1  PLATEAU REVERSE___	   0.000119	   0.002313	   0.002432	   0.002071	   0.000669	     95.07 % 
2000 1  SHUFFLE REVERSE___	   0.000119	   0.002649	   0.010223	   0.012423	   0.002223	     25.91 % 
2000 1  STAGGER REVERSE_FR	   0.000119	   0.008251	   0.033825	   0.038702	   0.007756	     24.39 % 
2000 1  SAWTOTH REVERSE_FR	   0.000118	   0.000805	   0.002441	   0.002070	   0.000937	     33.00 % 
2000 1  _RANDOM REVERSE_FR	   0.000119	   0.000804	   0.002436	   0.002070	   0.000913	     33.00 % 
2000 1  PLATEAU REVERSE_FR	   0.000119	   0.007091	   0.002468	   0.002077	   0.000688	    287.30 % .!!!!!.
2000 1  SHUFFLE REVERSE_FR	   0.000119	   0.001936	   0.013378	   0.015058	   0.007019	     14.47 % 
2000 1  STAGGER REVERSE_BA	   0.000119	   0.008314	   0.034190	   0.038050	   0.007837	     24.32 % 
2000 1  SAWTOTH REVERSE_BA	   0.000119	   0.000805	   0.002443	   0.002071	   0.000894	     32.95 % 
2000 1  _RANDOM REVERSE_BA	   0.000120	   0.000803	   0.002457	   0.002073	   0.000878	     32.70 % 
2000 1  PLATEAU REVERSE_BA	   0.000122	   0.001199	   0.002448	   0.002075	   0.000887	     49.00 % 
2000 1  SHUFFLE REVERSE_BA	   0.000119	   0.008350	   0.012392	   0.014280	   0.007800	     67.39 % 
2000 1  STAGGER SORT______	   0.000120	   0.001207	   0.007024	   0.008754	   0.000888	     17.18 % 
2000 1  SAWTOTH SORT______	   0.000119	   0.000805	   0.002437	   0.002071	   0.000898	     33.04 % 
2000 1  _RANDOM SORT______	   0.000119	   0.000806	   0.002446	   0.002072	   0.000908	     32.95 % 
2000 1  PLATEAU SORT______	   0.000119	   0.001207	   0.002468	   0.002079	   0.000891	     48.89 % 
2000 1  SHUFFLE SORT______	   0.000119	   0.001198	   0.006950	   0.008626	   0.000888	     17.24 % 
2000 1  STAGGER DITHER____	   0.000119	   0.023456	$   0.036023	   0.041499	   0.032712	     65.11 % 
2000 1  SAWTOTH DITHER____	   0.000119	   0.007334	   0.005999	   0.006519	   0.024114	    122.26 % .!!!.
2000 1  _RANDOM DITHER____	   0.000119	   0.007342	   0.006081	   0.006536	   0.024107	    120.74 % .!!!.
2000 1  PLATEAU DITHER____	   0.000119	   0.007327	   0.005972	   0.006529	   0.024043	    122.68 % .!!!.
2000 1  SHUFFLE DITHER____	   0.000119	   0.013621	   0.009057	   0.010323	   0.032274	    150.40 % .!!!.
2000 4  STAGGER IDENT_____	   0.000119	   0.017311	   0.032605	   0.041365	   0.017255	     53.09 % 
2000 4  SAWTOTH IDENT_____	   0.000119	   0.007530	   0.005109	   0.005605	   0.024068	    147.40 % .!!!.
2000 4  _RANDOM IDENT_____	   0.000119	!  0.011125	!  0.007915	   0.005934	   0.024344	    140.56 % .!!!.
2000 4  PLATEAU IDENT_____	   0.000119	   0.001204	   0.002460	   0.002085	   0.000890	     48.96 % 
2000 4  SHUFFLE IDENT_____	   0.000119	   0.036316	   0.026965	   0.034245	   0.039583	    134.68 % .!!!.
2000 4  STAGGER REVERSE___	   0.000119	   0.018819	   0.035576	   0.044117	   0.018553	     52.90 % 
2000 4  SAWTOTH REVERSE___	   0.000119	   0.007777	   0.005142	   0.005851	   0.024191	    151.26 % .!!!.
2000 4  _RANDOM REVERSE___	   0.000119	!  0.011673	!  0.008783	   0.006428	   0.024289	    132.91 % .!!!.
2000 4  PLATEAU REVERSE___	   0.000119	   0.002317	   0.002465	   0.002078	   0.000676	     94.01 % 
2000 4  SHUFFLE REVERSE___	   0.000119	   0.035822	   0.031074	   0.038128	   0.040944	    115.28 % .!!.
2000 4  STAGGER REVERSE_FR	   0.000119	   0.017923	   0.032730	   0.040964	   0.017742	     54.76 % 
2000 4  SAWTOTH REVERSE_FR	   0.000119	   0.006744	   0.005074	   0.005630	   0.024192	    132.92 % .!!!.
2000 4  _RANDOM REVERSE_FR	   0.000119	   0.008422	!  0.008611	   0.006414	   0.024336	     97.80 % 
2000 4  PLATEAU REVERSE_FR	   0.000119	   0.007079	   0.002486	   0.002114	   0.000699	    284.76 % .!!!!!.
2000 4  SHUFFLE REVERSE_FR	   0.000119	   0.041924	   0.026458	   0.033149	   0.040097	    158.46 % .!!!.
2000 4  STAGGER REVERSE_BA	   0.000119	   0.018588	$   0.033165	   0.036784	   0.018404	     56.05 % 
2000 4  SAWTOTH REVERSE_BA	   0.000119	   0.006323	   0.005249	   0.005877	   0.024046	    120.46 % .!!!.
2000 4  _RANDOM REVERSE_BA	   0.000119	!  0.011536	   0.007497	   0.005705	   0.024330	    153.88 % .!!!.
2000 4  PLATEAU REVERSE_BA	   0.000119	   0.001208	   0.002474	   0.002081	   0.000891	     48.84 % 
2000 4  SHUFFLE REVERSE_BA	   0.000122	   0.035336	   0.040000	   0.054906	   0.040255	     88.34 % 
2000 4  STAGGER SORT______	   0.000120	   0.001194	   0.006956	   0.008728	   0.000879	     17.16 % 
2000 4  SAWTOTH SORT______	   0.000119	   0.001115	   0.005614	   0.005423	   0.000827	     19.86 % 
2000 4  _RANDOM SORT______	   0.000122	   0.001111	   0.005421	   0.004855	   0.000824	     20.49 % 
2000 4  PLATEAU SORT______	   0.000119	   0.001204	   0.002464	   0.002079	   0.000889	     48.87 % 
2000 4  SHUFFLE SORT______	   0.000120	   0.001203	   0.006914	   0.008582	   0.000889	     17.39 % 
2000 4  STAGGER DITHER____	   0.000119	   0.017362	   0.032328	   0.041264	   0.017242	     53.71 % 
2000 4  SAWTOTH DITHER____	   0.000119	   0.010403	   0.006802	   0.007460	   0.024064	    152.94 % .!!!.
2000 4  _RANDOM DITHER____	   0.000119	   0.011449	   0.008372	   0.009638	   0.024205	    136.76 % .!!!.
2000 4  PLATEAU DITHER____	   0.000119	   0.007389	   0.005650	   0.006447	   0.024056	    130.78 % .!!!.
2000 4  SHUFFLE DITHER____	   0.000122	   0.040987	   0.030774	   0.038420	   0.043050	    133.19 % .!!!.
2000 16  STAGGER IDENT_____	   0.000119	   0.029564	   0.041507	   0.052484	   0.034978	     71.23 % 
2000 16  SAWTOTH IDENT_____	   0.000119	   0.014920	   0.013150	   0.014537	   0.024271	    113.46 % .!!.
2000 16  _RANDOM IDENT_____	   0.000119	   0.020118	   0.016438	   0.018306	   0.024332	    122.39 % .!!!.
2000 16  PLATEAU IDENT_____	   0.000119	   0.001202	   0.002486	   0.002108	   0.000895	     48.35 % 
2000 16  SHUFFLE IDENT_____	   0.000119	   0.023776	   0.016319	   0.017593	   0.040263	    145.70 % .!!!.
2000 16  STAGGER REVERSE___	   0.000119	   0.031039	   0.042358	   0.054772	   0.036197	     73.28 % 
2000 16  SAWTOTH REVERSE___	   0.000119	   0.013882	   0.013029	   0.012263	   0.024471	    106.55 % .!.
2000 16  _RANDOM REVERSE___	   0.000119	   0.018587	   0.017555	   0.021824	   0.024328	    105.88 % .!.
2000 16  PLATEAU REVERSE___	   0.000119	   0.002328	   0.002536	   0.002143	   0.000694	     91.81 % 
2000 16  SHUFFLE REVERSE___	   0.000119	   0.024710	   0.020676	   0.023220	   0.041168	    119.51 % .!!.
2000 16  STAGGER REVERSE_FR	   0.000119	   0.030188	   0.043437	   0.056243	   0.035599	     69.50 % 
2000 16  SAWTOTH REVERSE_FR	   0.000119	   0.013329	   0.017357	   0.016225	   0.024482	     76.79 % 
2000 16  _RANDOM REVERSE_FR	   0.000119	   0.019324	   0.013821	   0.017975	   0.024295	    139.81 % .!!!.
2000 16  PLATEAU REVERSE_FR	   0.000119	   0.007118	   0.002512	   0.002166	   0.000712	    283.37 % .!!!!!.
2000 16  SHUFFLE REVERSE_FR	   0.000119	   0.027446	   0.017764	   0.019017	   0.040729	    154.50 % .!!!.
2000 16  STAGGER REVERSE_BA	   0.000121	   0.030599	   0.043544	   0.055313	   0.035205	     70.27 % 
2000 16  SAWTOTH REVERSE_BA	   0.000119	   0.012726	   0.010862	   0.011836	   0.024237	    117.16 % .!!.
2000 16  _RANDOM REVERSE_BA	   0.000119	   0.018995	   0.013825	   0.018144	   0.024352	    137.40 % .!!!.
2000 16  PLATEAU REVERSE_BA	   0.000119	   0.001210	   0.002485	   0.002107	   0.000888	     48.69 % 
2000 16  SHUFFLE REVERSE_BA	   0.000120	   0.022064	   0.021327	   0.023284	   0.040642	    103.46 % ..
2000 16  STAGGER SORT______	   0.000120	   0.001199	   0.006933	   0.008566	   0.000891	     17.29 % 
2000 16  SAWTOTH SORT______	   0.000120	   0.001181	   0.010476	   0.009328	   0.000878	     11.27 % 
2000 16  _RANDOM SORT______	   0.000120	   0.001187	   0.009665	   0.008824	   0.000883	     12.28 % 
2000 16  PLATEAU SORT______	   0.000119	   0.001206	   0.002484	   0.002107	   0.000891	     48.55 % 
2000 16  SHUFFLE SORT______	   0.000121	   0.001203	   0.006904	   0.008619	   0.000888	     17.43 % 
2000 16  STAGGER DITHER____	   0.000119	   0.030664	   0.042069	   0.055157	   0.034814	     72.89 % 
2000 16  SAWTOTH DITHER____	   0.000119	   0.015783	   0.017143	   0.019939	   0.024167	     92.07 % 
2000 16  _RANDOM DITHER____	   0.000119	   0.022012	   0.017207	   0.022327	   0.024318	    127.92 % .!!!.
2000 16  PLATEAU DITHER____	   0.000119	   0.007359	   0.006328	   0.006590	   0.024120	    116.30 % .!!.
2000 16  SHUFFLE DITHER____	   0.000120	   0.025960	   0.017351	   0.018989	   0.040478	    149.62 % .!!!.
2000 64  STAGGER IDENT_____	   0.000119	   0.043673	   0.055409	   0.067575	   0.030834	     78.82 % 
2000 64  SAWTOTH IDENT_____	   0.000119	   0.031292	   0.023258	   0.026668	   0.024516	    134.54 % .!!!.
2000 64  _RANDOM IDENT_____	   0.000119	   0.040787	   0.046607	   0.053650	   0.024370	     87.51 % 
2000 64  PLATEAU IDENT_____	   0.000119	   0.001204	   0.002620	   0.002145	   0.000888	     45.96 % 
2000 64  SHUFFLE IDENT_____	   0.000119	   0.029802	   0.011999	   0.013928	   0.040647	    248.36 % .!!!!!.
2000 64  STAGGER REVERSE___	   0.000119	   0.045512	   0.053100	   0.066235	   0.031199	     85.71 % 
2000 64  SAWTOTH REVERSE___	   0.000119	   0.032844	   0.025730	   0.030352	   0.025251	    127.65 % .!!!.
2000 64  _RANDOM REVERSE___	   0.000119	   0.041015	$   0.048300	   0.050828	   0.024434	     84.92 % 
2000 64  PLATEAU REVERSE___	   0.000119	   0.002330	   0.002729	   0.002342	   0.000760	     85.40 % 
2000 64  SHUFFLE REVERSE___	   0.000119	   0.029185	   0.015066	   0.016590	   0.041895	    193.72 % .!!!!.
2000 64  STAGGER REVERSE_FR	   0.000119	   0.045748	   0.057136	   0.067957	   0.030930	     80.07 % 
2000 64  SAWTOTH REVERSE_FR	   0.000119	   0.036078	   0.028641	   0.031839	   0.025262	    125.96 % .!!!.
2000 64  _RANDOM REVERSE_FR	   0.000119	   0.041191	   0.044888	   0.052556	   0.024406	     91.76 % 
2000 64  PLATEAU REVERSE_FR	   0.000119	   0.007123	   0.002633	   0.002281	   0.000772	    270.49 % .!!!!!.
2000 64  SHUFFLE REVERSE_FR	   0.000119	   0.030974	   0.015748	   0.018006	   0.041375	    196.69 % .!!!!.
2000 64  STAGGER REVERSE_BA	   0.000119	   0.045633	   0.053926	   0.070911	   0.030609	     84.62 % 
2000 64  SAWTOTH REVERSE_BA	   0.000119	   0.037590	   0.027489	   0.029996	   0.024512	    136.74 % .!!!.
2000 64  _RANDOM REVERSE_BA	   0.000119	   0.040865	   0.046577	   0.054323	   0.024410	     87.74 % 
2000 64  PLATEAU REVERSE_BA	   0.000119	   0.001204	   0.002631	   0.002148	   0.000891	     45.75 % 
2000 64  SHUFFLE REVERSE_BA	   0.000119	   0.031051	   0.016403	   0.017971	   0.040638	    189.30 % .!!!!.
2000 64  STAGGER SORT______	   0.000120	   0.001200	   0.006992	   0.008795	   0.000893	     17.16 % 
2000 64  SAWTOTH SORT______	   0.000121	   0.001203	   0.009488	   0.009871	   0.000901	     12.68 % 
2000 64  _RANDOM SORT______	   0.000120	   0.001218	   0.009907	   0.010166	   0.000890	     12.30 % 
2000 64  PLATEAU SORT______	   0.000119	   0.001205	   0.002630	   0.002149	   0.000891	     45.80 % 
2000 64  SHUFFLE SORT______	   0.000123	   0.001200	   0.006916	   0.008578	   0.000887	     17.35 % 
2000 64  STAGGER DITHER____	   0.000119	   0.044341	   0.055415	   0.067632	   0.030797	     80.02 % 
2000 64  SAWTOTH DITHER____	   0.000119	   0.022570	   0.034344	   0.040239	   0.024197	     65.72 % 
2000 64  _RANDOM DITHER____	   0.000119	   0.042068	   0.046290	   0.052233	   0.024379	     90.88 % 
2000 64  PLATEAU DITHER____	   0.000119	   0.008034	   0.006130	   0.006620	   0.024268	    131.06 % .!!!.
2000 64  SHUFFLE DITHER____	   0.000120	   0.019211	   0.013428	   0.015301	   0.039627	    143.07 % .!!!.
2000 256  STAGGER IDENT_____	   0.000119	   0.072853	   0.059374	   0.072293	   0.033372	    122.70 % .!!!.
2000 256  SAWTOTH IDENT_____	   0.000119	   0.019153	   0.032657	   0.040255	   0.019122	     58.65 % 
2000 256  _RANDOM IDENT_____	   0.000120	   0.080747	$   0.062639	   0.079208	   0.024890	    128.91 % .!!!.
2000 256  PLATEAU IDENT_____	   0.000119	   0.001203	   0.003155	   0.002587	   0.000889	     38.12 % 
2000 256  SHUFFLE IDENT_____	   0.000119	   0.021885	   0.009835	   0.012076	   0.022213	    222.53 % .!!!!!.
2000 256  STAGGER REVERSE___	   0.000119	   0.071764	   0.056332	   0.070353	   0.033845	    127.40 % .!!!.
2000 256  SAWTOTH REVERSE___	   0.000119	   0.020737	$   0.034766	   0.041754	   0.020476	     59.65 % 
2000 256  _RANDOM REVERSE___	   0.000119	   0.080043	   0.062394	   0.078413	   0.024922	    128.29 % .!!!.
2000 256  PLATEAU REVERSE___	   0.000119	   0.002360	   0.003635	   0.003411	   0.001033	     64.92 % 
2000 256  SHUFFLE REVERSE___	   0.000119	   0.020920	   0.013003	   0.015044	   0.021017	    160.88 % .!!!!.
2000 256  STAGGER REVERSE_FR	   0.000119	   0.074694	   0.058453	   0.073318	   0.033659	    127.78 % .!!!.
2000 256  SAWTOTH REVERSE_FR	   0.000119	   0.023589	   0.038563	   0.045098	   0.023774	     61.17 % 
2000 256  _RANDOM REVERSE_FR	   0.000119	   0.080103	   0.064193	   0.080600	   0.024861	    124.78 % .!!!.
2000 256  PLATEAU REVERSE_FR	   0.000119	   0.007157	   0.005716	   0.006102	   0.001059	    125.22 % .!!!.
2000 256  SHUFFLE REVERSE_FR	   0.000119	   0.022961	   0.014390	   0.016431	   0.022217	    159.56 % .!!!.
2000 256  STAGGER REVERSE_BA	   0.000119	   0.074712	   0.058534	   0.075080	   0.033587	    127.64 % .!!!.
2000 256  SAWTOTH REVERSE_BA	   0.000119	   0.025256	   0.034451	   0.041751	   0.025419	     73.31 % 
2000 256  _RANDOM REVERSE_BA	   0.000119	   0.080340	   0.062157	   0.077455	   0.024925	    129.25 % .!!!.
2000 256  PLATEAU REVERSE_BA	   0.000119	   0.001205	   0.003151	   0.002600	   0.000888	     38.24 % 
2000 256  SHUFFLE REVERSE_BA	   0.000119	   0.022660	   0.013565	   0.015570	   0.022819	    167.05 % .!!!!.
2000 256  STAGGER SORT______	   0.000120	   0.001211	   0.006951	   0.008592	   0.000891	     17.43 % 
2000 256  SAWTOTH SORT______	   0.000121	   0.001206	   0.007170	   0.009244	   0.000885	     16.82 % 
2000 256  _RANDOM SORT______	   0.000121	   0.001212	   0.007513	   0.008836	   0.000882	     16.13 % 
2000 256  PLATEAU SORT______	   0.000119	   0.001209	   0.003148	   0.002583	   0.000888	     38.42 % 
2000 256  SHUFFLE SORT______	   0.000120	   0.001208	   0.006896	   0.008544	   0.000892	     17.52 % 
2000 256  STAGGER DITHER____	   0.000119	   0.073180	   0.058425	   0.071575	   0.033505	    125.26 % .!!!.
2000 256  SAWTOTH DITHER____	   0.000119	   0.046300	   0.040661	   0.047467	   0.024861	    113.87 % .!!.
2000 256  _RANDOM DITHER____	   0.000119	   0.080277	   0.060964	   0.076433	   0.025189	    131.68 % .!!!.
2000 256  PLATEAU DITHER____	   0.000119	   0.008954	   0.007148	   0.007172	   0.024851	    125.27 % .!!!.
2000 256  SHUFFLE DITHER____	   0.000119	   0.017564	   0.011103	   0.013205	   0.039068	    158.19 % .!!!.
2000 1024  STAGGER IDENT_____	   0.000119	   0.029279	   0.043056	   0.050514	   0.029931	     68.00 % 
2000 1024  SAWTOTH IDENT_____	   0.000119	   0.007570	   0.034041	   0.038384	   0.007095	     22.24 % 
2000 1024  _RANDOM IDENT_____	   0.000119	   0.088296	   0.063791	   0.082429	   0.028287	    138.41 % .!!!.
2000 1024  PLATEAU IDENT_____	   0.000119	   0.001205	   0.007424	   0.007363	   0.000890	     16.23 % 
2000 1024  SHUFFLE IDENT_____	   0.000119	!  0.010781	   0.008508	   0.010673	!  0.010417	    126.71 % .!!!.
2000 1024  STAGGER REVERSE___	   0.000119	   0.030960	   0.042361	   0.048184	   0.029839	     73.09 % 
2000 1024  SAWTOTH REVERSE___	   0.000119	   0.009078	   0.036498	   0.043730	   0.008441	     24.87 % 
2000 1024  _RANDOM REVERSE___	   0.000119	   0.088160	   0.063994	   0.081968	   0.028896	    137.76 % .!!!.
2000 1024  PLATEAU REVERSE___	   0.000119	   0.002494	   0.009360	   0.010182	   0.002069	     26.65 % 
2000 1024  SHUFFLE REVERSE___	   0.000119	!  0.011524	   0.011536	   0.013836	!  0.011080	     99.89 % 
2000 1024  STAGGER REVERSE_FR	   0.000119	   0.027851	   0.045994	   0.052238	   0.029834	     60.55 % 
2000 1024  SAWTOTH REVERSE_FR	   0.000119	   0.008236	   0.033757	   0.039138	   0.011110	     24.40 % 
2000 1024  _RANDOM REVERSE_FR	   0.000119	   0.088169	   0.063566	   0.081825	   0.029148	    138.70 % .!!!.
2000 1024  PLATEAU REVERSE_FR	   0.000119	   0.001935	   0.013040	   0.013493	   0.007039	     14.84 % 
2000 1024  SHUFFLE REVERSE_FR	   0.000119	!  0.011636	   0.013872	   0.015865	!  0.015011	     83.88 % 
2000 1024  STAGGER REVERSE_BA	   0.000119	   0.029034	   0.039591	   0.048876	   0.029439	     73.33 % 
2000 1024  SAWTOTH REVERSE_BA	   0.000119	   0.008351	   0.033085	   0.037695	   0.013487	     25.24 % 
2000 1024  _RANDOM REVERSE_BA	   0.000119	   0.088584	   0.063752	   0.082843	   0.029217	    138.95 % .!!!.
2000 1024  PLATEAU REVERSE_BA	   0.000119	   0.006469	   0.007364	   0.007397	   0.006164	     87.84 % 
2000 1024  SHUFFLE REVERSE_BA	   0.000119	!  0.014473	   0.012851	   0.014874	!  0.014182	    112.62 % .!!.
2000 1024  STAGGER SORT______	   0.000120	   0.001209	   0.009763	   0.009989	   0.000881	     12.38 % 
2000 1024  SAWTOTH SORT______	   0.000120	   0.001208	   0.007021	   0.008697	   0.000882	     17.21 % 
2000 1024  _RANDOM SORT______	   0.000120	   0.001202	   0.007160	   0.008873	   0.000887	     16.78 % 
2000 1024  PLATEAU SORT______	   0.000119	   0.001205	   0.007418	   0.007292	   0.000896	     16.24 % 
2000 1024  SHUFFLE SORT______	   0.000120	   0.001199	   0.006878	   0.008545	   0.000889	     17.43 % 
2000 1024  STAGGER DITHER____	   0.000119	   0.029226	   0.042927	   0.050540	   0.030146	     68.08 % 
2000 1024  SAWTOTH DITHER____	   0.000119	   0.026844	   0.036426	   0.044015	   0.028553	     73.70 % 
2000 1024  _RANDOM DITHER____	   0.000119	   0.088911	   0.063465	   0.082004	   0.029212	    140.09 % .!!!.
2000 1024  PLATEAU DITHER____	   0.000119	   0.011916	   0.010005	   0.010684	   0.027291	    119.10 % .!!.
2000 1024  SHUFFLE DITHER____	   0.000119	   0.014963	   0.009967	   0.011890	   0.038225	    150.12 % .!!!.
lreps: 9 with reps: 7

5000 1  STAGGER IDENT_____	   0.000769	   0.019920	   0.012231	   0.014076	   0.018421	    162.87 % .!!!!.
5000 1  SAWTOTH IDENT_____	   0.000728	   0.002071	   0.001747	   0.001609	   0.002221	    118.56 % .!!.
5000 1  _RANDOM IDENT_____	   0.000717	   0.002091	   0.001752	   0.001691	   0.002243	    119.35 % .!!.
5000 1  PLATEAU IDENT_____	   0.000718	   0.003183	   0.003209	   0.003807	   0.002321	     99.19 % 
5000 1  SHUFFLE IDENT_____	   0.000733	   0.003172	   0.003181	   0.003863	   0.002295	     99.74 % 
5000 1  STAGGER REVERSE___	   0.000746	   0.023844	   0.015226	   0.017678	   0.021983	    156.60 % .!!!.
5000 1  SAWTOTH REVERSE___	   0.000754	   0.002038	   0.001637	   0.001600	   0.002174	    124.49 % .!!!.
5000 1  _RANDOM REVERSE___	   0.000723	   0.002111	   0.001653	   0.001618	   0.002248	    127.69 % .!!!.
5000 1  PLATEAU REVERSE___	   0.000721	   0.006082	   0.001717	   0.001746	   0.001657	    354.30 % .!!!!!.
