
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

CHECK_SORTED: false
USE_BOTTOM_UP: false
Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_11	RADIX	MARLIN	PEEK_SORT	DPQ_18_11_E	MARLIN_M2	[DPQ_18_11 % DPQ_18_11P]

lreps: 1 with reps: 5

1000000 16  STAGGER REVERSE___	   0.856807	  17.260011	  17.569626	  29.164734	  33.037951	  49.182063	  27.755507	  34.634803	  72.125082	     98.24 % 
1000000 16  SAWTOTH REVERSE___	!  0.785263	  21.305764	  24.375323	  18.606510	  19.138370	  98.419733	  94.797433	  32.800857	 128.193413	     87.41 % 
1000000 16  _RANDOM REVERSE___	   0.840680	  30.020923	  32.474062	  31.804473	  19.158757	 137.652182	 129.922550	  41.532102	 166.301084	     92.45 % 
1000000 16  PLATEAU REVERSE___	   0.855928	   0.641334	   0.642326	   1.746462	   0.713703	  14.819379	   7.232648	   0.645797	  30.938326	     99.85 % 
1000000 16  SHUFFLE REVERSE___	!  0.817384	  33.994834	  36.903037	  40.120938	  37.246835	  81.443561	  75.009786	  46.198975	 113.542456	     92.12 % 
1000000 16  STAGGER REVERSE_FR	   0.442841	  17.141228	  17.545666	  28.470282	  33.046557	  44.748988	  27.523181	  34.957117	  64.635708	     97.69 % 
1000000 16  SAWTOTH REVERSE_FR	   0.444965	  16.532415	  17.943746	  14.880182	  19.474488	  96.046908	  90.097814	  24.949206	 124.430647	     92.13 % 
1000000 16  _RANDOM REVERSE_FR	   0.578137	  31.271206	  33.931128	  32.519517	  19.434590	 137.929545	 130.212489	  43.096122	 166.594719	     92.16 % 
1000000 16  PLATEAU REVERSE_FR	!  0.788340	   0.717373	   0.717775	   7.017819	   0.793880	  14.942246	  10.961570	   0.725800	  31.085638	     99.94 % 
1000000 16  SHUFFLE REVERSE_FR	   0.578064	  32.993207	  36.666249	  44.530777	  38.578162	  80.058156	  74.749295	  43.554532	 110.619635	     89.98 % 
1000000 16  STAGGER REVERSE_BA	   0.442631	  17.477819	  17.753726	  28.897427	  32.902829	  44.859682	  27.218900	  34.791253	  64.714470	     98.45 % 
1000000 16  SAWTOTH REVERSE_BA	   0.442598	  17.229154	  18.628636	  19.864876	  19.477585	  96.029816	  90.044463	  26.552553	 124.416084	     92.49 % 
1000000 16  _RANDOM REVERSE_BA	   0.439650	  30.818524	  33.705087	  32.370597	  19.578158	 138.068315	 130.367637	  42.412474	 166.723834	     91.44 % 
1000000 16  PLATEAU REVERSE_BA	   0.442910	   1.211881	   1.135204	   1.294217	   1.162704	  15.272178	  10.044228	   1.174660	  31.487281	    106.75 % .!.
1000000 16  SHUFFLE REVERSE_BA	   0.439643	  35.536388	  39.484434	  42.571549	  39.402575	  80.213387	  75.862547	  49.630030	 110.782216	     90.00 % 
1000000 16  STAGGER SORT______	!  0.783310	   0.856953	   0.787611	   0.946845	   0.808120	  13.728848	   9.694966	   0.822392	  27.805019	    108.80 % .!.
1000000 16  SAWTOTH SORT______	   0.827925	   0.775537	   0.708504	   0.861733	   0.741234	  14.875222	   9.637729	   0.749968	  31.085289	    109.46 % .!.
1000000 16  _RANDOM SORT______	   0.779496	   0.824049	   0.753513	   0.908278	   0.781686	  14.916038	   9.678890	   0.788841	  31.139236	    109.36 % .!.
1000000 16  PLATEAU SORT______	   0.857874	   0.781836	   0.708388	   0.865926	   0.733366	  14.851976	   9.615069	   0.744829	  31.039658	    110.37 % .!!.
1000000 16  SHUFFLE SORT______	   0.779039	   0.839774	   0.768480	   0.924259	   0.789916	  13.710828	   9.701839	   0.805971	  27.798056	    109.28 % .!.
1000000 16  STAGGER DITHER____	   0.800784	  16.039267	  16.469983	  28.172683	  32.147049	  39.692972	  28.073411	  32.945788	  56.584212	     97.38 % 
1000000 16  SAWTOTH DITHER____	   0.801106	  11.294877	  11.473046	  24.788656	  19.090519	 104.611203	 101.462576	  17.125216	 133.362238	     98.45 % 
1000000 16  _RANDOM DITHER____	   0.846542	  32.303012	  35.629909	  33.121191	  19.148816	 140.178373	 132.295463	  44.944842	 168.874919	     90.66 % 
1000000 16  PLATEAU DITHER____	   0.845822	   5.542773	   5.756106	   6.594945	  19.122047	  92.767496	  88.517760	  11.417647	 120.074835	     96.29 % 
1000000 16  SHUFFLE DITHER____	   0.845942	  39.697662	  44.110448	  48.609269	  42.918111	  81.345648	  80.247197	  52.721220	 110.822628	     90.00 % 
1000000 256  STAGGER IDENT_____	   0.443319	  30.225607	  31.534127	 103.511069	  37.177057	  59.175451	  48.362486	  64.728157	  78.381404	     95.85 % 
1000000 256  SAWTOTH IDENT_____	   0.442719	  38.020754	  41.973039	  33.014489	  19.474376	  78.408016	  68.173002	  54.625420	 101.235814	     90.58 % 
1000000 256  _RANDOM IDENT_____	   0.456860	  60.310747	  64.496663	  62.962366	  19.473166	 167.010177	 160.803583	  80.528801	 196.898101	     93.51 % 
1000000 256  PLATEAU IDENT_____	   0.443387	   1.217199	   1.143597	   1.298728	   1.168675	  15.272324	  10.032141	   1.177140	  31.467661	    106.44 % .!.
1000000 256  SHUFFLE IDENT_____	   0.439732	  14.010536	  15.359187	  33.715593	  41.653702	  59.764276	  51.462112	  19.437496	  84.697049	     91.22 % 
1000000 256  STAGGER REVERSE___	   0.843460	  31.246494	  32.155501	 102.765122	  36.595860	  68.284070	  48.319713	  66.215284	  93.813758	     97.17 % 
1000000 256  SAWTOTH REVERSE___	   0.854255	  38.853470	  44.409488	  32.747023	  19.079539	  87.130883	  67.943073	  56.067465	 115.863700	     87.49 % 
1000000 256  _RANDOM REVERSE___	   0.854404	  60.352862	  64.520976	  62.330084	  19.065146	 166.623416	 160.428035	  81.382940	 196.561628	     93.54 % 
1000000 256  PLATEAU REVERSE___	   0.855943	   0.643960	   0.642168	   1.748986	   0.715964	  14.831904	   7.244802	   0.649042	  30.936513	    100.28 % ..
1000000 256  SHUFFLE REVERSE___	   0.856083	  26.824003	  30.684251	  27.966859	  37.036245	  65.215626	  48.961594	  40.207110	  95.377209	     87.42 % 
1000000 256  STAGGER REVERSE_FR	   0.442759	  30.860776	  31.991441	 104.078160	  37.015049	  63.900586	  48.647694	  65.738700	  86.322409	     96.47 % 
1000000 256  SAWTOTH REVERSE_FR	!  0.648996	  40.669105	  44.526253	  32.840607	  19.282129	  82.849241	  68.182278	  57.808270	 108.629386	     91.34 % 
1000000 256  _RANDOM REVERSE_FR	!  0.647741	  60.505619	  64.754062	  63.129312	  19.277061	 166.827533	 160.665126	  80.609243	 196.761851	     93.44 % 
1000000 256  PLATEAU REVERSE_FR	!  0.749530	   0.760699	   0.757678	   7.055014	   0.832673	  14.969729	  11.035192	   0.763015	  31.131921	    100.40 % ..
1000000 256  SHUFFLE REVERSE_FR	   0.577869	  25.909522	  30.662293	  32.223552	  39.073678	  62.724477	  50.501460	  33.510295	  90.348977	     84.50 % 
1000000 256  STAGGER REVERSE_BA	   0.444928	  30.990367	  32.090650	 103.358813	  37.103001	  64.030625	  48.480008	  65.688936	  86.359972	     96.57 % 
1000000 256  SAWTOTH REVERSE_BA	   0.444860	  38.795819	  43.493223	  34.141881	  19.483029	  83.042385	  68.403439	  55.701660	 108.808875	     89.20 % 
1000000 256  _RANDOM REVERSE_BA	   0.439445	  60.267659	  64.364924	  62.208708	  19.488005	 167.035336	 160.863414	  81.688919	 196.926459	     93.63 % 
