
--- Bentley Basher ---

Start warm up ...
warmup length: 10010 reps: 25
  End warm up (6000 iterations per sort).


-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)



                                    DPQ_11         DPQ_18_2         DPQ_18_11         RADIX         MARLIN         MERGE_TD         MERGE_BU        [DPQ_11 % DPQ_18_11]

1000 1  SAWTOTH SORT______  	  0.000475	  0.001298	  0.001283	  0.000952	  0.005952	  0.002437	  0.001922	     37.02 % 
1000 1  _RANDOM SORT______  	  0.000474	  0.001275	  0.001471	  0.000775	  0.005800	  0.002494	  0.001966	     32.23 % 
1000 1  PLATEAU SORT______  	  0.000880	  0.001328	  0.001314	  0.000927	  0.005899	  0.002556	  0.001924	     67.00 % 
1000 1  SHUFFLE SORT______  	  0.000703	  0.006177	  0.005989	  0.001009	  0.004965	  0.002639	  0.001956	     11.74 % 
1000 1  STAGGER DITHER____  	  0.014592	  0.019296	  0.023515	  0.022149	  0.013538	  0.010710	  0.010186	     62.05 % 
1000 1  SAWTOTH DITHER____  	  0.005073	  0.005383	  0.004432	  0.018363	  0.025048	  0.022502	  0.023771	    114.47 % .!!.
1000 1  _RANDOM DITHER____  	  0.005087	  0.008290	  0.004363	  0.018592	  0.025502	  0.025636	  0.023778	    116.59 % .!!.
1000 1  PLATEAU DITHER____  	  0.005079	  0.004908	  0.004149	  0.018405	  0.025810	  0.022535	  0.023790	    122.40 % .!!!.
1000 1  SHUFFLE DITHER____  	  0.008517	  0.007146	  0.006981	  0.021729	  0.013152	  0.010104	  0.004086	    122.01 % .!!!.
1000 4  STAGGER IDENT_____  	  0.011035	  0.016891	  0.019838	  0.009918	  0.015601	  0.012808	  0.012965	     55.63 % 
1000 4  SAWTOTH IDENT_____  	  0.004145	  0.003439	  0.003111	  0.018430	  0.025619	  0.023139	  0.022087	    133.24 % .!!!.
1000 4  _RANDOM IDENT_____  	  0.004756	  0.004602	  0.003626	  0.018657	  0.025610	  0.023628	  0.024521	    131.15 % .!!!.
1000 4  PLATEAU IDENT_____  	  0.000791	  0.001367	  0.001310	  0.000842	  0.005935	  0.002510	  0.001810	     60.35 % 
1000 4  SHUFFLE IDENT_____  	  0.014464	  0.012323	  0.014158	  0.027742	  0.023063	  0.020207	  0.019249	    102.16 % ..
1000 4  STAGGER REVERSE___  	  0.011720	  0.018037	  0.021241	  0.010804	  0.021472	  0.028364	  0.032799	     55.18 % 
1000 4  SAWTOTH REVERSE___  	  0.004941	  0.004174	  0.003364	  0.018633	  0.025799	  0.023261	  0.024414	    146.91 % .!!!.
1000 4  _RANDOM REVERSE___  	  0.006015	  0.004593	  0.003477	  0.018570	  0.025709	  0.023177	  0.024504	    173.00 % .!!!!.
1000 4  PLATEAU REVERSE___  	  0.001363	  0.001414	  0.001313	  0.000855	  0.005869	  0.007264	  0.005052	    103.83 % ..
1000 4  SHUFFLE REVERSE___  	  0.016077	  0.012908	  0.013773	  0.032048	  0.026089	  0.026670	  0.031416	    116.73 % .!!.
1000 4  STAGGER REVERSE_FR  	  0.011229	  0.017549	  0.020255	  0.010467	  0.018443	  0.020522	  0.023056	     55.44 % 
1000 4  SAWTOTH REVERSE_FR  	  0.005463	  0.004606	  0.003559	  0.018616	  0.026528	  0.023353	  0.023676	    153.51 % .!!!.
1000 4  _RANDOM REVERSE_FR  	  0.004983	  0.004789	  0.003498	  0.018559	  0.025677	  0.023620	  0.025125	    142.44 % .!!!.
1000 4  PLATEAU REVERSE_FR  	  0.004549	  0.001400	  0.001328	  0.000848	  0.005823	  0.005050	  0.004627	    342.54 % .!!!!!.
1000 4  SHUFFLE REVERSE_FR  	  0.017268	  0.013342	  0.014649	  0.028439	  0.024711	  0.023598	  0.024940	    117.88 % .!!.
1000 4  STAGGER REVERSE_BA  	  0.011653	  0.016734	  0.019617	  0.010742	  0.018627	  0.020741	  0.022804	     59.40 % 
1000 4  SAWTOTH REVERSE_BA  	  0.004519	  0.003488	  0.003203	  0.018781	  0.026019	  0.023424	  0.023393	    141.08 % .!!!.
1000 4  _RANDOM REVERSE_BA  	  0.004801	  0.004624	  0.003592	  0.018630	  0.025596	  0.023383	  0.024733	    133.65 % .!!!.
