
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2 %.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 5

50000 16384  SAWTOTH IDENT_____	   0.022012	   0.544537	   0.370394	   0.324615	   0.517814	    147.02 % .!!!.
50000 16384  _RANDOM IDENT_____	   0.021900	   7.046109	   6.959819	   6.886966	   1.623744	    101.24 % ..
50000 16384  PLATEAU IDENT_____	!  0.021539	   0.051232	   0.079773	!  0.027878	   0.043192	     64.22 % 
50000 16384  SHUFFLE IDENT_____	   0.021927	!  0.636180	!  0.307324	!  0.259239	!  0.601246	    207.01 % .!!!!!.
50000 16384  STAGGER REVERSE___	   0.021907	   6.168602	   6.477348	   6.472184	   1.771328	     95.23 % 
50000 16384  SAWTOTH REVERSE___	   0.021916	   0.633476	   0.427553	   0.392551	   0.594213	    148.16 % .!!!.
50000 16384  _RANDOM REVERSE___	   0.021949	   7.021871	   7.040971	   6.974320	   1.625040	     99.73 % 
50000 16384  PLATEAU REVERSE___	   0.021930	   0.111026	   0.089458	   0.068111	   0.077918	    124.11 % .!!!.
50000 16384  SHUFFLE REVERSE___	   0.021946	!  0.674775	   0.423675	!  0.380537	!  0.624300	    159.27 % .!!!.
50000 16384  STAGGER REVERSE_FR	   0.021916	   6.299494	   6.483205	   6.448688	   1.736680	     97.17 % 
50000 16384  SAWTOTH REVERSE_FR	   0.021890	   0.776624	   0.471751	   0.382314	   0.734233	    164.63 % .!!!!.
50000 16384  _RANDOM REVERSE_FR	!  0.021472	   7.038296	   7.040142	   6.988889	   1.623677	     99.97 % 
50000 16384  PLATEAU REVERSE_FR	   0.021869	   0.334974	   0.071648	   0.058517	   0.067865	    467.53 % .!!!!!.
50000 16384  SHUFFLE REVERSE_FR	!  0.021480	!  0.676162	   0.354347	!  0.315216	   0.730250	    190.82 % .!!!!.
50000 16384  STAGGER REVERSE_BA	   0.021969	   6.153929	   6.407485	   6.358968	   1.726186	     96.04 % 
50000 16384  SAWTOTH REVERSE_BA	   0.021971	   0.792156	   0.469890	   0.408001	   0.751973	    168.58 % .!!!!.
50000 16384  _RANDOM REVERSE_BA	   0.021946	   7.057697	   7.028289	   6.985611	   1.628215	    100.42 % ..
50000 16384  PLATEAU REVERSE_BA	   0.021960	   0.050627	   0.078962	   0.030097	   0.042747	     64.12 % 
50000 16384  SHUFFLE REVERSE_BA	   0.021936	   0.788688	   0.403019	   0.367575	   0.747394	    195.69 % .!!!!.
50000 16384  STAGGER SORT______	!  0.020865	   0.051555	   0.072384	   0.031390	   0.043865	     71.22 % 
50000 16384  SAWTOTH SORT______	!  0.021502	   0.045148	   0.079637	   0.031339	   0.042840	     56.69 % 
50000 16384  _RANDOM SORT______	   0.021923	   0.050659	   0.079227	!  0.029582	!  0.042122	     63.94 % 
50000 16384  PLATEAU SORT______	   0.021819	   0.045117	   0.079037	   0.030178	   0.037615	     57.08 % 
50000 16384  SHUFFLE SORT______	   0.021930	   0.050635	   0.079091	   0.030181	   0.042814	     64.02 % 
50000 16384  STAGGER DITHER____	   0.021982	   6.267578	   6.326282	   6.267160	   1.762482	     99.07 % 
50000 16384  SAWTOTH DITHER____	   0.021973	   3.375289	   4.196558	   4.230405	   1.466772	     80.43 % 
50000 16384  _RANDOM DITHER____	   0.021972	   7.027350	   7.004362	   6.961224	   1.624775	    100.33 % ..
50000 16384  PLATEAU DITHER____	   0.021986	   0.585189	   0.605149	   0.572100	   1.096044	     96.70 % 
50000 16384  SHUFFLE DITHER____	   0.021988	   1.130811	   0.936273	   1.009940	   1.743639	    120.78 % .!!!.
50000 65536  STAGGER IDENT_____	   0.021928	   6.171971	   6.239073	   6.176308	   1.881711	     98.92 % 
50000 65536  SAWTOTH IDENT_____	   0.021886	   0.050596	   0.071668	   0.030078	   0.042744	     70.60 % 
50000 65536  _RANDOM IDENT_____	!  0.021525	   7.092386	   6.956439	   6.916545	   2.355059	    101.95 % ..
50000 65536  PLATEAU IDENT_____	   0.021907	   0.050730	   0.079216	   0.026058	   0.042855	     64.04 % 
50000 65536  SHUFFLE IDENT_____	   0.021893	!  0.381225	!  0.232536	!  0.194767	!  0.399463	    163.94 % .!!!!.
50000 65536  STAGGER REVERSE___	   0.021910	   5.945306	   6.191318	   6.152482	   1.562464	     96.03 % 
50000 65536  SAWTOTH REVERSE___	   0.021893	   0.119883	   0.130138	   0.082285	   0.110332	     92.12 % 
50000 65536  _RANDOM REVERSE___	   0.021896	   7.089043	   7.027765	   6.954008	   2.358277	    100.87 % ..
50000 65536  PLATEAU REVERSE___	   0.021922	   0.118862	   0.129863	   0.082111	   0.110052	     91.53 % 
50000 65536  SHUFFLE REVERSE___	!  0.021510	!  0.440104	!  0.296331	!  0.256518	!  0.400400	    148.52 % .!!!.
50000 65536  STAGGER REVERSE_FR	   0.021884	   6.098697	   6.340994	   6.260968	   1.793639	     96.18 % 
50000 65536  SAWTOTH REVERSE_FR	   0.021895	   0.091250	   0.104984	   0.061510	   0.306565	     86.92 % 
50000 65536  _RANDOM REVERSE_FR	   0.021876	   7.095697	   7.043237	   6.988577	   2.356549	    100.74 % ..
50000 65536  PLATEAU REVERSE_FR	   0.021859	   0.091261	   0.094726	   0.061329	   0.305668	     96.34 % 
50000 65536  SHUFFLE REVERSE_FR	   0.021874	!  0.467785	!  0.266363	!  0.231063	!  0.516759	    175.62 % .!!!!.
50000 65536  STAGGER REVERSE_BA	!  0.021542	   6.147578	   6.438919	   6.397733	   1.619146	     95.48 % 
50000 65536  SAWTOTH REVERSE_BA	!  0.021537	   0.381798	   0.274091	   0.234999	   0.349494	    139.30 % .!!!.
50000 65536  _RANDOM REVERSE_BA	   0.021972	   7.105025	   6.986450	   6.940513	   2.353124	    101.70 % ..
50000 65536  PLATEAU REVERSE_BA	   0.021952	   0.381772	   0.273272	   0.232793	   0.350064	    139.70 % .!!!.
50000 65536  SHUFFLE REVERSE_BA	   0.021958	!  0.612965	   0.340327	   0.294937	!  0.577840	    180.11 % .!!!!.
50000 65536  STAGGER SORT______	   0.021943	   0.050510	   0.079059	   0.030167	   0.042856	     63.89 % 
50000 65536  SAWTOTH SORT______	   0.021781	   0.044871	   0.079113	   0.030104	   0.042848	     56.72 % 
50000 65536  _RANDOM SORT______	!  0.021545	   0.045187	   0.079430	   0.030530	   0.043157	     56.89 % 
50000 65536  PLATEAU SORT______	   0.021737	   0.050714	   0.079109	   0.030185	   0.042768	     64.11 % 
50000 65536  SHUFFLE SORT______	   0.021811	   0.050831	   0.071550	   0.030268	   0.042869	     71.04 % 
50000 65536  STAGGER DITHER____	   0.021971	   6.091988	   6.210797	   6.168524	   1.811474	     98.09 % 
50000 65536  SAWTOTH DITHER____	!  0.021588	   1.007715	   0.940614	   0.962063	   1.223213	    107.13 % .!.
50000 65536  _RANDOM DITHER____	   0.021992	   7.078723	   7.022878	   6.961826	   2.354806	    100.80 % ..
50000 65536  PLATEAU DITHER____	   0.021993	   1.006092	   0.941106	   0.963631	   1.220917	    106.91 % .!.
50000 65536  SHUFFLE DITHER____	   0.021980	   1.006617	   0.883545	   0.948027	   1.623942	    113.93 % .!!.
lreps: 1 with reps: 5

100000 1  STAGGER IDENT_____	   0.045918	   0.686860	   0.498029	   0.409353	   0.635849	    137.92 % .!!!.
100000 1  SAWTOTH IDENT_____	   0.040988	   0.066152	   0.076458	   0.053027	   0.103766	     86.52 % 
100000 1  _RANDOM IDENT_____	   0.041062	   0.076249	   0.076265	!  0.051247	   0.104226	     99.98 % 
100000 1  PLATEAU IDENT_____	   0.045987	   0.101012	   0.158766	   0.061335	   0.076359	     63.62 % 
100000 1  SHUFFLE IDENT_____	   0.046057	   0.089673	   0.143323	   0.061752	   0.086553	     62.57 % 
100000 1  STAGGER REVERSE___	   0.046124	   0.838237	   0.588121	   0.524354	   0.760458	    142.53 % .!!!.
100000 1  SAWTOTH REVERSE___	   0.041245	   0.076141	   0.076448	   0.052896	   0.104211	     99.60 % 
100000 1  _RANDOM REVERSE___	!  0.040459	   0.077133	   0.077145	   0.053794	   0.104727	     99.98 % 
100000 1  PLATEAU REVERSE___	   0.046114	   0.219868	   0.066012	   0.051728	   0.061503	    333.07 % .!!!!!.
100000 1  SHUFFLE REVERSE___	   0.042486	   0.245732	   0.242319	   0.172118	   0.204990	    101.41 % ..
100000 1  STAGGER REVERSE_FR	   0.045976	   0.758134	   0.543735	   0.465347	   0.694939	    139.43 % .!!!.
100000 1  SAWTOTH REVERSE_FR	   0.041095	   0.075943	   0.066346	   0.053031	   0.103900	    114.47 % .!!.
100000 1  _RANDOM REVERSE_FR	   0.041105	   0.076503	   0.076255	   0.052952	   0.104264	    100.33 % ..
100000 1  PLATEAU REVERSE_FR	   0.046217	   0.668932	   0.075202	   0.043748	   0.061736	    889.52 % .!!!!!.
100000 1  SHUFFLE REVERSE_FR	   0.046029	   0.166293	   0.190145	   0.109932	   0.611135	     87.46 % 
100000 1  STAGGER REVERSE_BA	   0.046172	   0.761178	   0.543826	   0.466633	   0.697767	    139.97 % .!!!.
100000 1  SAWTOTH REVERSE_BA	   0.041322	   0.076095	   0.076237	   0.052810	   0.104119	     99.81 % 
100000 1  _RANDOM REVERSE_BA	   0.041185	   0.067125	   0.076367	   0.045442	   0.104658	     87.90 % 
100000 1  PLATEAU REVERSE_BA	   0.046199	   0.100801	   0.143676	   0.061225	   0.086662	     70.16 % 
100000 1  SHUFFLE REVERSE_BA	   0.046265	   0.758651	   0.542869	   0.511001	   0.698971	    139.75 % .!!!.
100000 1  STAGGER SORT______	   0.046023	   0.101003	   0.158512	   0.062574	   0.075469	     63.72 % 
100000 1  SAWTOTH SORT______	   0.040880	   0.076496	   0.076371	   0.053119	   0.104397	    100.16 % ..
100000 1  _RANDOM SORT______	   0.041143	   0.076181	   0.076352	   0.053037	   0.104138	     99.78 % 
100000 1  PLATEAU SORT______	   0.045901	   0.101096	   0.158807	   0.052941	   0.086381	     63.66 % 
100000 1  SHUFFLE SORT______	   0.045821	   0.100785	   0.142054	   0.061657	   0.086548	     70.95 % 
100000 1  STAGGER DITHER____	   0.046220	   5.839738	  10.040955	  10.667348	   3.357514	     58.16 % 
100000 1  SAWTOTH DITHER____	   0.046101	   0.609198	   0.462551	   0.440024	   2.146812	    131.70 % .!!!.
100000 1  _RANDOM DITHER____	   0.046181	   0.611325	   0.463497	   0.439704	   2.145641	    131.89 % .!!!.
100000 1  PLATEAU DITHER____	   0.046121	   0.610185	   0.463216	   0.439610	   2.153635	    131.73 % .!!!.
100000 1  SHUFFLE DITHER____	   0.046170	   1.802541	   1.693358	   1.795954	   2.562174	    106.45 % .!.
100000 4  STAGGER IDENT_____	   0.046031	   1.537938	   0.876619	   0.771632	   1.486476	    175.44 % .!!!!.
100000 4  SAWTOTH IDENT_____	   0.046120	   0.600513	   0.507979	   0.486256	   2.150252	    118.22 % .!!.
100000 4  _RANDOM IDENT_____	   0.046080	   2.156750	   1.991437	   2.000816	   2.155496	    108.30 % .!.
100000 4  PLATEAU IDENT_____	   0.046094	   0.100841	   0.141728	   0.061650	   0.086417	     71.15 % 
100000 4  SHUFFLE IDENT_____	   0.046134	   6.911398	   6.644180	   6.816306	   4.229837	    104.02 % ..
100000 4  STAGGER REVERSE___	   0.046081	   1.689865	   0.970144	   0.883300	   1.614171	    174.19 % .!!!!.
100000 4  SAWTOTH REVERSE___	   0.046146	   0.633529	   0.576402	   0.589816	   2.148451	    109.91 % .!.
100000 4  _RANDOM REVERSE___	   0.046057	   2.135327	   2.010250	   2.003603	   2.160116	    106.22 % .!.
100000 4  PLATEAU REVERSE___	   0.046091	   0.219835	   0.075090	   0.043800	   0.062161	    292.76 % .!!!!!.
100000 4  SHUFFLE REVERSE___	   0.046182	   6.309137	   6.998995	   7.221962	   4.253077	     90.14 % 
100000 4  STAGGER REVERSE_FR	   0.046009	   1.601104	   1.056424	   0.946350	   1.543805	    151.56 % .!!!.
100000 4  SAWTOTH REVERSE_FR	   0.045974	   0.627972	   0.588891	   0.594909	   2.149519	    106.64 % .!.
100000 4  _RANDOM REVERSE_FR	   0.045996	   2.134136	   1.975508	   1.995784	   2.158043	    108.03 % .!.
100000 4  PLATEAU REVERSE_FR	   0.045959	   0.663857	   0.075330	   0.052272	   0.061991	    881.27 % .!!!!!.
100000 4  SHUFFLE REVERSE_FR	   0.045987	   6.908514	   6.438352	   6.610644	   4.248188	    107.30 % .!.
100000 4  STAGGER REVERSE_BA	   0.046199	   1.658978	   1.048410	   0.940579	   1.594168	    158.24 % .!!!.
100000 4  SAWTOTH REVERSE_BA	   0.046079	   0.496824	   0.464117	   0.455264	   2.150890	    107.05 % .!.
100000 4  _RANDOM REVERSE_BA	   0.046125	   2.213846	   2.047666	   2.024180	   2.155252	    108.12 % .!.
100000 4  PLATEAU REVERSE_BA	   0.046015	   0.100973	   0.158633	   0.061651	   0.086655	     63.65 % 
100000 4  SHUFFLE REVERSE_BA	   0.046112	   6.780219	   8.259919	   8.548927	   4.199883	     82.09 % 
100000 4  STAGGER SORT______	   0.045977	   0.101112	   0.142763	   0.061260	   0.086606	     70.82 % 
100000 4  SAWTOTH SORT______	   0.044712	   0.094852	   0.138178	   0.059031	   0.080852	     68.64 % 
100000 4  _RANDOM SORT______	   0.044746	   0.094864	   0.137937	   0.059212	   0.070506	     68.77 % 
100000 4  PLATEAU SORT______	   0.045918	   0.101121	   0.143981	   0.061514	   0.086307	     70.23 % 
100000 4  SHUFFLE SORT______	   0.046185	   0.089734	   0.142437	   0.053213	   0.076108	     63.00 % 
100000 4  STAGGER DITHER____	   0.046149	   1.535983	   0.878215	   0.776697	   1.485925	    174.90 % .!!!!.
100000 4  SAWTOTH DITHER____	   0.046146	   0.728141	   1.500628	   1.475100	   2.149614	     48.52 % 
100000 4  _RANDOM DITHER____	   0.046201	   2.712150	   2.626216	   2.640408	   2.148386	    103.27 % ..
100000 4  PLATEAU DITHER____	   0.046163	   0.649419	   0.494183	   0.461836	   2.147279	    131.41 % .!!!.
100000 4  SHUFFLE DITHER____	   0.046260	   7.386979	   7.503387	   7.659670	   5.211499	     98.45 % 
100000 16  STAGGER IDENT_____	   0.046064	   2.628843	   1.431105	   1.310838	   3.224696	    183.69 % .!!!!.
100000 16  SAWTOTH IDENT_____	   0.046083	   2.629475	   1.377669	   1.326393	   2.145967	    190.86 % .!!!!.
100000 16  _RANDOM IDENT_____	   0.042315	   3.948663	   3.948163	   4.058927	   2.152208	    100.01 % ..
100000 16  PLATEAU IDENT_____	   0.045961	   0.090085	   0.158994	   0.061215	   0.086412	     56.66 % 
100000 16  SHUFFLE IDENT_____	   0.046049	   4.572410	   3.369161	   3.510292	   4.183482	    135.71 % .!!!.
100000 16  STAGGER REVERSE___	   0.046225	   2.781754	   1.525342	   1.438428	   3.350209	    182.37 % .!!!!.
100000 16  SAWTOTH REVERSE___	   0.046110	   2.559269	   0.798613	   0.768297	   2.146582	    320.46 % .!!!!!.
100000 16  _RANDOM REVERSE___	   0.046056	   3.951691	   4.005488	   4.103345	   2.147195	     98.66 % 
100000 16  PLATEAU REVERSE___	   0.046155	   0.220138	   0.075119	   0.051767	   0.062031	    293.05 % .!!!!!.
100000 16  SHUFFLE REVERSE___	   0.046305	   4.012309	   4.501430	   4.731869	   4.090592	     89.13 % 
100000 16  STAGGER REVERSE_FR	   0.045989	   2.655944	   1.490014	   1.390763	   3.290780	    178.25 % .!!!!.
100000 16  SAWTOTH REVERSE_FR	   0.045935	   2.026034	   2.590527	   2.638606	   2.145997	     78.21 % 
100000 16  _RANDOM REVERSE_FR	   0.042314	   3.990500	   3.881468	   3.941988	   2.151623	    102.81 % ..
100000 16  PLATEAU REVERSE_FR	   0.045950	   0.662589	   0.075369	   0.052418	   0.062168	    879.13 % .!!!!!.
100000 16  SHUFFLE REVERSE_FR	   0.046036	   4.529045	   4.110312	   4.307560	   4.176254	    110.19 % .!!.
100000 16  STAGGER REVERSE_BA	   0.046190	   2.694472	   1.519588	   1.399365	   3.315226	    177.32 % .!!!!.
100000 16  SAWTOTH REVERSE_BA	   0.046080	   2.188314	   2.251429	   2.223295	   2.145773	     97.20 % 
100000 16  _RANDOM REVERSE_BA	   0.046146	   3.906943	   4.012719	   4.107198	   2.146916	     97.36 % 
100000 16  PLATEAU REVERSE_BA	   0.046134	   0.101392	   0.143371	   0.061226	   0.086535	     70.72 % 
100000 16  SHUFFLE REVERSE_BA	   0.046168	   4.239643	   4.581558	   4.817256	   4.115576	     92.54 % 
100000 16  STAGGER SORT______	   0.045991	   0.089559	   0.143428	   0.061798	   0.075690	     62.44 % 
100000 16  SAWTOTH SORT______	   0.045900	   0.088293	   0.137622	   0.061813	   0.073821	     64.16 % 
100000 16  _RANDOM SORT______	   0.042196	   0.092240	   0.142223	   0.065210	   0.088618	     64.86 % 
100000 16  PLATEAU SORT______	   0.045810	   0.100890	   0.142529	   0.061263	   0.075606	     70.79 % 
100000 16  SHUFFLE SORT______	   0.046146	   0.089361	   0.142913	   0.053174	   0.086384	     62.53 % 
100000 16  STAGGER DITHER____	   0.046197	   2.628912	   1.434918	   1.310102	   3.223366	    183.21 % .!!!!.
100000 16  SAWTOTH DITHER____	   0.046157	   2.950854	   3.475682	   3.630571	   2.145744	     84.90 % 
100000 16  _RANDOM DITHER____	   0.046259	   4.166098	   4.175403	   4.238808	   2.148352	     99.78 % 
100000 16  PLATEAU DITHER____	   0.046175	   0.665637	   0.486504	   0.502791	   2.145848	    136.82 % .!!!.
100000 16  SHUFFLE DITHER____	   0.046107	   5.022515	   4.517451	   4.689450	   4.490971	    111.18 % .!!.
100000 64  STAGGER IDENT_____	   0.046109	   3.717849	   2.012087	   1.892006	   3.080378	    184.78 % .!!!!.
100000 64  SAWTOTH IDENT_____	   0.046046	   3.053066	   3.811046	   3.841869	   2.145660	     80.11 % 
100000 64  _RANDOM IDENT_____	   0.046112	   5.819029	   6.029090	   6.190814	   2.146887	     96.52 % 
100000 64  PLATEAU IDENT_____	   0.046109	   0.100871	   0.158461	   0.061411	   0.086469	     63.66 % 
100000 64  SHUFFLE IDENT_____	   0.046004	   3.782819	   2.190326	   2.283842	   4.295521	    172.71 % .!!!!.
100000 64  STAGGER REVERSE___	   0.046164	   3.872773	   2.107043	   1.993123	   3.118076	    183.80 % .!!!!.
100000 64  SAWTOTH REVERSE___	   0.046235	   3.048203	   3.651917	   3.781923	   2.149100	     83.47 % 
100000 64  _RANDOM REVERSE___	   0.046119	   5.815315	   5.971882	   6.100986	   2.148120	     97.38 % 
100000 64  PLATEAU REVERSE___	   0.046236	   0.218809	   0.075187	   0.052029	   0.062053	    291.02 % .!!!!!.
100000 64  SHUFFLE REVERSE___	   0.042504	   3.174762	   2.985377	   3.051360	   4.245413	    106.34 % .!.
100000 64  STAGGER REVERSE_FR	   0.046018	   3.768630	   2.065701	   1.949519	   3.119161	    182.44 % .!!!!.
100000 64  SAWTOTH REVERSE_FR	   0.045998	   2.945120	   3.709815	   3.879696	   2.150949	     79.39 % 
100000 64  _RANDOM REVERSE_FR	   0.046077	   5.755480	   5.930672	   6.040282	   2.149620	     97.05 % 
100000 64  PLATEAU REVERSE_FR	   0.045955	   0.665654	   0.075573	   0.052547	   0.053570	    880.81 % .!!!!!.
100000 64  SHUFFLE REVERSE_FR	   0.045984	   3.624255	   2.986795	   3.125978	   4.159039	    121.34 % .!!!.
100000 64  STAGGER REVERSE_BA	   0.046133	   3.785182	   2.072677	   1.949969	   3.082383	    182.62 % .!!!!.
100000 64  SAWTOTH REVERSE_BA	   0.046116	   3.318762	   3.528331	   3.560582	   2.147373	     94.06 % 
100000 64  _RANDOM REVERSE_BA	   0.046141	   5.864325	   5.984606	   6.103720	   2.149213	     97.99 % 
100000 64  PLATEAU REVERSE_BA	   0.046115	   0.101802	   0.142611	   0.052732	   0.086465	     71.38 % 
100000 64  SHUFFLE REVERSE_BA	   0.046091	   3.321563	   2.873166	   2.997279	   4.167577	    115.61 % .!!.
100000 64  STAGGER SORT______	   0.046154	   0.089252	   0.143260	   0.061524	   0.086711	     62.30 % 
100000 64  SAWTOTH SORT______	   0.046080	   0.090458	   0.140970	   0.061235	   0.075969	     64.17 % 
100000 64  _RANDOM SORT______	   0.046071	   0.089343	   0.142061	   0.061966	   0.086059	     62.89 % 
100000 64  PLATEAU SORT______	   0.045902	   0.100894	   0.144208	   0.061743	   0.075721	     69.96 % 
100000 64  SHUFFLE SORT______	   0.046144	   0.100703	   0.142667	   0.061732	   0.075407	     70.59 % 
100000 64  STAGGER DITHER____	   0.046281	   3.717175	   2.011664	   1.890458	   3.082712	    184.78 % .!!!!.
100000 64  SAWTOTH DITHER____	   0.046172	   3.918876	   4.417727	   4.492599	   2.150829	     88.71 % 
100000 64  _RANDOM DITHER____	   0.046283	   5.835231	   6.053604	   6.222408	   2.147542	     96.39 % 
100000 64  PLATEAU DITHER____	   0.046144	   0.653122	   0.486933	   0.459802	   2.147632	    134.13 % .!!!.
100000 64  SHUFFLE DITHER____	   0.046156	   4.234312	   3.250829	   3.446365	   4.392954	    130.25 % .!!!.
100000 256  STAGGER IDENT_____	   0.046003	  11.082103	  11.926339	  11.859989	   3.602670	     92.92 % 
100000 256  SAWTOTH IDENT_____	   0.046001	   3.893646	   4.757789	   4.923717	   2.153165	     81.84 % 
100000 256  _RANDOM IDENT_____	   0.046191	   7.707257	   8.076439	   8.269061	   2.149982	     95.43 % 
100000 256  PLATEAU IDENT_____	   0.045933	   0.101019	   0.158641	   0.061372	   0.086638	     63.68 % 
100000 256  SHUFFLE IDENT_____	   0.042199	   3.696273	   1.774651	   1.814295	   4.233525	    208.28 % .!!!!!.
100000 256  STAGGER REVERSE___	   0.046174	  11.015466	  11.908761	  11.810694	   3.603908	     92.50 % 
100000 256  SAWTOTH REVERSE___	   0.046056	   3.842667	   4.828471	   5.005128	   2.157600	     79.58 % 
100000 256  _RANDOM REVERSE___	   0.046177	   7.768864	   7.924738	   8.101588	   2.149390	     98.03 % 
100000 256  PLATEAU REVERSE___	   0.046100	   0.219595	   0.076224	   0.052437	   0.062628	    288.09 % .!!!!!.
100000 256  SHUFFLE REVERSE___	   0.046205	   3.063698	   3.055015	   3.084719	   3.972772	    100.28 % ..
100000 256  STAGGER REVERSE_FR	   0.045982	  11.061365	  12.382497	  12.410845	   3.486392	     89.33 % 
100000 256  SAWTOTH REVERSE_FR	   0.046031	   4.481046	   5.378664	   5.656017	   2.155950	     83.31 % 
100000 256  _RANDOM REVERSE_FR	   0.045910	   7.776353	   7.906053	   8.053542	   2.153327	     98.36 % 
100000 256  PLATEAU REVERSE_FR	   0.045988	   0.666865	   0.076149	   0.053100	   0.062788	    875.74 % .!!!!!.
100000 256  SHUFFLE REVERSE_FR	   0.045983	   3.574358	   2.930246	   3.029581	   4.032699	    121.98 % .!!!.
100000 256  STAGGER REVERSE_BA	   0.046060	  11.034325	  11.973613	  11.891296	   3.463346	     92.16 % 
100000 256  SAWTOTH REVERSE_BA	   0.046192	   3.879116	   4.815277	   4.939096	   2.153294	     80.56 % 
100000 256  _RANDOM REVERSE_BA	   0.046080	   7.705833	   7.952827	   8.119063	   2.152166	     96.89 % 
100000 256  PLATEAU REVERSE_BA	   0.046105	   0.101216	   0.142778	   0.061161	   0.086751	     70.89 % 
100000 256  SHUFFLE REVERSE_BA	   0.046138	   3.199168	   2.347031	   2.395227	   4.125636	    136.31 % .!!!.
100000 256  STAGGER SORT______	   0.046226	   0.089721	   0.142458	   0.053400	   0.075855	     62.98 % 
100000 256  SAWTOTH SORT______	   0.046047	   0.089971	   0.141669	!  0.059708	   0.086812	     63.51 % 
100000 256  _RANDOM SORT______	   0.046064	   0.101904	   0.143360	   0.062202	   0.076187	     71.08 % 
100000 256  PLATEAU SORT______	   0.045921	   0.101029	   0.143417	   0.052629	   0.086387	     70.44 % 
100000 256  SHUFFLE SORT______	   0.042590	   0.104614	   0.145963	   0.065403	   0.079373	     71.67 % 
100000 256  STAGGER DITHER____	   0.046161	  11.019148	  11.906129	  11.809310	   3.606258	     92.55 % 
100000 256  SAWTOTH DITHER____	   0.046152	   4.761800	   5.962016	   6.240057	   2.160743	     79.87 % 
100000 256  _RANDOM DITHER____	   0.046092	   7.761558	   7.913349	   8.112961	   2.163710	     98.08 % 
100000 256  PLATEAU DITHER____	   0.046229	   0.667709	   0.462999	   0.444011	   2.147095	    144.21 % .!!!.
100000 256  SHUFFLE DITHER____	   0.046187	   4.151898	   2.732335	   2.920240	   4.311449	    151.95 % .!!!.
100000 1024  STAGGER IDENT_____	   0.046026	   9.370544	  11.392883	  11.349107	   3.322561	     82.25 % 
100000 1024  SAWTOTH IDENT_____	   0.046154	   4.691683	   2.216528	   2.151648	   2.486702	    211.67 % .!!!!!.
100000 1024  _RANDOM IDENT_____	   0.046024	   9.794546	  10.061649	  10.248990	   2.936040	     97.35 % 
100000 1024  PLATEAU IDENT_____	   0.046032	   0.088836	   0.158476	   0.061292	   0.076453	     56.06 % 
100000 1024  SHUFFLE IDENT_____	   0.045955	   3.701594	   1.654822	   1.610328	   4.044572	    223.69 % .!!!!!.
100000 1024  STAGGER REVERSE___	   0.046098	   9.130281	  11.385922	  11.347363	   3.334747	     80.19 % 
100000 1024  SAWTOTH REVERSE___	   0.046140	   4.817630	   2.313438	   2.174076	   2.521845	    208.25 % .!!!!!.
100000 1024  _RANDOM REVERSE___	   0.046102	   9.806365	  10.006692	  10.199322	   2.937445	     98.00 % 
100000 1024  PLATEAU REVERSE___	   0.046133	   0.219177	   0.078368	   0.054354	   0.064908	    279.67 % .!!!!!.
100000 1024  SHUFFLE REVERSE___	   0.046237	   3.386932	!  3.283347	!  3.259326	   3.889355	    103.15 % ..
100000 1024  STAGGER REVERSE_FR	   0.046034	   9.196770	  11.712973	  11.757911	   3.308753	     78.52 % 
100000 1024  SAWTOTH REVERSE_FR	   0.045985	   4.754149	   2.275285	   2.139177	   2.550465	    208.95 % .!!!!!.
100000 1024  _RANDOM REVERSE_FR	   0.045952	   9.820231	   9.982184	  10.132175	   2.938254	     98.38 % 
100000 1024  PLATEAU REVERSE_FR	   0.046144	   0.868023	   0.078446	   0.054969	   0.064754	   1106.52 % .!!!!!.
100000 1024  SHUFFLE REVERSE_FR	   0.045988	   3.616023	!  3.113921	!  3.122120	   3.954455	    116.12 % .!!.
100000 1024  STAGGER REVERSE_BA	   0.046146	   9.230775	  11.423716	  11.388533	   3.313781	     80.80 % 
100000 1024  SAWTOTH REVERSE_BA	   0.046037	   4.813471	   2.269370	   2.125160	   2.492873	    212.11 % .!!!!!.
100000 1024  _RANDOM REVERSE_BA	   0.046122	   9.822924	  10.189877	  10.387749	   2.937062	     96.40 % 
100000 1024  PLATEAU REVERSE_BA	   0.046164	   0.100994	   0.141815	   0.061393	   0.086450	     71.22 % 
100000 1024  SHUFFLE REVERSE_BA	   0.046132	   3.468519	!  3.319269	!  3.320513	   3.984791	    104.50 % ..
100000 1024  STAGGER SORT______	   0.046138	   0.089446	   0.142431	   0.060951	   0.075970	     62.80 % 
100000 1024  SAWTOTH SORT______	   0.046180	   0.100894	   0.142604	   0.062601	   0.085318	     70.75 % 
100000 1024  _RANDOM SORT______	   0.046232	   0.101617	   0.142090	   0.061716	   0.076002	     71.52 % 
100000 1024  PLATEAU SORT______	   0.045801	   0.101003	   0.158962	   0.061821	   0.086618	     63.54 % 
