
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2 %.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 5

50000 4  SHUFFLE REVERSE_BA	   0.021968	   3.224968	   3.911810	   4.049024	   2.119292	     82.44 % 
50000 4  STAGGER SORT______	   0.021890	   0.050593	   0.071370	   0.030373	   0.042741	     70.89 % 
50000 4  SAWTOTH SORT______	!  0.020904	   0.047691	   0.061882	   0.029786	   0.040035	     77.07 % 
50000 4  _RANDOM SORT______	   0.021282	   0.047408	   0.068909	   0.025385	   0.039800	     68.80 % 
50000 4  PLATEAU SORT______	   0.021756	   0.050509	   0.070828	   0.030028	   0.042882	     71.31 % 
50000 4  SHUFFLE SORT______	   0.021935	   0.050526	   0.079225	   0.030303	   0.042752	     63.77 % 
50000 4  STAGGER DITHER____	   0.021957	   0.769798	   0.442566	   0.387552	   0.742566	    173.94 % .!!!!.
50000 4  SAWTOTH DITHER____	   0.021977	   0.672845	   0.285668	   0.260235	   1.052030	    235.53 % .!!!!!.
50000 4  _RANDOM DITHER____	   0.021971	   1.351205	   1.331283	   1.327141	   1.049307	    101.50 % ..
50000 4  PLATEAU DITHER____	   0.021963	   0.328302	   0.246814	   0.230687	   1.048351	    133.02 % .!!!.
50000 4  SHUFFLE DITHER____	   0.021944	   3.579584	   3.622246	   3.704589	   2.620481	     98.82 % 
50000 16  STAGGER IDENT_____	   0.021917	   1.316038	   0.729568	   0.670813	   1.551455	    180.39 % .!!!!.
50000 16  SAWTOTH IDENT_____	   0.021900	   0.619311	   1.526844	   1.633941	   1.050575	     40.56 % 
50000 16  _RANDOM IDENT_____	!  0.021518	   1.989316	   1.952082	   1.968834	   1.051423	    101.91 % ..
50000 16  PLATEAU IDENT_____	   0.021910	   0.050536	   0.079145	   0.030052	   0.042800	     63.85 % 
50000 16  SHUFFLE IDENT_____	   0.021906	   2.257583	   1.730049	   1.797490	   2.098896	    130.49 % .!!!.
50000 16  STAGGER REVERSE___	   0.021918	   1.394452	   0.771438	   0.732324	   1.607918	    180.76 % .!!!!.
50000 16  SAWTOTH REVERSE___	   0.021911	   0.714171	   1.398440	   1.455916	   1.048682	     51.07 % 
50000 16  _RANDOM REVERSE___	!  0.021500	   2.005937	   2.015216	   2.048276	   1.051652	     99.54 % 
50000 16  PLATEAU REVERSE___	   0.021903	   0.118677	   0.037150	   0.025396	   0.030839	    319.45 % .!!!!!.
50000 16  SHUFFLE REVERSE___	   0.021956	   1.967852	   2.047714	   2.128215	   2.053646	     96.10 % 
50000 16  STAGGER REVERSE_FR	   0.021879	   1.331544	   0.748669	   0.694170	   1.594785	    177.85 % .!!!!.
50000 16  SAWTOTH REVERSE_FR	   0.021931	   0.597680	   1.241532	   1.259674	   1.048065	     48.14 % 
50000 16  _RANDOM REVERSE_FR	!  0.021467	   1.984821	   1.950974	   1.986462	   1.051399	    101.73 % ..
50000 16  PLATEAU REVERSE_FR	   0.021858	   0.332526	   0.037278	   0.025581	   0.030848	    892.02 % .!!!!!.
50000 16  SHUFFLE REVERSE_FR	   0.021872	   2.228686	   1.955510	   2.040058	   2.098178	    113.97 % .!!.
50000 16  STAGGER REVERSE_BA	   0.021931	   1.352482	   0.762489	   0.712757	   1.582754	    177.38 % .!!!!.
50000 16  SAWTOTH REVERSE_BA	   0.021949	   0.502531	   1.169835	   1.189632	   1.048858	     42.96 % 
50000 16  _RANDOM REVERSE_BA	   0.021952	   1.989613	   2.091862	   2.135255	   1.050191	     95.11 % 
