
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

CHECK_SORTED: false
USE_BOTTOM_UP: false
Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_11	RADIX	MARLIN	PEEK_SORT	DPQ_18_11_E	MARLIN_M2	[DPQ_18_11 % DPQ_18_11P]

lreps: 801 with reps: 17

500 1  PLATEAU REVERSE_BA	   0.000088	   0.000491	   0.000507	   0.000255	   0.000370	   0.002378	   0.002297	   0.000499	   0.004195	     96.90 % 
500 1  SHUFFLE REVERSE_BA	   0.000089	   0.003209	   0.003079	   0.001956	   0.001968	   0.003220	   0.003018	   0.004498	   0.005408	    104.22 % ..
500 1  STAGGER SORT______	   0.000089	   0.001908	   0.001660	   0.000252	   0.000369	   0.002041	   0.002299	   0.002471	   0.003442	    114.90 % .!!.
500 1  SAWTOTH SORT______	   0.000089	   0.000480	   0.000494	   0.000211	   0.000461	   0.002405	   0.002288	   0.000490	   0.004350	     97.16 % 
500 1  _RANDOM SORT______	   0.000089	   0.000484	   0.000494	   0.000211	   0.000457	   0.002391	   0.002291	   0.000497	   0.004323	     97.95 % 
500 1  PLATEAU SORT______	   0.000088	   0.000495	   0.000504	   0.000257	   0.000368	   0.002351	   0.002296	   0.000499	   0.004213	     98.07 % 
500 1  SHUFFLE SORT______	   0.000089	   0.001885	   0.001583	   0.000258	   0.000369	   0.002063	   0.002298	   0.002498	   0.003443	    119.02 % .!!.
500 1  STAGGER DITHER____	   0.000089	   0.007404	   0.007111	   0.005896	   0.008520	   0.004723	   0.007041	   0.011071	   0.006828	    104.11 % ..
500 1  SAWTOTH DITHER____	   0.000088	   0.001807	   0.001862	   0.003140	   0.007444	   0.009797	   0.008807	   0.002752	   0.013014	     97.01 % 
500 1  _RANDOM DITHER____	   0.000089	   0.001827	   0.001861	   0.003131	   0.007451	   0.009797	   0.008806	   0.002748	   0.013056	     98.18 % 
500 1  PLATEAU DITHER____	   0.000089	   0.001825	   0.001907	   0.003134	   0.007463	   0.009768	   0.008825	   0.002738	   0.013080	     95.65 % 
500 1  SHUFFLE DITHER____	   0.000088	   0.002217	   0.001952	   0.003474	   0.009708	   0.004515	   0.006632	   0.002784	   0.006696	    113.54 % .!!.
500 4  STAGGER IDENT_____	   0.000091	   0.006544	   0.006311	   0.004003	   0.004022	   0.006724	   0.004681	   0.009213	   0.009087	    103.70 % ..
500 4  SAWTOTH IDENT_____	   0.000089	   0.001368	   0.001392	   0.002345	   0.007481	   0.009862	   0.008896	   0.001845	   0.013298	     98.29 % 
500 4  _RANDOM IDENT_____	   0.000088	   0.001876	   0.001738	   0.002780	   0.007551	   0.009914	   0.009115	   0.002467	   0.013263	    107.91 % .!.
500 4  PLATEAU IDENT_____	   0.000088	   0.000515	   0.000513	   0.000254	   0.000372	   0.002370	   0.002306	   0.000534	   0.004230	    100.49 % ..
500 4  SHUFFLE IDENT_____	   0.000088	   0.005645	   0.005445	   0.006113	   0.010187	   0.008688	   0.007446	   0.008220	   0.011895	    103.67 % ..
500 4  STAGGER REVERSE___	   0.000089	   0.006300	   0.005938	   0.004298	   0.004308	   0.008896	   0.004803	   0.008733	   0.012724	    106.09 % .!.
500 4  SAWTOTH REVERSE___	   0.000089	   0.001437	   0.001392	   0.002748	   0.007540	   0.010015	   0.009343	   0.002128	   0.013510	    103.25 % ..
500 4  _RANDOM REVERSE___	   0.000089	   0.001446	   0.001438	   0.002851	   0.007575	   0.009893	   0.009066	   0.002182	   0.013209	    100.55 % ..
500 4  PLATEAU REVERSE___	   0.000089	   0.000511	   0.000507	   0.000491	   0.000384	   0.002438	   0.001681	   0.000526	   0.004372	    100.98 % ..
500 4  SHUFFLE REVERSE___	   0.000089	   0.007268	   0.007033	   0.006520	   0.011424	   0.009809	   0.009679	   0.010171	   0.013780	    103.35 % ..
500 4  STAGGER REVERSE_FR	   0.000088	   0.006722	   0.006934	   0.004183	   0.004215	   0.007753	   0.004747	   0.009850	   0.010926	     96.94 % 
500 4  SAWTOTH REVERSE_FR	   0.000088	   0.001376	   0.001344	   0.003196	   0.007557	   0.009961	   0.009190	   0.001804	   0.013474	    102.33 % ..
500 4  _RANDOM REVERSE_FR	   0.000089	   0.001527	   0.001476	   0.002607	   0.007537	   0.009860	   0.009087	   0.002137	   0.013234	    103.46 % ..
500 4  PLATEAU REVERSE_FR	   0.000089	   0.000526	   0.000528	   0.001701	   0.000398	   0.002441	   0.002626	   0.000553	   0.004375	     99.60 % 
500 4  SHUFFLE REVERSE_FR	   0.000088	   0.005359	   0.005364	   0.006940	   0.010909	   0.009279	   0.008600	   0.007599	   0.012816	     99.91 % 
500 4  STAGGER REVERSE_BA	   0.000088	   0.005867	   0.005943	   0.004293	   0.004341	   0.007753	   0.004754	   0.008465	   0.010819	     98.71 % 
500 4  SAWTOTH REVERSE_BA	   0.000089	   0.001390	   0.001388	   0.002364	   0.007485	   0.009936	   0.009184	   0.001856	   0.013447	    100.16 % ..
500 4  _RANDOM REVERSE_BA	   0.000088	   0.001718	   0.001652	   0.003208	   0.007552	   0.009923	   0.009129	   0.002454	   0.013273	    103.95 % ..
500 4  PLATEAU REVERSE_BA	   0.000088	   0.000514	   0.000513	   0.000254	   0.000369	   0.002388	   0.002275	   0.000533	   0.004208	    100.14 % ..
500 4  SHUFFLE REVERSE_BA	   0.000088	   0.006702	   0.006726	   0.006318	   0.010880	   0.009309	   0.008799	   0.009864	   0.012988	     99.64 % 
500 4  STAGGER SORT______	   0.000089	   0.001982	   0.001612	   0.000257	   0.000370	   0.002061	   0.002307	   0.002545	   0.003390	    122.95 % .!!!.
500 4  SAWTOTH SORT______	   0.000088	   0.001376	   0.001285	   0.000245	   0.000373	   0.002373	   0.002287	   0.001762	   0.004237	    107.03 % .!.
500 4  _RANDOM SORT______	   0.000089	   0.001340	   0.001256	   0.000245	   0.000372	   0.002335	   0.002289	   0.001693	   0.004146	    106.74 % .!.
500 4  PLATEAU SORT______	   0.000088	   0.000515	   0.000513	   0.000255	   0.000375	   0.002364	   0.002282	   0.000535	   0.004212	    100.53 % ..
500 4  SHUFFLE SORT______	   0.000089	   0.001897	   0.001588	   0.000254	   0.000370	   0.002075	   0.002287	   0.002490	   0.003431	    119.50 % .!!.
500 4  STAGGER DITHER____	   0.000091	   0.006581	   0.006246	   0.004011	   0.004012	   0.006732	   0.004685	   0.009224	   0.009036	    105.36 % .!.
500 4  SAWTOTH DITHER____	   0.000088	   0.002302	   0.002267	   0.003212	   0.007455	   0.010267	   0.009467	   0.003244	   0.013647	    101.55 % ..
500 4  _RANDOM DITHER____	   0.000088	   0.002365	   0.002523	   0.004053	   0.007510	   0.010262	   0.009554	   0.003366	   0.013551	     93.74 % 
500 4  PLATEAU DITHER____	   0.000088	   0.001843	   0.001926	   0.003159	   0.007465	   0.009798	   0.008826	   0.002703	   0.013109	     95.66 % 
500 4  SHUFFLE DITHER____	   0.000089	   0.005678	   0.005540	   0.006303	   0.010447	   0.008840	   0.007819	   0.008269	   0.012130	    102.48 % ..
500 16  STAGGER IDENT_____	   0.000089	   0.006804	   0.006974	   0.006953	   0.008839	   0.008706	   0.007561	   0.009550	   0.011334	     97.56 % 
500 16  SAWTOTH IDENT_____	   0.000088	   0.004247	   0.004504	   0.007359	   0.007556	   0.009469	   0.007549	   0.005100	   0.012324	     94.29 % 
500 16  _RANDOM IDENT_____	   0.000088	   0.005069	   0.005624	   0.004344	   0.007508	   0.010501	   0.010028	   0.007163	   0.014009	     90.14 % 
500 16  PLATEAU IDENT_____	   0.000089	   0.000672	   0.000540	   0.000252	   0.000376	   0.002357	   0.002286	   0.000722	   0.004159	    124.50 % .!!!.
500 16  SHUFFLE IDENT_____	   0.000089	   0.003621	   0.003658	   0.007378	   0.010933	   0.007230	   0.005896	   0.005487	   0.010214	     99.01 % 
500 16  STAGGER REVERSE___	   0.000091	   0.006694	   0.006815	   0.007275	   0.009193	   0.010440	   0.007573	   0.009539	   0.014371	     98.22 % 
500 16  SAWTOTH REVERSE___	   0.000088	   0.004591	   0.005019	   0.007757	   0.007782	   0.010707	   0.010278	   0.004735	   0.014380	     91.46 % 
500 16  _RANDOM REVERSE___	   0.000088	   0.004972	   0.005693	   0.004309	   0.007503	   0.010532	   0.010053	   0.006881	   0.014008	     87.32 % 
500 16  PLATEAU REVERSE___	   0.000089	   0.000677	   0.000573	   0.000490	   0.000393	   0.002496	   0.001864	   0.000749	   0.004430	    118.15 % .!!.
500 16  SHUFFLE REVERSE___	   0.000089	   0.005448	!  0.005548	   0.007190	   0.011940	   0.008986	   0.007047	!  0.007781	   0.013121	     98.20 % 
500 16  STAGGER REVERSE_FR	   0.000090	   0.006898	   0.007149	   0.007007	   0.008967	   0.009410	   0.007584	   0.010238	   0.012781	     96.49 % 
500 16  SAWTOTH REVERSE_FR	   0.000089	   0.004523	   0.005036	   0.008373	   0.007754	   0.010053	   0.008746	   0.006420	   0.013455	     89.81 % 
500 16  _RANDOM REVERSE_FR	   0.000088	   0.005077	   0.005664	   0.004141	   0.007525	   0.010492	   0.009968	   0.006878	   0.014041	     89.65 % 
500 16  PLATEAU REVERSE_FR	   0.000089	   0.000702	   0.000581	   0.001714	   0.000411	   0.002485	   0.002758	   0.000792	   0.004455	    120.96 % .!!!.
500 16  SHUFFLE REVERSE_FR	   0.000088	   0.004300	   0.004419	   0.007519	   0.011289	   0.008140	   0.006611	   0.006244	   0.011648	     97.30 % 
500 16  STAGGER REVERSE_BA	   0.000091	   0.006473	   0.006679	   0.007063	   0.009117	   0.009659	   0.007131	   0.009076	   0.012881	     96.92 % 
500 16  SAWTOTH REVERSE_BA	   0.000089	   0.005577	   0.006293	   0.008663	   0.007577	   0.010183	   0.008688	   0.006559	   0.013422	     88.62 % 
500 16  _RANDOM REVERSE_BA	   0.000088	   0.005321	   0.005625	   0.004592	   0.007509	   0.010504	   0.010051	   0.007127	   0.013993	     94.60 % 
500 16  PLATEAU REVERSE_BA	   0.000089	   0.000666	   0.000540	   0.000253	   0.000371	   0.002372	   0.002303	   0.000726	   0.004175	    123.32 % .!!!.
500 16  SHUFFLE REVERSE_BA	   0.000088	   0.005285	   0.005531	   0.007435	   0.011618	   0.008157	   0.006733	   0.008144	   0.011729	     95.55 % 
500 16  STAGGER SORT______	   0.000088	   0.001875	   0.001583	   0.000253	   0.000371	   0.002047	   0.002294	   0.002503	   0.003373	    118.46 % .!!.
500 16  SAWTOTH SORT______	   0.000089	   0.002404	   0.001810	   0.000255	   0.000371	   0.002133	   0.002286	   0.003196	   0.003650	    132.86 % .!!!.
500 16  _RANDOM SORT______	   0.000089	   0.002377	   0.001958	   0.000256	   0.000372	   0.002185	   0.002276	   0.003229	   0.003757	    121.40 % .!!!.
500 16  PLATEAU SORT______	   0.000088	   0.000665	   0.000544	   0.000256	   0.000370	   0.002361	   0.002305	   0.000733	   0.004170	    122.31 % .!!!.
500 16  SHUFFLE SORT______	   0.000088	   0.001889	   0.001594	   0.000258	   0.000369	   0.002070	   0.002287	   0.002498	   0.003425	    118.53 % .!!.
500 16  STAGGER DITHER____	   0.000089	   0.006743	   0.006563	   0.006953	   0.009683	   0.008689	   0.007578	   0.009325	   0.011248	    102.75 % ..
500 16  SAWTOTH DITHER____	   0.000088	   0.005562	   0.005763	   0.004462	   0.007472	   0.009826	   0.009674	   0.007535	   0.012955	     96.51 % 
500 16  _RANDOM DITHER____	   0.000088	   0.005508	   0.005776	   0.004878	   0.007513	   0.010594	   0.010072	   0.007330	   0.014068	     95.36 % 
500 16  PLATEAU DITHER____	   0.000089	   0.002470	   0.002660	   0.003118	   0.007497	   0.009804	   0.008777	   0.003528	   0.012961	     92.85 % 
500 16  SHUFFLE DITHER____	   0.000088	   0.003947	   0.003954	   0.005745	   0.011034	   0.007514	   0.006993	   0.005793	   0.010582	     99.83 % 
500 64  STAGGER IDENT_____	   0.000088	   0.006648	   0.006845	   0.010321	   0.008191	   0.010080	   0.008945	   0.009355	   0.013169	     97.13 % 
500 64  SAWTOTH IDENT_____	   0.000088	   0.006455	   0.006470	   0.004475	   0.004579	   0.007553	   0.005748	   0.008972	   0.009998	     99.76 % 
500 64  _RANDOM IDENT_____	   0.000088	   0.007042	   0.007590	   0.007463	   0.007620	   0.010917	   0.010667	   0.010275	   0.014622	     92.78 % 
500 64  PLATEAU IDENT_____	   0.000088	   0.001619	   0.000609	   0.000254	   0.000371	   0.002313	   0.002291	   0.001912	   0.004051	    266.13 % .!!!!!.
500 64  SHUFFLE IDENT_____	   0.000088	   0.003016	   0.002825	   0.004975	   0.004992	   0.006204	   0.004603	   0.004321	   0.008819	    106.78 % .!.
500 64  STAGGER REVERSE___	   0.000089	   0.007275	   0.007529	   0.010830	   0.008356	   0.010517	   0.010281	   0.009111	   0.014089	     96.63 % 
500 64  SAWTOTH REVERSE___	   0.000088	   0.006014	   0.005999	   0.004795	   0.004913	   0.009691	   0.005800	   0.008408	   0.013526	    100.25 % ..
500 64  _RANDOM REVERSE___	   0.000088	   0.006996	   0.007461	   0.007602	   0.007613	   0.010993	   0.010631	   0.010129	   0.014714	     93.78 % 
500 64  PLATEAU REVERSE___	   0.000088	   0.001650	   0.000825	   0.000494	   0.000451	   0.002676	   0.002032	   0.002064	   0.004769	    199.97 % .!!!!.
500 64  SHUFFLE REVERSE___	   0.000088	!  0.005330	!  0.005398	   0.005089	   0.005182	   0.008123	   0.004853	!  0.006935	   0.012183	     98.74 % 
500 64  STAGGER REVERSE_FR	   0.000089	   0.006877	   0.007341	   0.010695	   0.008356	   0.010364	   0.009561	   0.010397	   0.013687	     93.68 % 
500 64  SAWTOTH REVERSE_FR	   0.000089	   0.006873	   0.007138	   0.005367	   0.005509	   0.008599	   0.005377	   0.009935	   0.011875	     96.30 % 
500 64  _RANDOM REVERSE_FR	   0.000088	   0.006893	   0.007334	   0.007560	   0.007596	   0.010966	   0.010618	   0.010058	   0.014658	     93.98 % 
500 64  PLATEAU REVERSE_FR	   0.000088	   0.002403	   0.001358	   0.001708	   0.000460	   0.002677	   0.002926	   0.003181	   0.004788	    177.02 % .!!!!.
500 64  SHUFFLE REVERSE_FR	   0.000088	   0.004123	   0.004296	   0.005278	!  0.007251	   0.007219	   0.004898	   0.005814	   0.010599	     95.96 % 
500 64  STAGGER REVERSE_BA	   0.000091	   0.007446	   0.008026	   0.010653	   0.008205	   0.010179	   0.009539	   0.010706	   0.013461	     92.77 % 
500 64  SAWTOTH REVERSE_BA	   0.000089	   0.006884	   0.006769	   0.005692	   0.005847	   0.008619	   0.005191	   0.009456	   0.011747	    101.69 % ..
500 64  _RANDOM REVERSE_BA	   0.000088	   0.007361	   0.007654	   0.007931	   0.007603	   0.010963	   0.010708	   0.010535	   0.014648	     96.17 % 
500 64  PLATEAU REVERSE_BA	   0.000089	   0.001630	   0.000608	   0.000254	   0.000369	   0.002301	   0.002297	   0.001903	   0.004060	    268.38 % .!!!!!.
500 64  SHUFFLE REVERSE_BA	   0.000089	   0.004418	   0.004193	   0.005156	!  0.007260	   0.007161	   0.005083	   0.006446	   0.010507	    105.35 % .!.
500 64  STAGGER SORT______	   0.000090	   0.001971	   0.001623	   0.000257	   0.000371	   0.002045	   0.002286	   0.002544	   0.003411	    121.43 % .!!!.
500 64  SAWTOTH SORT______	   0.000088	   0.002062	   0.001680	   0.000256	   0.000373	   0.002048	   0.002301	   0.002677	   0.003385	    122.73 % .!!!.
500 64  _RANDOM SORT______	   0.000091	   0.002584	   0.001744	   0.000252	   0.000370	   0.002070	   0.002285	   0.003363	   0.003393	    148.15 % .!!!.
500 64  PLATEAU SORT______	   0.000088	   0.001611	   0.000609	   0.000256	   0.000370	   0.002308	   0.002291	   0.001915	   0.004050	    264.66 % .!!!!!.
500 64  SHUFFLE SORT______	   0.000089	   0.001877	   0.001603	   0.000256	   0.000375	   0.002039	   0.002291	   0.002490	   0.003437	    117.10 % .!!.
500 64  STAGGER DITHER____	   0.000088	   0.006630	   0.006835	   0.010382	   0.008196	   0.010025	   0.008948	   0.009392	   0.013210	     97.00 % 
500 64  SAWTOTH DITHER____	   0.000088	   0.006472	   0.006448	   0.007700	   0.007561	   0.008859	   0.008054	   0.008303	   0.011720	    100.38 % ..
500 64  _RANDOM DITHER____	   0.000089	   0.007422	   0.007819	   0.007601	   0.007613	   0.010963	   0.010628	   0.010672	   0.014749	     94.93 % 
500 64  PLATEAU DITHER____	   0.000089	   0.003056	   0.002173	   0.003452	   0.007613	   0.009279	   0.008636	   0.004133	   0.012346	    140.63 % .!!!.
500 64  SHUFFLE DITHER____	   0.000088	   0.003451	   0.003211	   0.005166	   0.011090	   0.006338	   0.006779	   0.004715	   0.009024	    107.46 % .!.
500 256  STAGGER IDENT_____	   0.000090	   0.007034	   0.007698	   0.007628	   0.008525	   0.009842	   0.009052	   0.010102	   0.012993	     91.37 % 
500 256  SAWTOTH IDENT_____	   0.000089	   0.007810	   0.008130	   0.001811	   0.001781	   0.004445	   0.002926	   0.011593	   0.006194	     96.06 % 
500 256  _RANDOM IDENT_____	   0.000088	   0.007370	   0.007770	   0.007853	   0.008114	   0.011158	   0.010868	   0.010761	   0.014893	     94.85 % 
500 256  PLATEAU IDENT_____	   0.000088	   0.002166	   0.001500	   0.000252	   0.000370	   0.002218	   0.002306	   0.002950	   0.003739	    144.43 % .!!!.
500 256  SHUFFLE IDENT_____	   0.000088	   0.002549	   0.002215	!  0.003185	!  0.003192	   0.004371	   0.003076	   0.003493	   0.006482	    115.07 % .!!.
500 256  STAGGER REVERSE___	   0.000090	   0.007272	   0.007446	   0.006861	   0.008482	   0.010522	   0.010433	   0.010121	   0.014566	     97.66 % 
500 256  SAWTOTH REVERSE___	   0.000089	   0.008705	   0.009009	   0.002052	   0.002072	   0.006767	   0.003133	   0.012855	   0.010265	     96.63 % 
500 256  _RANDOM REVERSE___	   0.000089	   0.007326	   0.007790	   0.008104	   0.008127	   0.011155	   0.010848	   0.010540	   0.014990	     94.05 % 
500 256  PLATEAU REVERSE___	   0.000088	   0.002660	   0.002195	   0.000505	   0.000664	   0.003460	   0.003029	   0.003668	   0.006052	    121.16 % .!!!.
500 256  SHUFFLE REVERSE___	   0.000089	   0.003940	!  0.004048	   0.003181	   0.003219	   0.006542	   0.003197	   0.005524	   0.010265	     97.31 % 
500 256  STAGGER REVERSE_FR	   0.000090	   0.007204	   0.007635	   0.007479	   0.008733	   0.010176	   0.009786	   0.010718	   0.013523	     94.36 % 
500 256  SAWTOTH REVERSE_FR	   0.000089	   0.007145	   0.007419	   0.001953	   0.002581	   0.005668	   0.003766	   0.010557	   0.008273	     96.32 % 
500 256  _RANDOM REVERSE_FR	   0.000088	   0.007320	   0.007776	   0.007691	   0.008120	   0.011157	   0.010836	   0.010481	   0.014881	     94.13 % 
500 256  PLATEAU REVERSE_FR	   0.000089	   0.004045	   0.002961	   0.000392	   0.001719	   0.003439	   0.002930	   0.005339	   0.005842	    136.60 % .!!!.
500 256  SHUFFLE REVERSE_FR	   0.000088	   0.003756	   0.003908	!  0.003424	   0.003514	   0.005584	   0.003762	   0.005277	   0.008474	     96.11 % 
500 256  STAGGER REVERSE_BA	   0.000090	   0.006951	   0.007361	   0.008649	   0.008521	   0.010226	   0.009750	   0.009204	   0.013598	     94.43 % 
500 256  SAWTOTH REVERSE_BA	   0.000089	   0.007542	   0.007907	   0.001949	   0.003041	   0.005599	   0.003301	   0.011358	   0.008126	     95.38 % 
500 256  _RANDOM REVERSE_BA	   0.000088	   0.007383	   0.007623	   0.007849	   0.008113	   0.011183	   0.010863	   0.010775	   0.014973	     96.85 % 
500 256  PLATEAU REVERSE_BA	   0.000088	   0.002160	   0.001492	   0.001543	   0.001494	   0.002273	   0.002034	   0.002941	   0.003894	    144.76 % .!!!.
500 256  SHUFFLE REVERSE_BA	   0.000088	   0.003625	   0.003543	   0.003687	   0.003719	   0.005444	   0.003774	   0.005256	   0.008355	    102.32 % ..
500 256  STAGGER SORT______	   0.000089	   0.001893	   0.001579	   0.000252	   0.000368	   0.002066	   0.002287	   0.002506	   0.003441	    119.86 % .!!.
500 256  SAWTOTH SORT______	   0.000088	   0.001942	   0.001663	   0.000255	   0.000369	   0.002067	   0.002288	   0.002488	   0.003449	    116.77 % .!!.
500 256  _RANDOM SORT______	   0.000090	   0.001950	   0.001650	   0.000254	   0.000368	   0.002069	   0.002289	   0.002587	   0.003426	    118.18 % .!!.
500 256  PLATEAU SORT______	   0.000088	   0.002145	   0.001511	   0.000257	   0.000370	   0.002224	   0.002303	   0.002955	   0.003749	    141.90 % .!!!.
500 256  SHUFFLE SORT______	   0.000088	   0.001881	   0.001606	   0.000255	   0.000369	   0.002058	   0.002273	   0.002500	   0.003444	    117.15 % .!!.
500 256  STAGGER DITHER____	   0.000088	   0.007141	   0.007478	   0.008044	   0.009293	   0.009894	   0.009071	   0.009906	   0.012927	     95.50 % 
500 256  SAWTOTH DITHER____	   0.000088	   0.008002	   0.008272	   0.006148	   0.008152	   0.006656	   0.007289	   0.011965	   0.009368	     96.73 % 
500 256  _RANDOM DITHER____	   0.000088	   0.007473	   0.007907	   0.007772	   0.008134	   0.011102	   0.010864	   0.010578	   0.014718	     94.51 % 
500 256  PLATEAU DITHER____	   0.000088	   0.003408	   0.003243	   0.004361	   0.008164	   0.007800	   0.007704	   0.004919	   0.010726	    105.10 % .!.
500 256  SHUFFLE DITHER____	   0.000088	   0.002761	   0.002511	   0.004306	   0.010813	   0.005177	   0.006701	   0.003707	   0.007587	    109.94 % .!.
lreps: 41 with reps: 9

1000 1  STAGGER IDENT_____	   0.000165	   0.016632	   0.018327	   0.003555	   0.003343	   0.006603	   0.007504	   0.025658	   0.010019	     90.75 % 
1000 1  SAWTOTH IDENT_____	   0.000165	   0.000942	   0.000948	   0.000403	   0.000727	   0.004671	   0.004529	   0.000951	   0.008829	     99.40 % 
1000 1  _RANDOM IDENT_____	   0.000167	   0.000952	   0.000947	   0.000402	   0.000723	   0.004690	   0.004519	   0.000956	   0.008809	    100.54 % ..
1000 1  PLATEAU IDENT_____	   0.000164	   0.000951	   0.000966	   0.000485	   0.000566	   0.004605	   0.004550	   0.000961	   0.008726	     98.47 % 
1000 1  SHUFFLE IDENT_____	   0.000166	   0.004261	   0.003757	   0.000481	   0.000565	   0.004010	   0.004515	   0.005960	   0.007164	    113.40 % .!!.
1000 1  STAGGER REVERSE___	   0.000167	   0.015987	   0.017451	   0.004048	   0.003945	   0.011673	   0.007409	   0.023753	   0.018179	     91.61 % 
1000 1  SAWTOTH REVERSE___	   0.000166	   0.000941	   0.000948	   0.000401	   0.000726	   0.004726	   0.004537	   0.000950	   0.008836	     99.24 % 
1000 1  _RANDOM REVERSE___	   0.000167	   0.000941	   0.000945	   0.000400	   0.000725	   0.004689	   0.004512	   0.000950	   0.008819	     99.63 % 
1000 1  PLATEAU REVERSE___	   0.000165	   0.000943	   0.000950	   0.000949	   0.000576	   0.004702	   0.003576	   0.000954	   0.008854	     99.29 % 
1000 1  SHUFFLE REVERSE___	   0.000166	   0.006284	   0.005556	   0.000952	   0.001139	   0.009229	   0.004997	   0.008710	   0.015302	    113.10 % .!!.
1000 1  STAGGER REVERSE_FR	   0.000165	   0.016130	   0.016744	   0.003795	   0.003647	   0.009213	   0.006234	   0.024530	   0.014133	     96.33 % 
1000 1  SAWTOTH REVERSE_FR	   0.000166	   0.000940	   0.000948	   0.000401	   0.000727	   0.004703	   0.004535	   0.000952	   0.008829	     99.13 % 
1000 1  _RANDOM REVERSE_FR	   0.000165	   0.000944	   0.000948	   0.000400	   0.000727	   0.004664	   0.004521	   0.000948	   0.008786	     99.58 % 
1000 1  PLATEAU REVERSE_FR	   0.000165	   0.000953	   0.000966	   0.003308	   0.000588	   0.004672	   0.005731	   0.000966	   0.008844	     98.66 % 
1000 1  SHUFFLE REVERSE_FR	   0.000165	   0.006648	   0.007201	   0.000745	   0.003184	   0.006675	   0.005804	   0.008860	   0.011214	     92.31 % 
1000 1  STAGGER REVERSE_BA	   0.000165	   0.016784	   0.018411	   0.003774	   0.003661	   0.009072	   0.006015	   0.025460	   0.014145	     91.17 % 
1000 1  SAWTOTH REVERSE_BA	   0.000165	   0.000950	   0.000947	   0.000402	   0.000726	   0.004647	   0.004517	   0.000950	   0.008835	    100.33 % ..
1000 1  _RANDOM REVERSE_BA	   0.000165	   0.000941	   0.000948	   0.000401	   0.000726	   0.004627	   0.004489	   0.000950	   0.008805	     99.23 % 
1000 1  PLATEAU REVERSE_BA	   0.000166	   0.000952	   0.000972	   0.000480	   0.000563	   0.004591	   0.004493	   0.000960	   0.008730	     97.97 % 
1000 1  SHUFFLE REVERSE_BA	   0.000166	   0.007334	   0.006822	   0.003830	   0.003708	   0.006629	   0.005995	   0.010033	   0.011237	    107.50 % .!.
1000 1  STAGGER SORT______	   0.000166	   0.004277	   0.003785	   0.000486	   0.000564	   0.003975	   0.004505	   0.005912	   0.007155	    112.99 % .!!.
1000 1  SAWTOTH SORT______	   0.000167	   0.000952	   0.000946	   0.000400	   0.000724	   0.004657	   0.004534	   0.000953	   0.008833	    100.62 % ..
1000 1  _RANDOM SORT______	   0.000165	   0.000942	   0.000949	   0.000403	   0.000727	   0.004647	   0.004499	   0.000963	   0.008796	     99.26 % 
1000 1  PLATEAU SORT______	   0.000165	   0.000950	   0.000964	   0.000484	   0.000563	   0.004580	   0.004504	   0.000963	   0.008741	     98.55 % 
1000 1  SHUFFLE SORT______	   0.000165	   0.004269	   0.003763	   0.000486	   0.000567	   0.004026	   0.004490	   0.005952	   0.007136	    113.45 % .!!.
1000 1  STAGGER DITHER____	   0.000165	   0.016059	   0.017246	   0.011447	   0.015313	   0.011241	   0.016351	   0.025104	   0.016357	     93.11 % 
1000 1  SAWTOTH DITHER____	   0.000166	   0.003451	   0.003511	   0.004073	   0.012177	   0.022076	   0.020348	   0.004441	   0.028648	     98.31 % 
1000 1  _RANDOM DITHER____	   0.000165	   0.003473	   0.003532	   0.004079	   0.012157	   0.022127	   0.020351	   0.004401	   0.028756	     98.32 % 
1000 1  PLATEAU DITHER____	   0.000165	   0.003378	   0.003472	   0.004149	   0.012215	   0.022052	   0.020356	   0.004441	   0.028894	     97.30 % 
1000 1  SHUFFLE DITHER____	   0.000165	   0.005063	   0.004661	   0.006262	   0.016771	   0.010781	   0.015457	   0.006716	   0.016132	    108.64 % .!.
1000 4  STAGGER IDENT_____	   0.000166	   0.014607	   0.014943	   0.007919	   0.007885	   0.013512	   0.009179	   0.021489	   0.018499	     97.75 % 
1000 4  SAWTOTH IDENT_____	   0.000165	   0.002694	   0.002720	   0.003739	   0.012204	   0.022176	   0.020480	   0.003537	   0.028969	     99.05 % 
1000 4  _RANDOM IDENT_____	   0.000166	   0.002976	   0.002974	   0.004775	   0.012297	   0.023093	   0.022368	   0.003964	   0.030340	    100.05 % ..
1000 4  PLATEAU IDENT_____	   0.000165	   0.000974	   0.000973	   0.000482	   0.000567	   0.004627	   0.004546	   0.000997	   0.008723	    100.13 % ..
1000 4  SHUFFLE IDENT_____	   0.000166	   0.011205	   0.012032	   0.013011	   0.018891	   0.019500	   0.017341	   0.017009	   0.026414	     93.13 % 
1000 4  STAGGER REVERSE___	   0.000165	   0.015359	   0.016220	   0.008434	   0.008445	   0.018549	   0.009399	   0.022700	   0.026095	     94.69 % 
1000 4  SAWTOTH REVERSE___	   0.000165	   0.002764	   0.002717	   0.003974	   0.012221	   0.022566	   0.021474	   0.003704	   0.029569	    101.73 % ..
